feature,missing_pct,nunique,dtype,selected
day_of_week,0.0,7,int32,True
month,0.0,12,int32,True
quarter,0.0,4,int32,True
year,0.0,11,int32,True
is_weekend,0.0,2,int64,True
is_holiday,0.0,2,int64,True
days_to_year_end,0.0,366,int64,True
promo_count_active,0.0,3,float64,True
promo_discount_mean,0.0,8,float64,True
promo_discount_max,0.0,7,float64,True
is_promo_active,0.0,2,int64,True
Revenue_lag_1d,0.03,3832,float64,True
Revenue_lag_7d,0.18,3826,float64,True
Revenue_lag_14d,0.37,3819,float64,True
Revenue_lag_28d,0.73,3805,float64,True
Revenue_lag_365d,9.52,3468,float64,True
Revenue_rolling_7d_mean,0.03,3832,float64,True
Revenue_rolling_28d_mean,0.03,3832,float64,True
Revenue_rolling_90d_mean,0.03,3832,float64,True
COGS_lag_1d,0.03,3832,float64,True
COGS_lag_7d,0.18,3826,float64,True
COGS_lag_14d,0.37,3819,float64,True
COGS_lag_28d,0.73,3805,float64,True
COGS_lag_365d,9.52,3468,float64,True
COGS_rolling_7d_mean,0.03,3832,float64,True
COGS_rolling_28d_mean,0.03,3832,float64,True
COGS_rolling_90d_mean,0.03,3832,float64,True
sessions_sum_lag_1d,4.75,3446,float64,True
sessions_sum_lag_7d,4.9,3441,float64,True
sessions_sum_lag_14d,5.09,3435,float64,True
sessions_sum_lag_28d,5.45,3424,float64,True
sessions_sum_lag_365d,14.24,3114,float64,True
sessions_sum_rolling_7d_mean,4.75,3623,float64,True
sessions_sum_rolling_28d_mean,4.75,3637,float64,True
sessions_sum_rolling_90d_mean,4.75,3649,float64,True
visitors_sum_lag_1d,4.75,3382,float64,True
visitors_sum_lag_7d,4.9,3377,float64,True
visitors_sum_lag_14d,5.09,3370,float64,True
visitors_sum_lag_28d,5.45,3359,float64,True
visitors_sum_lag_365d,14.24,3066,float64,True
visitors_sum_rolling_7d_mean,4.75,3609,float64,True
visitors_sum_rolling_28d_mean,4.75,3639,float64,True
visitors_sum_rolling_90d_mean,4.75,3648,float64,True
page_views_sum_lag_1d,4.75,3619,float64,True
page_views_sum_lag_7d,4.9,3613,float64,True
page_views_sum_lag_14d,5.09,3606,float64,True
page_views_sum_lag_28d,5.45,3592,float64,True
page_views_sum_lag_365d,14.24,3263,float64,True
page_views_sum_rolling_7d_mean,4.75,3650,float64,True
page_views_sum_rolling_28d_mean,4.75,3649,float64,True
