feature,target,pearson,spearman
day_of_week,Revenue,-0.06703433766033974,-0.07352735597663583
month,Revenue,-0.20427117859681046,-0.23878491478061734
quarter,Revenue,-0.2143947590346127,-0.24823388461309853
year,Revenue,-0.2776336597260871,-0.34097274464244814
is_weekend,Revenue,-0.07143080513451001,-0.06075120536922662
is_holiday,Revenue,-0.04970539694329912,-0.05306804884979454
days_to_year_end,Revenue,0.1842411415656107,0.2136300470614633
promo_count_active,Revenue,-0.0947308792841248,-0.09595081771851356
promo_discount_mean,Revenue,-0.14438402049873764,-0.16804310650337176
promo_discount_max,Revenue,-0.1375926038746908,-0.16760884337458742
is_promo_active,Revenue,-0.1009902596961884,-0.09968767988509493
Revenue_lag_1d,Revenue,0.8654941265959826,0.8622500769208891
Revenue_lag_7d,Revenue,0.4920422652677403,0.5883719134176281
Revenue_lag_14d,Revenue,0.49642921316880106,0.585565300354078
Revenue_lag_28d,Revenue,0.603399453896704,0.6285966077047214
Revenue_lag_365d,Revenue,0.7897842962770492,0.7816818381711569
Revenue_rolling_7d_mean,Revenue,0.6950037358992276,0.7288225096331384
Revenue_rolling_28d_mean,Revenue,0.6641437085752173,0.7048151450061755
Revenue_rolling_90d_mean,Revenue,0.5456009509493975,0.5909295503318941
COGS_lag_1d,Revenue,0.8364831294482342,0.8301695988069278
COGS_lag_7d,Revenue,0.4472668760719284,0.5519768162720213
COGS_lag_14d,Revenue,0.46534970376012946,0.5621431226470626
COGS_lag_28d,Revenue,0.5920522591002071,0.6182455996185764
COGS_lag_365d,Revenue,0.8063832055042139,0.7974635692125404
COGS_rolling_7d_mean,Revenue,0.6579602066328126,0.6913517096114208
COGS_rolling_28d_mean,Revenue,0.64114187048978,0.6780481354071095
COGS_rolling_90d_mean,Revenue,0.523145570038969,0.5673036705089414
sessions_sum_lag_1d,Revenue,0.3216062387954649,0.37302329935057205
sessions_sum_lag_7d,Revenue,0.3092020734637414,0.3599447348555576
sessions_sum_lag_14d,Revenue,0.2884544584854396,0.3372767244512595
sessions_sum_lag_28d,Revenue,0.23082159229894314,0.26360393328054965
sessions_sum_lag_365d,Revenue,0.30281113102809015,0.3590991553445003
sessions_sum_rolling_7d_mean,Revenue,0.3240122075928954,0.37233737662083444
sessions_sum_rolling_28d_mean,Revenue,0.3030097278694088,0.3407634256502801
sessions_sum_rolling_90d_mean,Revenue,0.12494251582907497,0.1514043894374085
visitors_sum_lag_1d,Revenue,0.31854532083606685,0.3720460978159461
visitors_sum_lag_7d,Revenue,0.307314495473316,0.359374479070804
visitors_sum_lag_14d,Revenue,0.2869896021279432,0.3372427016391643
visitors_sum_lag_28d,Revenue,0.23267230867703645,0.26570897873536153
visitors_sum_lag_365d,Revenue,0.3017802731105841,0.3604648093090252
visitors_sum_rolling_7d_mean,Revenue,0.3220261477518596,0.3727780471720247
visitors_sum_rolling_28d_mean,Revenue,0.30336696509148176,0.342268556926042
visitors_sum_rolling_90d_mean,Revenue,0.12539614578312808,0.15270175637986783
page_views_sum_lag_1d,Revenue,0.3054621615362072,0.35830703514404755
page_views_sum_lag_7d,Revenue,0.28645591305970547,0.3400533950415772
page_views_sum_lag_14d,Revenue,0.26430989252719334,0.3181457957990464
page_views_sum_lag_28d,Revenue,0.21682516915417158,0.2544058472522444
page_views_sum_lag_365d,Revenue,0.2776231685504963,0.34051127647538304
page_views_sum_rolling_7d_mean,Revenue,0.3217567770688393,0.3696451243044677
page_views_sum_rolling_28d_mean,Revenue,0.303565331543733,0.341015260170611
page_views_sum_rolling_90d_mean,Revenue,0.12588887959132308,0.1508002852155246
bounce_rate_mean_lag_1d,Revenue,-0.01732996049172136,-0.009793688380410505
bounce_rate_mean_lag_7d,Revenue,-0.01460492844652511,-0.019918852508103206
bounce_rate_mean_lag_14d,Revenue,-0.0234663390381279,-0.031599591900885265
bounce_rate_mean_lag_28d,Revenue,-0.021422686068940877,-0.017580639633979715
bounce_rate_mean_lag_365d,Revenue,-0.02957724737126313,-0.03476853531676432
bounce_rate_mean_rolling_7d_mean,Revenue,-0.0037763074707396578,-0.02018106906333723
bounce_rate_mean_rolling_28d_mean,Revenue,-0.09566063783971428,-0.10701754786788067
bounce_rate_mean_rolling_90d_mean,Revenue,-0.12998168690308343,-0.13109640017670487
sessions_source_direct_lag_1d,Revenue,0.02031011244658408,-0.011843732674792678
sessions_source_direct_lag_7d,Revenue,0.030693611104521595,0.01927424106760868
sessions_source_direct_lag_14d,Revenue,0.02991594438322703,-0.0009440151970868941
sessions_source_direct_lag_28d,Revenue,0.020432239852793018,0.011423459763607648
sessions_source_direct_lag_365d,Revenue,0.025184654413451645,-0.0021415882057350508
sessions_source_direct_rolling_7d_mean,Revenue,0.07588706048093573,0.04516459723426572
sessions_source_direct_rolling_28d_mean,Revenue,0.10472521782571696,0.08989554299093333
sessions_source_direct_rolling_90d_mean,Revenue,0.044718275085808216,0.06838402991121535
sessions_source_email_campaign_lag_1d,Revenue,0.04677499206415211,0.024890050873755728
sessions_source_email_campaign_lag_7d,Revenue,0.03216434760584227,-0.0048996880551495006
sessions_source_email_campaign_lag_14d,Revenue,0.040823285691221664,0.008745503674210982
sessions_source_email_campaign_lag_28d,Revenue,0.04864139740179229,0.018816906901877668
sessions_source_email_campaign_lag_365d,Revenue,0.040026866321846655,0.0157055034687943
sessions_source_email_campaign_rolling_7d_mean,Revenue,0.1023107028500815,0.09156559485079062
sessions_source_email_campaign_rolling_28d_mean,Revenue,0.17052640189284216,0.19065551841735887
sessions_source_email_campaign_rolling_90d_mean,Revenue,0.10605244009854375,0.12487883881376725
sessions_source_organic_search_lag_1d,Revenue,0.04821245778739843,0.014534091299865787
sessions_source_organic_search_lag_7d,Revenue,0.04384586356564754,0.015894650003391676
sessions_source_organic_search_lag_14d,Revenue,0.06113365399187824,0.03425886453642715
sessions_source_organic_search_lag_28d,Revenue,0.02612708950816661,0.005623397476217756
sessions_source_organic_search_lag_365d,Revenue,0.04442503589855341,0.015237409134299447
sessions_source_organic_search_rolling_7d_mean,Revenue,0.13072437769632714,0.15407825537560155
sessions_source_organic_search_rolling_28d_mean,Revenue,0.17349981990597868,0.23266961431417205
sessions_source_organic_search_rolling_90d_mean,Revenue,0.03663641324273155,0.10679300148454726
sessions_source_paid_search_lag_1d,Revenue,0.07036340851861636,0.026929428140249678
sessions_source_paid_search_lag_7d,Revenue,0.06800220609278959,0.02735437249160166
sessions_source_paid_search_lag_14d,Revenue,0.03530556397827835,0.009728143574422447
sessions_source_paid_search_lag_28d,Revenue,0.03914082057545097,0.019525891872788276
sessions_source_paid_search_lag_365d,Revenue,0.06692232621838183,0.0382124206027833
sessions_source_paid_search_rolling_7d_mean,Revenue,0.15319443440204628,0.16754079218971019
sessions_source_paid_search_rolling_28d_mean,Revenue,0.23375471716492432,0.25347403637893606
sessions_source_paid_search_rolling_90d_mean,Revenue,0.14835044964601454,0.15905125426024283
sessions_source_referral_lag_1d,Revenue,0.034609995028323626,0.016782836976146614
sessions_source_referral_lag_7d,Revenue,0.05368459073836646,0.02416310893184825
sessions_source_referral_lag_14d,Revenue,0.04646873970710364,0.012576635425261076
sessions_source_referral_lag_28d,Revenue,0.027579151940916008,0.003765114812283382
sessions_source_referral_lag_365d,Revenue,0.019854046553373198,-0.013978024326785998
sessions_source_referral_rolling_7d_mean,Revenue,0.10812888243191736,0.10245893149212
sessions_source_referral_rolling_28d_mean,Revenue,0.17964173820199283,0.17352375681239493
sessions_source_referral_rolling_90d_mean,Revenue,0.10990529664453966,0.1115617425403985
sessions_source_social_media_lag_1d,Revenue,0.075716946502583,0.03571350659012139
sessions_source_social_media_lag_7d,Revenue,0.06326983742523891,0.03154144509906364
sessions_source_social_media_lag_14d,Revenue,0.057095659640522364,0.03312986053077588
sessions_source_social_media_lag_28d,Revenue,0.05740583245705394,0.021961390110794326
sessions_source_social_media_lag_365d,Revenue,0.08040197299966992,0.044104428997982066
sessions_source_social_media_rolling_7d_mean,Revenue,0.1590471019736195,0.15306327427196575
sessions_source_social_media_rolling_28d_mean,Revenue,0.23270990212812895,0.2512354640878579
sessions_source_social_media_rolling_90d_mean,Revenue,0.1509171863914533,0.17837230256047634
order_count_lag_1d,Revenue,0.8185958221324483,0.8136914549956952
order_count_lag_7d,Revenue,0.4299884527116015,0.545966740125393
order_count_lag_14d,Revenue,0.446385917304778,0.5505558721776285
order_count_lag_28d,Revenue,0.5727652598316754,0.6114178388112936
order_count_lag_365d,Revenue,0.7965672779735984,0.7820164422366321
order_count_rolling_7d_mean,Revenue,0.633610715709767,0.6628860641784693
order_count_rolling_28d_mean,Revenue,0.6152923865957621,0.6430415297759181
order_count_rolling_90d_mean,Revenue,0.5240937779090201,0.5775698122654689
customer_count_lag_1d,Revenue,0.8196936161077484,0.8145978615522248
customer_count_lag_7d,Revenue,0.4316961719260166,0.5467603562787103
customer_count_lag_14d,Revenue,0.4477351357707593,0.5514872307736409
customer_count_lag_28d,Revenue,0.573742844312429,0.6120419559560842
customer_count_lag_365d,Revenue,0.7974671489677991,0.7829702123641663
customer_count_rolling_7d_mean,Revenue,0.634977857552668,0.6639906085302271
customer_count_rolling_28d_mean,Revenue,0.616177790421593,0.6441276647578218
customer_count_rolling_90d_mean,Revenue,0.5240610817262812,0.5774251699319385
order_source_count_lag_1d,Revenue,0.08208746585437174,0.11327933297372704
order_source_count_lag_7d,Revenue,0.058714892486162434,0.07910144005824694
order_source_count_lag_14d,Revenue,0.04871600496136964,0.0644252521230606
order_source_count_lag_28d,Revenue,0.01881309399293667,0.051043708017336153
order_source_count_lag_365d,Revenue,0.053619838552936325,0.07511715452258899
order_source_count_rolling_7d_mean,Revenue,0.17002134813722958,0.2316201374919458
order_source_count_rolling_28d_mean,Revenue,0.21964965965294814,0.2967489703859365
order_source_count_rolling_90d_mean,Revenue,0.18274498799362607,0.2323998106801438
order_status_cancelled_count_lag_1d,Revenue,0.7688322973361055,0.7471656249477678
order_status_cancelled_count_lag_7d,Revenue,0.411523026504818,0.49049850937610395
order_status_cancelled_count_lag_14d,Revenue,0.42558148261254847,0.5047030191389916
order_status_cancelled_count_lag_28d,Revenue,0.5391025940561459,0.5686879172504428
order_status_cancelled_count_lag_365d,Revenue,0.7509620227687434,0.7199794939486506
order_status_cancelled_count_rolling_7d_mean,Revenue,0.6278889014785745,0.6518207437074087
order_status_cancelled_count_rolling_28d_mean,Revenue,0.6139278398719136,0.6439084769778086
order_status_cancelled_count_rolling_90d_mean,Revenue,0.5255145649756354,0.5824276638396871
order_status_created_count_lag_1d,Revenue,0.4830766060128048,0.42643813468870295
order_status_created_count_lag_7d,Revenue,0.20664620651468626,0.22781575283743574
order_status_created_count_lag_14d,Revenue,0.22890244503448887,0.2536703867371874
order_status_created_count_lag_28d,Revenue,0.3324239118753921,0.32783083748768
order_status_created_count_lag_365d,Revenue,0.5036196258408919,0.4537474817823975
order_status_created_count_rolling_7d_mean,Revenue,0.4852552177888378,0.48835428730124214
order_status_created_count_rolling_28d_mean,Revenue,0.5194468923417225,0.5521087312042208
order_status_created_count_rolling_90d_mean,Revenue,0.44202751080272623,0.48873962484897643
order_status_delivered_count_lag_1d,Revenue,0.816408431283042,0.8095899600047719
order_status_delivered_count_lag_7d,Revenue,0.4292856504226751,0.5450632281858716
order_status_delivered_count_lag_14d,Revenue,0.4462544917329237,0.5498804982817709
order_status_delivered_count_lag_28d,Revenue,0.5718749824134985,0.6087409662246974
order_status_delivered_count_lag_365d,Revenue,0.7933873710261946,0.7774494713665363
order_status_delivered_count_rolling_7d_mean,Revenue,0.6324420053878409,0.6608525102559047
order_status_delivered_count_rolling_28d_mean,Revenue,0.6138391551481679,0.6406717590380464
order_status_delivered_count_rolling_90d_mean,Revenue,0.5236616213151973,0.5765889708354324
