feature_a,feature_b,abs_corr
Revenue_lag_365d,gross_item_revenue_sum_lag_365d,1.0
Revenue_rolling_28d_mean,gross_item_revenue_sum_rolling_28d_mean,1.0
Revenue_rolling_90d_mean,gross_item_revenue_sum_rolling_90d_mean,1.0
Revenue_lag_28d,gross_item_revenue_sum_lag_28d,1.0
COGS_lag_14d,estimated_cogs_sum_lag_14d,1.0
COGS_lag_28d,estimated_cogs_sum_lag_28d,1.0
COGS_rolling_7d_mean,estimated_cogs_sum_rolling_7d_mean,1.0
COGS_rolling_28d_mean,estimated_cogs_sum_rolling_28d_mean,1.0
COGS_rolling_90d_mean,estimated_cogs_sum_rolling_90d_mean,1.0
Revenue_lag_14d,gross_item_revenue_sum_lag_14d,1.0
Revenue_lag_7d,gross_item_revenue_sum_lag_7d,1.0
Revenue_lag_1d,gross_item_revenue_sum_lag_1d,1.0
Revenue_rolling_7d_mean,gross_item_revenue_sum_rolling_7d_mean,0.9999999999999999
COGS_lag_365d,estimated_cogs_sum_lag_365d,0.9999999999999993
COGS_lag_1d,estimated_cogs_sum_lag_1d,0.999999999999998
COGS_lag_7d,estimated_cogs_sum_lag_7d,0.9999999999999959
order_count_rolling_90d_mean,customer_count_rolling_90d_mean,0.9999880118903929
order_count_rolling_28d_mean,customer_count_rolling_28d_mean,0.999982809703419
order_count_rolling_7d_mean,customer_count_rolling_7d_mean,0.9999747565109144
order_count_rolling_90d_mean,order_status_delivered_count_rolling_90d_mean,0.9999378390401534
order_count_lag_7d,customer_count_lag_7d,0.9999273771252943
order_count_lag_14d,customer_count_lag_14d,0.9999271930329168
order_count_lag_1d,customer_count_lag_1d,0.9999271368641804
order_count_lag_28d,customer_count_lag_28d,0.9999263731800124
order_count_lag_365d,customer_count_lag_365d,0.9999206489757937
customer_count_rolling_90d_mean,order_status_delivered_count_rolling_90d_mean,0.9999160722517421
sessions_sum_rolling_90d_mean,visitors_sum_rolling_90d_mean,0.999879549171237
order_count_rolling_28d_mean,order_status_delivered_count_rolling_28d_mean,0.9998430342228549
customer_count_rolling_28d_mean,order_status_delivered_count_rolling_28d_mean,0.9998153407103482
sessions_sum_rolling_28d_mean,visitors_sum_rolling_28d_mean,0.9996952127565757
order_count_rolling_7d_mean,order_status_delivered_count_rolling_7d_mean,0.9996251232099442
customer_count_rolling_7d_mean,order_status_delivered_count_rolling_7d_mean,0.9995881735320812
stock_on_hand_sum_lag_7d,stock_on_hand_sum_rolling_7d_mean,0.9991025911778559
stock_on_hand_sum_lag_1d,stock_on_hand_sum_rolling_7d_mean,0.9990979891754599
stock_on_hand_sum_lag_14d,stock_on_hand_sum_rolling_28d_mean,0.9988722660700041
sessions_sum_rolling_7d_mean,visitors_sum_rolling_7d_mean,0.998659179322642
sessions_sum_rolling_90d_mean,page_views_sum_rolling_90d_mean,0.9986094840256982
return_count_rolling_90d_mean,return_quantity_sum_rolling_90d_mean,0.9985928684709209
visitors_sum_rolling_90d_mean,page_views_sum_rolling_90d_mean,0.9985744778433658
new_customer_count_rolling_28d_mean,new_customer_count_rolling_90d_mean,0.9984369540470777
customer_count_rolling_90d_mean,order_status_cancelled_count_rolling_90d_mean,0.998326226814605
order_count_lag_7d,order_status_delivered_count_lag_7d,0.998324388542636
order_count_lag_1d,order_status_delivered_count_lag_1d,0.9983178065147654
order_count_lag_14d,order_status_delivered_count_lag_14d,0.9983171310907676
order_count_lag_28d,order_status_delivered_count_lag_28d,0.9982940860274426
customer_count_lag_7d,order_status_delivered_count_lag_7d,0.9982479020388731
customer_count_lag_1d,order_status_delivered_count_lag_1d,0.9982406902014227
customer_count_lag_14d,order_status_delivered_count_lag_14d,0.9982385936175469
customer_count_lag_28d,order_status_delivered_count_lag_28d,0.998216774923099
order_count_rolling_90d_mean,order_status_cancelled_count_rolling_90d_mean,0.9982038659331371
order_count_lag_365d,order_status_delivered_count_lag_365d,0.9981975631877672
customer_count_lag_365d,order_status_delivered_count_lag_365d,0.9981141998137057
stock_on_hand_sum_lag_7d,stock_on_hand_sum_rolling_28d_mean,0.9979367289995257
order_status_cancelled_count_rolling_90d_mean,order_status_delivered_count_rolling_90d_mean,0.9977230426647399
stock_on_hand_sum_rolling_7d_mean,stock_on_hand_sum_rolling_28d_mean,0.9975293721334795
stock_on_hand_sum_lag_1d,stock_on_hand_sum_lag_7d,0.9971009639263029
order_status_delivered_count_rolling_90d_mean,item_quantity_sum_rolling_90d_mean,0.9968060526127412
order_count_rolling_90d_mean,item_quantity_sum_rolling_90d_mean,0.9967293092581944
