feature,source_table,feature_family,timing_type,transformation,leakage_risk,expected_impute_method,note
day_of_week,calendar/promotions,calendar_or_promo,known_now,day_of_week,low,no_impute,Generated candidate feature: day_of_week
month,calendar/promotions,calendar_or_promo,known_now,month,low,no_impute,Generated candidate feature: month
quarter,calendar/promotions,calendar_or_promo,known_now,quarter,low,no_impute,Generated candidate feature: quarter
year,calendar/promotions,calendar_or_promo,known_now,year,low,no_impute,Generated candidate feature: year
is_weekend,calendar/promotions,calendar_or_promo,known_now,is_weekend,low,no_impute,Generated candidate feature: is_weekend
is_holiday,calendar/promotions,calendar_or_promo,known_now,is_holiday,low,no_impute,Generated candidate feature: is_holiday
days_to_year_end,calendar/promotions,calendar_or_promo,known_now,days_to_year_end,low,no_impute,Generated candidate feature: days_to_year_end
promo_count_active,calendar/promotions,calendar_or_promo,known_now,promo_count_active,low,no_impute,Generated candidate feature: promo_count_active
promo_discount_mean,calendar/promotions,calendar_or_promo,known_now,promo_discount_mean,low,no_impute,Generated candidate feature: promo_discount_mean
promo_discount_max,calendar/promotions,calendar_or_promo,known_now,promo_discount_max,low,no_impute,Generated candidate feature: promo_discount_max
is_promo_active,calendar/promotions,calendar_or_promo,known_now,is_promo_active,low,no_impute,Generated candidate feature: is_promo_active
Revenue_lag_1d,sales,target_lag,lagged,Revenue_lag_1d,low,train_median,Generated candidate feature: Revenue_lag_1d
Revenue_lag_7d,sales,target_lag,lagged,Revenue_lag_7d,low,train_median,Generated candidate feature: Revenue_lag_7d
Revenue_lag_14d,sales,target_lag,lagged,Revenue_lag_14d,low,train_median,Generated candidate feature: Revenue_lag_14d
Revenue_lag_28d,sales,target_lag,lagged,Revenue_lag_28d,low,train_median,Generated candidate feature: Revenue_lag_28d
Revenue_lag_365d,sales,target_lag,lagged,Revenue_lag_365d,low,train_median,Generated candidate feature: Revenue_lag_365d
Revenue_rolling_7d_mean,sales,target_lag,lagged,Revenue_rolling_7d_mean,low,train_median,Generated candidate feature: Revenue_rolling_7d_mean
Revenue_rolling_28d_mean,sales,target_lag,lagged,Revenue_rolling_28d_mean,low,train_median,Generated candidate feature: Revenue_rolling_28d_mean
Revenue_rolling_90d_mean,sales,target_lag,lagged,Revenue_rolling_90d_mean,low,train_median,Generated candidate feature: Revenue_rolling_90d_mean
COGS_lag_1d,sales,target_lag,lagged,COGS_lag_1d,low,train_median,Generated candidate feature: COGS_lag_1d
COGS_lag_7d,sales,target_lag,lagged,COGS_lag_7d,low,train_median,Generated candidate feature: COGS_lag_7d
COGS_lag_14d,sales,target_lag,lagged,COGS_lag_14d,low,train_median,Generated candidate feature: COGS_lag_14d
COGS_lag_28d,sales,target_lag,lagged,COGS_lag_28d,low,train_median,Generated candidate feature: COGS_lag_28d
COGS_lag_365d,sales,target_lag,lagged,COGS_lag_365d,low,train_median,Generated candidate feature: COGS_lag_365d
COGS_rolling_7d_mean,sales,target_lag,lagged,COGS_rolling_7d_mean,low,train_median,Generated candidate feature: COGS_rolling_7d_mean
