feature,missing_pct,nunique,dtype,non_null_count,Revenue_pair_count,Revenue_pearson,Revenue_spearman,COGS_pair_count,COGS_pearson,COGS_spearman,source_table,feature_family,timing_type,transformation,leakage_risk,expected_impute_method,note,selected,selection_reason
day_of_week,0.0,7,int32,3103,3103,-0.06973184317444288,-0.0775066205132775,3103,-0.0691400025091223,-0.07997265358972501,calendar/promotions,calendar_or_promo,known_now,day_of_week,low,no_impute,Generated candidate feature: day_of_week,True,selected
month,0.0,12,int32,3103,3103,-0.21040685421991304,-0.24539507284710876,3103,-0.16620485986231828,-0.18922975871241737,calendar/promotions,calendar_or_promo,known_now,month,low,no_impute,Generated candidate feature: month,True,selected
quarter,0.0,4,int32,3103,3103,-0.2192857085516327,-0.252809502979139,3103,-0.17930484609672956,-0.20268827664882041,calendar/promotions,calendar_or_promo,known_now,quarter,low,no_impute,Generated candidate feature: quarter,True,selected
year,0.0,9,int32,3103,3103,-0.17919433437651341,-0.24918535897684868,3103,-0.1783219213837177,-0.24573742853736058,calendar/promotions,calendar_or_promo,known_now,year,low,no_impute,Generated candidate feature: year,True,selected
is_weekend,0.0,2,int64,3103,3103,-0.07271543945143188,-0.061529751664026563,3103,-0.07299444395391393,-0.06456458005436316,calendar/promotions,calendar_or_promo,known_now,is_weekend,low,no_impute,Generated candidate feature: is_weekend,True,selected
is_holiday,0.0,2,int64,3103,3103,-0.053662343806412216,-0.054651083746186914,3103,-0.054459610455490595,-0.056768221494775964,calendar/promotions,calendar_or_promo,known_now,is_holiday,low,no_impute,Generated candidate feature: is_holiday,True,selected
days_to_year_end,0.0,366,int64,3103,3103,0.1896678013195508,0.2193139476034243,3103,0.14505189495148316,0.16263783365608628,calendar/promotions,calendar_or_promo,known_now,days_to_year_end,low,no_impute,Generated candidate feature: days_to_year_end,True,selected
promo_count_active,0.0,3,float64,3103,3103,-0.09305497184992324,-0.08758544502874574,3103,0.055061729582756104,0.06533227577585089,calendar/promotions,calendar_or_promo,known_now,promo_count_active,low,no_impute,Generated candidate feature: promo_count_active,True,selected
promo_discount_mean,0.0,8,float64,3103,3103,-0.1433008946737627,-0.160460293070311,3103,0.04056085752513837,0.01814377986877286,calendar/promotions,calendar_or_promo,known_now,promo_discount_mean,low,no_impute,Generated candidate feature: promo_discount_mean,True,selected
promo_discount_max,0.0,7,float64,3103,3103,-0.13646374595542676,-0.16002457607073112,3103,0.051294647851576315,0.01842452885687741,calendar/promotions,calendar_or_promo,known_now,promo_discount_max,low,no_impute,Generated candidate feature: promo_discount_max,True,selected
is_promo_active,0.0,2,int64,3103,3103,-0.09935692168017646,-0.09127766922383757,3103,0.042187915555829895,0.06069136985305176,calendar/promotions,calendar_or_promo,known_now,is_promo_active,low,no_impute,Generated candidate feature: is_promo_active,True,selected
Revenue_lag_1d,0.03,3102,float64,3102,3102,0.8624492410200305,0.8611090397027904,3102,0.838009630880474,0.8313467438768759,sales,target_lag,lagged,Revenue_lag_1d,low,train_median,Generated candidate feature: Revenue_lag_1d,True,selected
Revenue_lag_7d,0.23,3096,float64,3096,3096,0.4684809460503195,0.567740129504279,3096,0.4450590058312662,0.5428190971134174,sales,target_lag,lagged,Revenue_lag_7d,low,train_median,Generated candidate feature: Revenue_lag_7d,True,selected
Revenue_lag_14d,0.45,3089,float64,3089,3089,0.46796790498582636,0.555829192236208,3089,0.45208816441361943,0.5450361193801325,sales,target_lag,lagged,Revenue_lag_14d,low,train_median,Generated candidate feature: Revenue_lag_14d,True,selected
Revenue_lag_28d,0.9,3075,float64,3075,3075,0.5860349678201856,0.608382936195742,3075,0.5853798734257072,0.6230069100391161,sales,target_lag,lagged,Revenue_lag_28d,low,train_median,Generated candidate feature: Revenue_lag_28d,True,selected
Revenue_lag_365d,11.76,2738,float64,2738,2738,0.7746150131615824,0.7651282218669067,2738,0.7920939277721414,0.7811253707955882,sales,target_lag,lagged,Revenue_lag_365d,low,train_median,Generated candidate feature: Revenue_lag_365d,True,selected
Revenue_rolling_7d_mean,0.03,3102,float64,3102,3102,0.6789250416100454,0.7133763627441155,3102,0.6495992756528952,0.6805090096694363,sales,target_lag,lagged,Revenue_rolling_7d_mean,low,train_median,Generated candidate feature: Revenue_rolling_7d_mean,True,selected
Revenue_rolling_28d_mean,0.03,3102,float64,3102,3102,0.6432615915006755,0.6827479779727956,3102,0.6169122062396333,0.6723325426141844,sales,target_lag,lagged,Revenue_rolling_28d_mean,low,train_median,Generated candidate feature: Revenue_rolling_28d_mean,True,selected
Revenue_rolling_90d_mean,0.03,3102,float64,3102,3102,0.5155028154675649,0.5610425988664524,3102,0.530759668017836,0.5916049365272019,sales,target_lag,lagged,Revenue_rolling_90d_mean,low,train_median,Generated candidate feature: Revenue_rolling_90d_mean,True,selected
COGS_lag_1d,0.03,3102,float64,3102,3102,0.8330202131880227,0.8295972836219463,3102,0.8544017464970851,0.8533399179054859,sales,target_lag,lagged,COGS_lag_1d,low,train_median,Generated candidate feature: COGS_lag_1d,True,selected
COGS_lag_7d,0.23,3096,float64,3096,3096,0.4238994952251413,0.5338841606699776,3096,0.4281051250098753,0.5507393624112155,sales,target_lag,lagged,COGS_lag_7d,low,train_median,Generated candidate feature: COGS_lag_7d,True,selected
COGS_lag_14d,0.45,3089,float64,3089,3089,0.4381255114067457,0.5359112054117113,3089,0.4435395991951147,0.5526642740050273,sales,target_lag,lagged,COGS_lag_14d,low,train_median,Generated candidate feature: COGS_lag_14d,True,selected
COGS_lag_28d,0.9,3075,float64,3075,3075,0.5775349250392309,0.6036329371604537,3075,0.585061820989078,0.6256020930880563,sales,target_lag,lagged,COGS_lag_28d,low,train_median,Generated candidate feature: COGS_lag_28d,True,selected
COGS_lag_365d,11.76,2738,float64,2738,2738,0.7934064025833703,0.7864967830747865,2738,0.8168178860398847,0.8074904919114547,sales,target_lag,lagged,COGS_lag_365d,low,train_median,Generated candidate feature: COGS_lag_365d,True,selected
COGS_rolling_7d_mean,0.03,3102,float64,3102,3102,0.6408371721809832,0.6762357682489897,3102,0.6533919599725433,0.6999607446745966,sales,target_lag,lagged,COGS_rolling_7d_mean,low,train_median,Generated candidate feature: COGS_rolling_7d_mean,True,selected
COGS_rolling_28d_mean,0.03,3102,float64,3102,3102,0.6200323895522896,0.6575746640136779,3102,0.6239590653788323,0.6795967213159393,sales,target_lag,lagged,COGS_rolling_28d_mean,low,train_median,Generated candidate feature: COGS_rolling_28d_mean,True,selected
COGS_rolling_90d_mean,0.03,3102,float64,3102,3102,0.4927756746573616,0.53871660183511,3102,0.5163326883746522,0.577942373382839,sales,target_lag,lagged,COGS_rolling_90d_mean,low,train_median,Generated candidate feature: COGS_rolling_90d_mean,True,selected
sessions_sum_lag_1d,5.87,2771,float64,2921,2921,0.4009430813944216,0.44102025318512705,2921,0.3992246817815601,0.4579139546130136,unknown,source_lag,lagged,sessions_sum_lag_1d,low,fill_0,Generated candidate feature: sessions_sum_lag_1d,True,selected
sessions_sum_lag_7d,6.06,2766,float64,2915,2915,0.3868485333475041,0.42667202890718114,2915,0.385092304763998,0.4441117942040645,unknown,source_lag,lagged,sessions_sum_lag_7d,low,fill_0,Generated candidate feature: sessions_sum_lag_7d,True,selected
sessions_sum_lag_14d,6.28,2760,float64,2908,2908,0.36516544067876444,0.4031981036128561,2908,0.3632187233524697,0.42047714074847353,unknown,source_lag,lagged,sessions_sum_lag_14d,low,fill_0,Generated candidate feature: sessions_sum_lag_14d,True,selected
sessions_sum_lag_28d,6.74,2747,float64,2894,2894,0.3034151608923854,0.32808006297216097,2894,0.3032156471308179,0.3432432172760133,unknown,source_lag,lagged,sessions_sum_lag_28d,low,fill_0,Generated candidate feature: sessions_sum_lag_28d,True,selected
sessions_sum_lag_365d,17.6,2437,float64,2557,2557,0.3868350304003126,0.42595624756666095,2557,0.38572609383381073,0.4397086620983076,unknown,source_lag,lagged,sessions_sum_lag_365d,low,fill_0,Generated candidate feature: sessions_sum_lag_365d,True,selected
sessions_sum_rolling_7d_mean,5.87,2901,float64,2921,2921,0.4053405003531124,0.4416752872708921,2921,0.4036373786443056,0.4588376345978922,unknown,source_lag,lagged,sessions_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_sum_rolling_7d_mean,True,selected
sessions_sum_rolling_28d_mean,5.87,2911,float64,2921,2921,0.38554663627581875,0.411499897779223,2921,0.38586567881553924,0.42991133445842217,unknown,source_lag,lagged,sessions_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_sum_rolling_28d_mean,True,selected
sessions_sum_rolling_90d_mean,5.87,2920,float64,2921,2921,0.20565384583998794,0.2246996441226875,2921,0.22201070299499392,0.25461275813309947,unknown,source_lag,lagged,sessions_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_sum_rolling_90d_mean,True,selected
visitors_sum_lag_1d,5.87,2742,float64,2921,2921,0.3983476083826214,0.44039699984578534,2921,0.3952062517530397,0.45657150170855215,unknown,source_lag,lagged,visitors_sum_lag_1d,low,fill_0,Generated candidate feature: visitors_sum_lag_1d,True,selected
visitors_sum_lag_7d,6.06,2736,float64,2915,2915,0.38504363922169543,0.42567515910448905,2915,0.38175378947195904,0.4418493471253489,unknown,source_lag,lagged,visitors_sum_lag_7d,low,fill_0,Generated candidate feature: visitors_sum_lag_7d,True,selected
visitors_sum_lag_14d,6.28,2731,float64,2908,2908,0.36400475792696496,0.4025539891579393,2908,0.3602508985909495,0.41836703468169945,unknown,source_lag,lagged,visitors_sum_lag_14d,low,fill_0,Generated candidate feature: visitors_sum_lag_14d,True,selected
visitors_sum_lag_28d,6.74,2719,float64,2894,2894,0.30601436119269887,0.33027531552875206,2894,0.30488479581140465,0.3448895294118068,unknown,source_lag,lagged,visitors_sum_lag_28d,low,fill_0,Generated candidate feature: visitors_sum_lag_28d,True,selected
visitors_sum_lag_365d,17.6,2404,float64,2557,2557,0.3860443698563472,0.42577510828572684,2557,0.38570199806546857,0.4403033475932904,unknown,source_lag,lagged,visitors_sum_lag_365d,low,fill_0,Generated candidate feature: visitors_sum_lag_365d,True,selected
visitors_sum_rolling_7d_mean,5.87,2891,float64,2921,2921,0.40379096593481417,0.44230544894262636,2921,0.400790381633525,0.4581437436067627,unknown,source_lag,lagged,visitors_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: visitors_sum_rolling_7d_mean,True,selected
visitors_sum_rolling_28d_mean,5.87,2911,float64,2921,2921,0.3868464681114998,0.4137001213257903,2921,0.38573442189590895,0.4308810172845902,unknown,source_lag,lagged,visitors_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: visitors_sum_rolling_28d_mean,True,selected
visitors_sum_rolling_90d_mean,5.87,2919,float64,2921,2921,0.2069212066567303,0.22664478454193407,2921,0.22256919826022717,0.2561020307610075,unknown,source_lag,lagged,visitors_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: visitors_sum_rolling_90d_mean,True,selected
page_views_sum_lag_1d,5.87,2900,float64,2921,2921,0.3767727279144984,0.41954330659674816,2921,0.37460179571514146,0.4340645441194644,unknown,source_lag,lagged,page_views_sum_lag_1d,low,fill_0,Generated candidate feature: page_views_sum_lag_1d,True,selected
page_views_sum_lag_7d,6.06,2894,float64,2915,2915,0.35391730729749743,0.40274006595079814,2915,0.350602452035176,0.41902579816036206,unknown,source_lag,lagged,page_views_sum_lag_7d,low,fill_0,Generated candidate feature: page_views_sum_lag_7d,True,selected
page_views_sum_lag_14d,6.28,2887,float64,2908,2908,0.33165368605458084,0.37741364036955155,2908,0.3296025030987139,0.3941289626607594,unknown,source_lag,lagged,page_views_sum_lag_14d,low,fill_0,Generated candidate feature: page_views_sum_lag_14d,True,selected
page_views_sum_lag_28d,6.74,2875,float64,2894,2894,0.2815365972532893,0.30797876657935314,2894,0.28112486431577277,0.3213298314417161,unknown,source_lag,lagged,page_views_sum_lag_28d,low,fill_0,Generated candidate feature: page_views_sum_lag_28d,True,selected
page_views_sum_lag_365d,17.6,2540,float64,2557,2557,0.3534997368935217,0.39764257742715353,2557,0.3539432428292234,0.41205825251222006,unknown,source_lag,lagged,page_views_sum_lag_365d,low,fill_0,Generated candidate feature: page_views_sum_lag_365d,True,selected
page_views_sum_rolling_7d_mean,5.87,2920,float64,2921,2921,0.399949837622552,0.43851703674701625,2921,0.3977681863738289,0.4540193397073133,unknown,source_lag,lagged,page_views_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: page_views_sum_rolling_7d_mean,True,selected
page_views_sum_rolling_28d_mean,5.87,2920,float64,2921,2921,0.3843979326279021,0.4106128734589313,2921,0.3839192995980164,0.42758007747321225,unknown,source_lag,lagged,page_views_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: page_views_sum_rolling_28d_mean,True,selected
page_views_sum_rolling_90d_mean,5.87,2920,float64,2921,2921,0.2054887447876968,0.22150783937999788,2921,0.2199265826584884,0.2500918197958382,unknown,source_lag,lagged,page_views_sum_rolling_90d_mean,low,fill_0,Generated candidate feature: page_views_sum_rolling_90d_mean,True,selected
bounce_rate_mean_lag_1d,5.87,261,float64,2921,2921,-0.03481734401030646,-0.0318032568464884,2921,-0.03999875416749336,-0.04080124621231685,unknown,source_lag,lagged,bounce_rate_mean_lag_1d,low,train_median,Generated candidate feature: bounce_rate_mean_lag_1d,True,selected
