feature,method,fill_value_from_train,train_missing_before,train_missing_after,valid_missing_before,valid_missing_after
day_of_week,no_impute,,0,0,0,0
month,no_impute,,0,0,0,0
quarter,no_impute,,0,0,0,0
year,no_impute,,0,0,0,0
is_weekend,no_impute,,0,0,0,0
is_holiday,no_impute,,0,0,0,0
days_to_year_end,no_impute,,0,0,0,0
promo_count_active,no_impute,,0,0,0,0
promo_discount_mean,no_impute,,0,0,0,0
promo_discount_max,no_impute,,0,0,0,0
is_promo_active,no_impute,,0,0,0,0
Revenue_lag_1d,train_median,3891988.25,0,0,0,0
Revenue_lag_7d,train_median,3898326.89,0,0,0,0
Revenue_lag_14d,train_median,3907761.005,0,0,0,0
Revenue_lag_28d,train_median,3929610.115,0,0,0,0
Revenue_lag_365d,train_median,4132137.165,0,0,0,0
Revenue_rolling_7d_mean,train_median,3949719.422142857,0,0,0,0
Revenue_rolling_28d_mean,train_median,4177425.6294642854,0,0,0,0
Revenue_rolling_90d_mean,train_median,4210457.114388889,0,0,0,0
COGS_lag_1d,train_median,3411636.045,0,0,0,0
COGS_lag_7d,train_median,3418434.77,0,0,0,0
COGS_lag_14d,train_median,3437941.88,0,0,0,0
COGS_lag_28d,train_median,3456009.6399999997,0,0,0,0
COGS_lag_365d,train_median,3581807.4050000003,0,0,0,0
COGS_rolling_7d_mean,train_median,3469664.722857143,0,0,0,0
COGS_rolling_28d_mean,train_median,3519248.580892857,0,0,0,0
COGS_rolling_90d_mean,train_median,3621298.906388889,0,0,0,0
sessions_sum_lag_1d,fill_0,0.0,0,0,0,0
sessions_sum_lag_7d,fill_0,0.0,0,0,0,0
sessions_sum_lag_14d,fill_0,0.0,0,0,0,0
sessions_sum_lag_28d,fill_0,0.0,0,0,0,0
sessions_sum_lag_365d,fill_0,0.0,181,0,0,0
sessions_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
visitors_sum_lag_1d,fill_0,0.0,0,0,0,0
visitors_sum_lag_7d,fill_0,0.0,0,0,0,0
visitors_sum_lag_14d,fill_0,0.0,0,0,0,0
visitors_sum_lag_28d,fill_0,0.0,0,0,0,0
visitors_sum_lag_365d,fill_0,0.0,181,0,0,0
visitors_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
visitors_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
visitors_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
page_views_sum_lag_1d,fill_0,0.0,0,0,0,0
page_views_sum_lag_7d,fill_0,0.0,0,0,0,0
page_views_sum_lag_14d,fill_0,0.0,0,0,0,0
page_views_sum_lag_28d,fill_0,0.0,0,0,0,0
page_views_sum_lag_365d,fill_0,0.0,181,0,0,0
page_views_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
page_views_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
page_views_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
bounce_rate_mean_lag_1d,train_median,0.00444,0,0,0,0
bounce_rate_mean_lag_7d,train_median,0.00444,0,0,0,0
