feature,mean_from_train,std_from_train
day_of_week,3.0,2.0
month,6.721694667640613,3.444318357849104
quarter,2.5745069393718043,1.1154248809741272
year,2016.736303871439,2.173982688285636
is_weekend,0.2856099342585829,0.45178694907521466
is_holiday,0.027757487216946677,0.16430724022222937
days_to_year_end,176.0518626734843,105.3238141269617
promo_count_active,0.4784514243973703,0.5111931761040793
promo_discount_mean,8.985025566106648,12.100063652323698
promo_discount_max,9.101899196493791,12.395571387976002
is_promo_active,0.47260774287801316,0.4993402957789601
Revenue_lag_1d,4568881.002231556,2776479.939761281
Revenue_lag_7d,4580295.75504748,2777560.742151956
Revenue_lag_14d,4592129.385715851,2775794.510762114
Revenue_lag_28d,4614796.060861942,2765852.035099409
Revenue_lag_365d,4808271.58265157,2755536.4581120457
Revenue_rolling_7d_mean,4574048.814999478,2358690.4802282373
Revenue_rolling_28d_mean,4592933.943794349,2001127.780648103
Revenue_rolling_90d_mean,4651713.305703149,1787470.7644128455
COGS_lag_1d,3949690.832680789,2351335.6940572555
COGS_lag_7d,3960534.591493791,2354774.800304558
COGS_lag_14d,3970165.5233674212,2354005.334352581
COGS_lag_28d,3987347.915949598,2345575.9929624596
COGS_lag_365d,4133542.172914536,2325812.801854041
COGS_rolling_7d_mean,3954588.963733173,1969285.8521950666
COGS_rolling_28d_mean,3970325.7174771735,1643494.6724887688
COGS_rolling_90d_mean,4016073.7833327246,1476739.0385650094
sessions_sum_lag_1d,23947.73630387144,8810.849952916376
sessions_sum_lag_7d,23957.9419284149,8809.968392923649
sessions_sum_lag_14d,23977.714755295838,8809.18249396575
sessions_sum_lag_28d,24020.87910883857,8801.86305777936
sessions_sum_lag_365d,21482.927319211103,9848.438645970256
sessions_sum_rolling_7d_mean,23951.810706459357,8518.228230363753
sessions_sum_rolling_28d_mean,23980.70240269227,8268.895269217603
sessions_sum_rolling_90d_mean,24070.95071422774,7476.605775225878
visitors_sum_lag_1d,18194.050401753106,6756.204997553018
visitors_sum_lag_7d,18200.777940102264,6755.809212724898
visitors_sum_lag_14d,18216.422936449962,6755.298733153607
visitors_sum_lag_28d,18249.251643535426,6750.877337471174
visitors_sum_lag_365d,16315.506939371804,7512.936830634634
