day_of_week,month,quarter,year,is_weekend,Revenue_lag_1d,Revenue_lag_7d,Revenue_rolling_7d_mean,Revenue_rolling_28d_mean,COGS_lag_1d,COGS_lag_7d,COGS_rolling_7d_mean,COGS_rolling_28d_mean,sessions_sum_lag_1d,sessions_sum_lag_7d,sessions_sum_rolling_7d_mean,sessions_sum_rolling_28d_mean,unique_visitors_sum_lag_1d,unique_visitors_sum_lag_7d,unique_visitors_sum_rolling_7d_mean,unique_visitors_sum_rolling_28d_mean,page_views_sum_lag_1d,page_views_sum_lag_7d,page_views_sum_rolling_7d_mean,page_views_sum_rolling_28d_mean,avg_bounce_rate_lag_1d,avg_bounce_rate_lag_7d,avg_bounce_rate_rolling_7d_mean,avg_bounce_rate_rolling_28d_mean,avg_session_duration_sec_mean_lag_1d,avg_session_duration_sec_mean_lag_7d,avg_session_duration_sec_mean_rolling_7d_mean,avg_session_duration_sec_mean_rolling_28d_mean,traffic_source_count_lag_1d,traffic_source_count_lag_7d,traffic_source_count_rolling_7d_mean,traffic_source_count_rolling_28d_mean,daily_order_count_lag_1d,daily_order_count_lag_7d,daily_order_count_rolling_7d_mean,daily_order_count_rolling_28d_mean,daily_customer_count_lag_1d,daily_customer_count_lag_7d,daily_customer_count_rolling_7d_mean,daily_customer_count_rolling_28d_mean,order_source_count_lag_1d,order_source_count_lag_7d,order_source_count_rolling_7d_mean,order_source_count_rolling_28d_mean,order_status_cancelled_count_lag_1d,order_status_cancelled_count_lag_7d,order_status_cancelled_count_rolling_7d_mean,order_status_cancelled_count_rolling_28d_mean,order_status_created_count_lag_1d,order_status_created_count_lag_7d,order_status_created_count_rolling_7d_mean,order_status_created_count_rolling_28d_mean,order_status_delivered_count_lag_1d,order_status_delivered_count_lag_7d,order_status_delivered_count_rolling_7d_mean,order_status_delivered_count_rolling_28d_mean,order_status_paid_count_lag_1d,order_status_paid_count_lag_7d,order_status_paid_count_rolling_7d_mean,order_status_paid_count_rolling_28d_mean,order_status_returned_count_lag_1d,order_status_returned_count_lag_7d,order_status_returned_count_rolling_7d_mean,order_status_returned_count_rolling_28d_mean,order_status_shipped_count_lag_1d,order_status_shipped_count_lag_7d,order_status_shipped_count_rolling_7d_mean,order_status_shipped_count_rolling_28d_mean,daily_total_quantity_lag_1d,daily_total_quantity_lag_7d,daily_total_quantity_rolling_7d_mean,daily_total_quantity_rolling_28d_mean,daily_gross_item_revenue_lag_1d,daily_gross_item_revenue_lag_7d,daily_gross_item_revenue_rolling_7d_mean,daily_gross_item_revenue_rolling_28d_mean,daily_discount_amount_lag_1d,daily_discount_amount_lag_7d,daily_discount_amount_rolling_7d_mean,daily_discount_amount_rolling_28d_mean,daily_distinct_products_lag_1d,daily_distinct_products_lag_7d,daily_distinct_products_rolling_7d_mean,daily_distinct_products_rolling_28d_mean,daily_estimated_cogs_lag_1d,daily_estimated_cogs_lag_7d,daily_estimated_cogs_rolling_7d_mean,daily_estimated_cogs_rolling_28d_mean,daily_return_count_lag_1d,daily_return_count_lag_7d,daily_return_count_rolling_7d_mean,daily_return_count_rolling_28d_mean,daily_refund_amount_lag_1d,daily_refund_amount_lag_7d,daily_refund_amount_rolling_7d_mean,daily_refund_amount_rolling_28d_mean,daily_return_quantity_lag_1d,daily_return_quantity_lag_7d,daily_return_quantity_rolling_7d_mean,daily_return_quantity_rolling_28d_mean,daily_stock_on_hand_sum_lag_1d,daily_stock_on_hand_sum_lag_7d,daily_stock_on_hand_sum_rolling_7d_mean,daily_stock_on_hand_sum_rolling_28d_mean,daily_units_received_sum_lag_1d,daily_units_received_sum_lag_7d,daily_units_received_sum_rolling_7d_mean,daily_units_received_sum_rolling_28d_mean,daily_units_sold_sum_lag_1d,daily_units_sold_sum_lag_7d,daily_units_sold_sum_rolling_7d_mean,daily_units_sold_sum_rolling_28d_mean,daily_stockout_days_sum_lag_1d,daily_stockout_days_sum_lag_7d,daily_stockout_days_sum_rolling_7d_mean,daily_stockout_days_sum_rolling_28d_mean,daily_days_of_supply_mean_lag_1d,daily_days_of_supply_mean_lag_7d,daily_days_of_supply_mean_rolling_7d_mean,daily_days_of_supply_mean_rolling_28d_mean,daily_fill_rate_mean_lag_1d,daily_fill_rate_mean_lag_7d,daily_fill_rate_mean_rolling_7d_mean,daily_fill_rate_mean_rolling_28d_mean,daily_inventory_product_count_lag_1d,daily_inventory_product_count_lag_7d,daily_inventory_product_count_rolling_7d_mean,daily_inventory_product_count_rolling_28d_mean
2,8,3,2012,0,9151622.14,5246688.08,5874894.595714286,4657384.768214286,7142891.18,4140019.37,4609986.078571429,3661302.638214286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,381.0,224.0,248.57142857142858,189.07142857142858,377.0,221.0,246.28571428571428,187.53571428571428,6.0,6.0,6.0,6.0,41.0,23.0,24.428571428571427,17.25,2.0,5.0,2.142857142857143,1.6785714285714286,305.0,164.0,197.71428571428572,151.17857142857142,4.0,4.0,4.142857142857143,3.9285714285714284,18.0,23.0,14.0,10.357142857142858,11.0,5.0,6.142857142857143,4.678571428571429,2016.0,1090.0,1240.857142857143,942.2857142857143,9151622.14,5246688.08,5874894.595714286,4657384.768214286,0.0,0.0,0.0,0.0,183.0,139.0,140.14285714285714,114.85714285714286,7142891.183717897,4140019.3709758664,4609986.079597402,3661302.639242623,16.0,8.0,9.571428571428571,5.35,209656.85,141941.0,120566.42142857144,78318.35800000001,44.0,24.0,26.428571428571427,14.7,23698.0,0.0,23698.0,23698.0,8796.0,7744.0,8796.0,8796.0,7451.0,6650.0,7451.0,7451.0,402.0,0.0,402.0,402.0,93.25316455696202,842.3717693836978,93.25316455696202,93.25316455696202,0.9660749367088608,0.9623243295019157,0.9660749367088608,0.9660749367088608,395.0,0.0,395.0,395.0
3,8,3,2012,0,9148357.3,5851965.06,6432275.912857143,4801127.959642857,7308514.33,4579171.74,5062628.215714285,3780071.3217857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,360.0,273.0,268.0,196.14285714285714,357.0,270.0,265.7142857142857,194.53571428571428,6.0,6.0,6.0,6.0,31.0,31.0,25.571428571428573,18.035714285714285,7.0,0.0,2.4285714285714284,1.9285714285714286,289.0,218.0,215.57142857142858,156.71428571428572,13.0,5.0,5.428571428571429,4.178571428571429,17.0,12.0,13.142857142857142,10.571428571428571,3.0,7.0,5.857142857142857,4.714285714285714,1693.0,1310.0,1327.0,975.0,9148357.3,5851965.06,6432275.912857143,4801127.959642857,0.0,0.0,0.0,0.0,181.0,161.0,146.14285714285714,118.0,7308514.329521848,4579171.740512137,5062628.216532542,3780071.322817039,4.0,7.0,9.0,5.285714285714286,37734.15,46345.31,105679.72857142857,76385.77666666667,8.0,16.0,24.142857142857142,14.380952380952381,0.0,0.0,23698.0,23698.0,7744.0,7744.0,8796.0,8796.0,6650.0,6650.0,7451.0,7451.0,0.0,0.0,402.0,402.0,842.3717693836978,842.3717693836978,93.25316455696202,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.9660749367088608,0.0,0.0,395.0,395.0
4,8,3,2012,0,9692427.0,5156699.45,6980913.332857142,5049008.443571429,7537501.15,3989402.2,5485246.702857143,3972461.354642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,413.0,212.0,288.0,207.42857142857142,410.0,211.0,285.7142857142857,205.71428571428572,6.0,6.0,6.0,6.0,33.0,25.0,25.857142857142858,18.892857142857142,2.0,2.0,2.7142857142857144,2.0,338.0,166.0,232.71428571428572,165.89285714285714,10.0,3.0,6.142857142857143,4.5,24.0,14.0,14.857142857142858,11.25,6.0,2.0,5.714285714285714,4.892857142857143,2038.0,1070.0,1431.0,1032.5,9692427.0,5156699.45,6980913.332857142,5049008.443571429,0.0,0.0,0.0,0.0,181.0,125.0,149.0,122.14285714285714,7537501.148537517,3989402.2008385034,5485246.70339331,3972461.3554877485,8.0,7.0,9.142857142857142,5.409090909090909,42250.2,53193.439999999995,105094.71285714286,74834.15954545455,12.0,18.0,23.571428571428573,14.272727272727273,0.0,0.0,23698.0,23698.0,7744.0,7744.0,8796.0,8796.0,6650.0,6650.0,7451.0,7451.0,0.0,0.0,402.0,402.0,842.3717693836978,842.3717693836978,93.25316455696202,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.9660749367088608,0.0,0.0,395.0,395.0
5,8,3,2012,1,9297269.95,4326956.84,7572423.404285714,5271981.319642858,7118808.46,3403662.59,5932304.74,4136789.055357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,353.0,176.0,308.14285714285717,216.71428571428572,351.0,176.0,305.7142857142857,214.92857142857142,6.0,6.0,6.0,6.0,36.0,12.0,27.428571428571427,19.785714285714285,5.0,1.0,3.142857142857143,2.142857142857143,284.0,145.0,249.57142857142858,173.57142857142858,6.0,6.0,6.571428571428571,4.642857142857143,17.0,6.0,15.285714285714286,11.607142857142858,5.0,6.0,6.142857142857143,4.964285714285714,1793.0,896.0,1534.2857142857142,1080.7857142857142,9297269.95,4326956.84,7572423.404285714,5271981.319642858,0.0,0.0,0.0,0.0,176.0,99.0,156.28571428571428,125.82142857142857,7118808.464325115,3403662.5946260374,5932304.741034255,4136789.056236463,20.0,9.0,11.0,6.043478260869565,261973.78000000003,77765.1,134920.4757142857,82970.6647826087,53.0,26.0,28.571428571428573,15.956521739130435,0.0,0.0,23698.0,23698.0,7744.0,7744.0,8796.0,8796.0,6650.0,6650.0,7451.0,7451.0,0.0,0.0,402.0,402.0,842.3717693836978,842.3717693836978,93.25316455696202,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.9660749367088608,0.0,0.0,395.0,395.0
6,8,3,2012,1,6384195.03,4804199.65,7866314.574285715,5404705.037142857,5087528.11,3819645.91,6172856.957142858,4243191.965714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,245.0,206.0,318.0,222.85714285714286,243.0,205.0,315.2857142857143,221.0,6.0,6.0,6.0,6.0,26.0,19.0,29.428571428571427,20.428571428571427,4.0,2.0,3.5714285714285716,2.1785714285714284,190.0,166.0,256.0,178.39285714285714,6.0,5.0,6.571428571428571,4.857142857142857,12.0,10.0,16.142857142857142,11.821428571428571,7.0,4.0,6.285714285714286,5.178571428571429,1161.0,972.0,1572.142857142857,1109.25,6384195.03,4804199.65,7866314.574285715,5404705.037142857,0.0,0.0,0.0,0.0,155.0,126.0,164.28571428571428,129.57142857142858,5087528.1056634085,3819645.910989276,6172856.956896737,4243191.966415769,8.0,12.0,10.857142857142858,6.125,68406.08,188827.85,133583.47285714286,82363.80708333333,19.0,35.0,27.571428571428573,16.083333333333332,0.0,0.0,23698.0,23698.0,7744.0,7744.0,8796.0,8796.0,6650.0,6650.0,7451.0,7451.0,0.0,0.0,402.0,402.0,842.3717693836978,842.3717693836978,93.25316455696202,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.9660749367088608,0.0,0.0,395.0,395.0
0,8,3,2012,0,2359224.19,6586130.95,7517032.365714286,5404646.904642858,1863413.11,5195109.56,5893395.128571429,4245148.762857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,76.0,268.0,299.42857142857144,222.42857142857142,76.0,264.0,296.85714285714283,220.60714285714286,6.0,6.0,6.0,6.0,6.0,20.0,27.571428571428573,20.464285714285715,0.0,3.0,3.2857142857142856,2.0714285714285716,60.0,220.0,240.85714285714286,178.14285714285714,2.0,2.0,6.142857142857143,4.857142857142857,6.0,15.0,15.571428571428571,11.75,2.0,8.0,6.0,5.142857142857143,359.0,1332.0,1484.5714285714287,1108.0,2359224.19,6586130.95,7517032.365714286,5404646.904642858,0.0,0.0,0.0,0.0,62.0,148.0,155.14285714285714,129.57142857142858,1863413.1137686607,5195109.555522098,5893395.128722363,4245148.763519434,12.0,8.0,10.857142857142858,6.36,120347.12,126235.4,123800.51142857144,83883.1396,33.0,22.0,27.285714285714285,16.76,0.0,0.0,23698.0,23698.0,7744.0,7744.0,8796.0,8796.0,6650.0,6650.0,7451.0,7451.0,0.0,0.0,402.0,402.0,842.3717693836978,842.3717693836978,93.25316455696202,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.9660749367088608,0.0,0.0,395.0,395.0
1,8,3,2012,0,3630003.7,9151622.14,7094728.472857143,5407561.806071429,2922718.71,7142891.18,5568767.864285714,4249965.799642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,114.0,381.0,277.42857142857144,221.60714285714286,114.0,377.0,275.42857142857144,219.78571428571428,6.0,6.0,6.0,6.0,9.0,41.0,26.0,20.071428571428573,1.0,2.0,3.0,2.107142857142857,88.0,305.0,222.0,177.5,5.0,4.0,6.571428571428571,4.964285714285714,9.0,18.0,14.714285714285714,11.785714285714286,2.0,11.0,5.142857142857143,5.178571428571429,560.0,2016.0,1374.2857142857142,1101.9285714285713,3630003.7,9151622.14,7094728.472857143,5407561.806071429,0.0,0.0,0.0,0.0,89.0,183.0,146.71428571428572,129.46428571428572,2922718.7101814244,7142891.183717897,5568767.865102267,4249965.800292288,6.0,16.0,10.571428571428571,6.346153846153846,147083.88,209656.85,126778.86571428573,86313.93730769231,20.0,44.0,27.0,16.884615384615383,0.0,23698.0,23698.0,23698.0,7744.0,8796.0,8796.0,8796.0,6650.0,7451.0,7451.0,7451.0,0.0,402.0,402.0,402.0,842.3717693836978,93.25316455696202,93.25316455696202,93.25316455696202,0.9623243295019157,0.9660749367088608,0.9660749367088608,0.9660749367088608,0.0,395.0,395.0,395.0
2,8,3,2012,0,2240253.44,9148357.3,6107390.087142857,5300608.763928571,1781265.84,7308514.33,4802821.387142858,4169138.1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,93.0,360.0,236.28571428571428,218.39285714285714,91.0,357.0,234.57142857142858,216.53571428571428,6.0,6.0,6.0,6.0,13.0,31.0,22.0,19.892857142857142,0.0,7.0,2.7142857142857144,1.9642857142857142,68.0,289.0,188.14285714285714,175.03571428571428,5.0,13.0,6.714285714285714,4.892857142857143,4.0,17.0,12.714285714285714,11.607142857142858,3.0,3.0,4.0,5.0,471.0,1693.0,1153.5714285714287,1085.607142857143,2240253.44,9148357.3,6107390.087142857,5300608.763928571,0.0,0.0,0.0,0.0,78.0,181.0,131.71428571428572,127.57142857142857,1781265.8378658865,7308514.329521848,4802821.387123409,4169138.193194629,12.0,4.0,10.0,6.555555555555555,112879.45999999999,37734.15,112953.52428571429,87297.84555555556,29.0,8.0,24.857142857142858,17.333333333333332,0.0,0.0,0.0,23698.0,7744.0,7744.0,7744.0,8796.0,6650.0,6650.0,6650.0,7451.0,0.0,0.0,0.0,402.0,842.3717693836978,842.3717693836978,842.3717693836978,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.0,0.0,0.0,395.0
3,8,3,2012,0,2617553.36,9692427.0,5174418.095714286,5194704.070357143,1997006.42,7537501.15,4044034.5428571436,4085520.097857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,129.0,413.0,203.28571428571428,215.10714285714286,128.0,410.0,201.85714285714286,213.21428571428572,6.0,6.0,6.0,6.0,15.0,33.0,19.714285714285715,19.857142857142858,0.0,2.0,1.7142857142857142,1.8928571428571428,99.0,338.0,161.0,172.14285714285714,4.0,10.0,5.428571428571429,4.821428571428571,9.0,24.0,11.571428571428571,11.464285714285714,2.0,6.0,3.857142857142857,4.928571428571429,621.0,2038.0,1000.4285714285714,1068.607142857143,2617553.36,9692427.0,5174418.095714286,5194704.070357143,0.0,0.0,0.0,0.0,103.0,181.0,120.57142857142857,126.60714285714286,1997006.4242339963,7537501.148537517,4044034.543510858,4085520.0987505238,5.0,8.0,10.142857142857142,6.703703703703703,51784.979999999996,42250.2,114960.78571428571,88975.29851851852,16.0,12.0,26.0,17.77777777777778,0.0,0.0,0.0,23698.0,7744.0,7744.0,7744.0,8796.0,6650.0,6650.0,6650.0,7451.0,0.0,0.0,0.0,402.0,842.3717693836978,842.3717693836978,842.3717693836978,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.0,0.0,0.0,395.0
4,8,3,2012,0,4478691.52,9297269.95,4429598.741428571,5149849.052500001,3621672.71,7118808.46,3484630.48,4055622.292142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00445,0.00445,0.004488571428571428,0.004482857142857143,209.3,209.3,210.54285714285714,209.65357142857144,0.0,0.0,0.0,0.0,156.0,353.0,166.57142857142858,211.89285714285714,156.0,351.0,165.57142857142858,210.10714285714286,6.0,6.0,6.0,6.0,16.0,36.0,17.285714285714285,19.714285714285715,2.0,5.0,1.7142857142857142,1.8214285714285714,131.0,284.0,131.42857142857142,169.67857142857142,0.0,6.0,4.0,4.678571428571429,7.0,17.0,9.142857142857142,11.464285714285714,0.0,5.0,3.0,4.535714285714286,822.0,1793.0,826.7142857142857,1053.642857142857,4478691.5200000005,9297269.95,4429598.741428571,5149849.052500001,0.0,0.0,0.0,0.0,112.0,176.0,110.71428571428571,125.0,3621672.7136540324,7118808.464325115,3484630.481384646,4055622.293085853,16.0,20.0,11.285714285714286,7.2592592592592595,242575.69999999998,261973.78000000003,143578.7142857143,97780.54666666666,47.0,53.0,31.0,19.48148148148148,0.0,0.0,0.0,23698.0,7744.0,7744.0,7744.0,8796.0,6650.0,6650.0,6650.0,7451.0,0.0,0.0,0.0,402.0,842.3717693836978,842.3717693836978,842.3717693836978,93.25316455696202,0.9623243295019157,0.9623243295019157,0.9623243295019157,0.9660749367088608,0.0,0.0,0.0,395.0
