feature_name,dtype,feature_group,transform,included_in_X,reason
Date,datetime64[us],id,none,False,Key/target/excluded to avoid leakage
Revenue,float64,target,none,False,Key/target/excluded to avoid leakage
COGS,float64,target,none,False,Key/target/excluded to avoid leakage
day_of_week,int32,calendar,calendar,True,Model feature
month,int32,calendar,calendar,True,Model feature
quarter,int32,calendar,calendar,True,Model feature
year,int32,calendar,calendar,True,Model feature
is_weekend,int64,calendar,calendar,True,Model feature
Revenue_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
Revenue_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
Revenue_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
Revenue_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
COGS_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
COGS_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
COGS_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
COGS_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
sessions_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
sessions_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
sessions_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
sessions_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
unique_visitors_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
unique_visitors_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
unique_visitors_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
unique_visitors_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
page_views_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
page_views_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
page_views_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
page_views_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_bounce_rate_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_bounce_rate_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_bounce_rate_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_bounce_rate_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_session_duration_sec_mean_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_session_duration_sec_mean_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_session_duration_sec_mean_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
avg_session_duration_sec_mean_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
traffic_source_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
traffic_source_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
traffic_source_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
traffic_source_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_order_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_order_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_order_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_order_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_customer_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_customer_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_customer_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_customer_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_source_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_source_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_source_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_source_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_cancelled_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_cancelled_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_cancelled_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_cancelled_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_created_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_created_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_created_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_created_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_delivered_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_delivered_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_delivered_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_delivered_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_paid_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_paid_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_paid_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_paid_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_returned_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_returned_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_returned_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_returned_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_shipped_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_shipped_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
