feature_name,missing_before,missing_after,imputation_method,reason
day_of_week,0,0,none,No missing values
month,0,0,none,No missing values
quarter,0,0,none,No missing values
year,0,0,none,No missing values
is_weekend,0,0,none,No missing values
Revenue_lag_1d,1,0,fill_median,Numeric feature fallback
Revenue_lag_7d,7,0,fill_median,Numeric feature fallback
Revenue_rolling_7d_mean,1,0,fill_median,Numeric feature fallback
Revenue_rolling_28d_mean,1,0,fill_median,Numeric feature fallback
COGS_lag_1d,1,0,fill_median,Numeric feature fallback
COGS_lag_7d,7,0,fill_median,Numeric feature fallback
COGS_rolling_7d_mean,1,0,fill_median,Numeric feature fallback
COGS_rolling_28d_mean,1,0,fill_median,Numeric feature fallback
sessions_sum_lag_1d,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
sessions_sum_lag_7d,188,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
sessions_sum_rolling_7d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
sessions_sum_rolling_28d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
unique_visitors_sum_lag_1d,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
unique_visitors_sum_lag_7d,188,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
unique_visitors_sum_rolling_7d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
unique_visitors_sum_rolling_28d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
page_views_sum_lag_1d,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
page_views_sum_lag_7d,188,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
page_views_sum_rolling_7d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
page_views_sum_rolling_28d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
avg_bounce_rate_lag_1d,182,0,fill_median,Numeric feature fallback
avg_bounce_rate_lag_7d,188,0,fill_median,Numeric feature fallback
avg_bounce_rate_rolling_7d_mean,182,0,fill_median,Numeric feature fallback
avg_bounce_rate_rolling_28d_mean,182,0,fill_median,Numeric feature fallback
avg_session_duration_sec_mean_lag_1d,182,0,fill_median,Numeric feature fallback
avg_session_duration_sec_mean_lag_7d,188,0,fill_median,Numeric feature fallback
avg_session_duration_sec_mean_rolling_7d_mean,182,0,fill_median,Numeric feature fallback
avg_session_duration_sec_mean_rolling_28d_mean,182,0,fill_median,Numeric feature fallback
traffic_source_count_lag_1d,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
traffic_source_count_lag_7d,188,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
traffic_source_count_rolling_7d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
traffic_source_count_rolling_28d_mean,182,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_order_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_order_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_order_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_order_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_customer_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_customer_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_customer_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_customer_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_source_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_source_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_source_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_source_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_cancelled_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_cancelled_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_cancelled_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_cancelled_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_created_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_created_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_created_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_created_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_delivered_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_delivered_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_delivered_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_delivered_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_paid_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_paid_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_paid_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_paid_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_returned_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_returned_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_returned_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_returned_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_shipped_count_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_shipped_count_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
order_status_shipped_count_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
