Date,Revenue,COGS,Revenue_lag_1d,COGS_lag_1d,order_count_lag_1d,order_district_count_lag_1d,shipment_count_lag_1d,refund_amount_sum_rolling_7d_mean,review_count_rolling_7d_mean,return_count_rolling_7d_mean,shipping_fee_sum_lag_1d,month,day_of_week
2012-07-04,5123547.94,3982991.19,,,,,,,,,,7,2
2012-07-05,2751773.45,2150580.23,5123547.94,3982991.19,162.0,38.0,33.0,,,,157.76,7,3
2012-07-06,3054029.42,2517632.84,2751773.45,2150580.23,97.0,37.0,45.0,,,,172.75,7,4
2012-07-07,2667930.94,2108246.62,3054029.42,2517632.84,93.0,31.0,94.0,,,,292.15,7,5
2012-07-08,2360851.9,1808622.79,2667930.94,2108246.62,73.0,34.0,92.0,,,,328.58,7,6
2012-07-09,3548386.46,2787841.68,2360851.9,1808622.79,88.0,34.0,78.0,,,,428.18,7,0
2012-07-10,5234938.62,4044438.84,3548386.46,2787841.68,137.0,38.0,86.0,,,,404.65,7,1
2012-07-11,5582884.78,4338313.07,5234938.62,4044438.84,183.0,39.0,112.0,,1.0,,416.9,7,2
2012-07-12,5734632.02,4458811.27,5582884.78,4338313.07,221.0,39.0,136.0,6493.75,1.0,1.0,571.37,7,3
2012-07-13,5309511.71,4143402.78,5734632.02,4458811.27,246.0,38.0,165.0,5663.875,1.0,1.0,706.0699999999999,7,4
2012-07-14,3820831.41,3075464.87,5309511.71,4143402.78,201.0,38.0,169.0,5663.875,1.3333333333333333,1.0,777.6800000000001,7,5
2012-07-15,3948841.28,3154482.05,3820831.41,3075464.87,157.0,37.0,173.0,21431.583333333332,1.5,1.3333333333333333,873.9,7,6
2012-07-16,3503801.49,2708219.59,3948841.28,3154482.05,149.0,39.0,186.0,19457.3425,2.0,1.5,853.6,7,0
2012-07-17,4476729.49,3463061.65,3503801.49,2708219.59,140.0,37.0,144.0,18799.982,2.3333333333333335,1.8,653.3,7,1
2012-07-18,5184141.46,4072012.16,4476729.49,3463061.65,185.0,37.0,133.0,19490.663333333334,3.5,2.0,583.36,7,2
2012-07-19,6421487.11,5007270.91,5184141.46,4072012.16,225.0,38.0,156.0,22275.49666666667,4.142857142857143,2.1666666666666665,880.72,7,3
2012-07-20,5171470.46,4213989.64,6421487.11,5007270.91,263.0,39.0,191.0,27419.448333333334,5.285714285714286,2.8333333333333335,978.63,7,4
2012-07-21,3442157.02,2746075.45,5171470.46,4213989.64,231.0,37.0,184.0,23718.325714285715,6.428571428571429,2.5714285714285716,1229.6,7,5
2012-07-22,3117550.57,2531656.38,3442157.02,2746075.45,171.0,39.0,192.0,36082.42857142857,8.0,2.857142857142857,1159.1,7,6
2012-07-23,4730517.69,3685006.66,3117550.57,2531656.38,140.0,38.0,171.0,62216.188571428575,8.714285714285714,3.4285714285714284,1069.55,7,0
2012-07-24,4096496.12,3248450.65,4730517.69,3685006.66,206.0,39.0,176.0,78157.51714285715,9.714285714285714,3.7142857142857144,934.63,7,1
