feature_name,included_in_X,feature_group,reason
Date,False,id,Key/target/leakage exclusion
Revenue,False,target,Key/target/leakage exclusion
COGS,False,target,Key/target/leakage exclusion
day_of_week,True,calendar,Model feature
month,True,calendar,Model feature
quarter,True,calendar,Model feature
year,True,calendar,Model feature
is_weekend,True,calendar,Model feature
Revenue_lag_1d,True,lagged_numeric,Model feature
Revenue_lag_7d,True,lagged_numeric,Model feature
Revenue_rolling_7d_mean,True,lagged_numeric,Model feature
Revenue_rolling_28d_mean,True,lagged_numeric,Model feature
COGS_lag_1d,True,lagged_numeric,Model feature
COGS_lag_7d,True,lagged_numeric,Model feature
COGS_rolling_7d_mean,True,lagged_numeric,Model feature
COGS_rolling_28d_mean,True,lagged_numeric,Model feature
sessions_sum_lag_1d,True,lagged_numeric,Model feature
sessions_sum_lag_7d,True,lagged_numeric,Model feature
sessions_sum_rolling_7d_mean,True,lagged_numeric,Model feature
sessions_sum_rolling_28d_mean,True,lagged_numeric,Model feature
unique_visitors_sum_lag_1d,True,lagged_numeric,Model feature
unique_visitors_sum_lag_7d,True,lagged_numeric,Model feature
unique_visitors_sum_rolling_7d_mean,True,lagged_numeric,Model feature
unique_visitors_sum_rolling_28d_mean,True,lagged_numeric,Model feature
page_views_sum_lag_1d,True,lagged_numeric,Model feature
page_views_sum_lag_7d,True,lagged_numeric,Model feature
page_views_sum_rolling_7d_mean,True,lagged_numeric,Model feature
page_views_sum_rolling_28d_mean,True,lagged_numeric,Model feature
avg_bounce_rate_lag_1d,True,lagged_numeric,Model feature
avg_bounce_rate_lag_7d,True,lagged_numeric,Model feature
avg_bounce_rate_rolling_7d_mean,True,lagged_numeric,Model feature
avg_bounce_rate_rolling_28d_mean,True,lagged_numeric,Model feature
avg_session_duration_sec_mean_lag_1d,True,lagged_numeric,Model feature
avg_session_duration_sec_mean_lag_7d,True,lagged_numeric,Model feature
avg_session_duration_sec_mean_rolling_7d_mean,True,lagged_numeric,Model feature
avg_session_duration_sec_mean_rolling_28d_mean,True,lagged_numeric,Model feature
traffic_source_count_lag_1d,True,lagged_numeric,Model feature
traffic_source_count_lag_7d,True,lagged_numeric,Model feature
traffic_source_count_rolling_7d_mean,True,lagged_numeric,Model feature
traffic_source_count_rolling_28d_mean,True,lagged_numeric,Model feature
