feature_a,feature_b,abs_corr
daily_gross_item_revenue_lag_1d,Revenue_lag_1d,1.0
daily_gross_item_revenue_lag_1d,COGS_lag_1d,0.9759920792385008
daily_gross_item_revenue_lag_1d,daily_estimated_cogs_lag_1d,0.9759920792319555
Revenue_lag_1d,COGS_lag_1d,0.9759920792385008
Revenue_lag_1d,daily_estimated_cogs_lag_1d,0.9759920792319555
COGS_lag_1d,daily_estimated_cogs_lag_1d,0.9999999999999981
COGS_lag_1d,daily_customer_count_lag_1d,0.9613384466161076
COGS_lag_1d,daily_order_count_lag_1d,0.9603668343204163
COGS_lag_1d,order_status_delivered_count_lag_1d,0.956928929754029
daily_estimated_cogs_lag_1d,daily_customer_count_lag_1d,0.9613384466245366
daily_estimated_cogs_lag_1d,daily_order_count_lag_1d,0.9603668343290641
daily_estimated_cogs_lag_1d,order_status_delivered_count_lag_1d,0.9569289297640409
daily_customer_count_lag_1d,daily_order_count_lag_1d,0.9999320482592089
daily_customer_count_lag_1d,order_status_delivered_count_lag_1d,0.998133474609509
daily_customer_count_lag_1d,daily_distinct_products_lag_1d,0.9552459449947552
daily_customer_count_lag_1d,daily_total_quantity_lag_1d,0.9948696838575052
daily_order_count_lag_1d,order_status_delivered_count_lag_1d,0.9982180737289374
daily_order_count_lag_1d,daily_distinct_products_lag_1d,0.954641222444029
daily_order_count_lag_1d,daily_total_quantity_lag_1d,0.9952340736225281
order_status_delivered_count_lag_1d,daily_distinct_products_lag_1d,0.9527216675734058
order_status_delivered_count_lag_1d,daily_total_quantity_lag_1d,0.9938409312878163
