return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount,gross_line_value,refund_to_gross_ratio,product_name,category,business_validity,check_reason
RET-029493,466061,503,2017-03-14,wrong_size,8,160937.94,170321.92,0.9449044491748331,SaigonFlex UM-08,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-039143,625528,404,2018-09-26,late_delivery,7,140451.45,159488.0,0.8806396092495988,SaigonFlex UM-09,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-037226,593209,436,2018-06-20,wrong_size,7,138122.19,158093.74,0.8736727336578919,SaigonFlex UM-41,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-046263,744745,429,2021-02-28,late_delivery,6,133531.2,181741.44,0.7347317155625047,SaigonFlex UM-34,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-040463,647837,407,2019-03-01,changed_mind,7,128159.74,159727.92,0.8023627929293764,SaigonFlex UM-12,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-046348,745990,407,2021-03-10,not_as_described,7,126634.41,159707.28,0.7929157017763999,SaigonFlex UM-12,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-045788,737113,478,2020-11-07,defective,8,125419.46,136568.0,0.9183663815828013,SaigonFlex UM-83,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-002066,31610,669,2012-12-15,not_as_described,8,123446.27,129178.0,0.9556292093080866,SaigonFlex UC-34,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-023097,362940,611,2016-03-26,late_delivery,7,121042.16,143631.44,0.8427274696960498,SaigonFlex UC-76,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-051156,827895,462,2022-11-13,changed_mind,5,119365.26,192672.32,0.6195246935314839,SaigonFlex UM-67,Streetwear,likely_valid_high_value_item_refund,Refund cao vì item/order gốc cũng có giá trị cao
RET-048943,790437,407,2022-02-22,defective,6,117826.44,119284.20000000001,0.9877791023454908,SaigonFlex UM-12,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-046672,751512,407,2021-04-16,defective,7,116520.87,125048.84,0.9318028859763913,SaigonFlex UM-12,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-050505,817696,476,2022-08-20,defective,6,115760.25,157785.39,0.7336563290175344,SaigonFlex UM-81,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-050742,821375,407,2022-09-10,not_as_described,6,115429.51,118381.20000000001,0.9750662267319472,SaigonFlex UM-12,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-048402,781417,202,2021-11-08,wrong_size,8,114316.08,126085.44,0.9066556772931117,IndigoViet UM-04,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-022452,353035,435,2016-02-05,late_delivery,6,114205.54,126402.42,0.9035075436055733,SaigonFlex UM-40,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-001278,20007,498,2012-10-21,defective,7,113086.12,139804.96,0.808884892209833,SaigonFlex UM-03,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-016029,250277,546,2015-02-28,not_as_described,8,111246.95,130254.88,0.8540712639710696,SaigonFlex UC-11,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-049170,794402,407,2022-03-28,changed_mind,6,110889.32,118771.13999999998,0.9336385926749547,SaigonFlex UM-12,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-044501,715294,200,2020-05-23,defective,8,108384.22,114238.8,0.948751387444546,IndigoViet UM-02,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-047406,763945,506,2021-06-22,wrong_size,7,108249.66,127693.04,0.8477334395046121,SaigonFlex UM-11,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-018002,282398,306,2015-06-11,wrong_size,8,105749.28,118502.72,0.8923785040545904,LotusWear UE-27,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-048786,787784,476,2022-01-17,wrong_size,6,105373.06,113496.84,0.928422853006304,SaigonFlex UM-81,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-030142,477014,497,2017-04-13,defective,7,105224.62,108930.5,0.965979408889154,SaigonFlex UM-02,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-007822,120996,447,2013-10-25,changed_mind,6,104608.34,110916.18,0.9431296678266418,SaigonFlex UM-52,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-031129,494102,601,2017-06-03,wrong_size,7,103296.46,125881.52,0.8205847848039967,SaigonFlex UC-66,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-049155,794153,494,2022-03-25,late_delivery,6,102757.83,118376.16,0.8680618631319009,SaigonFlex UM-99,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-014277,224282,475,2014-10-25,defective,8,102278.83,104561.04,0.9781734190861148,SaigonFlex UM-80,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-043705,701859,506,2020-03-14,changed_mind,7,102262.46,108450.23,0.9429436894693539,SaigonFlex UM-11,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-026510,418932,819,2016-08-22,wrong_size,8,102106.67,116250.96,0.8783296929332884,HanoiStreet UM-03,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-036369,578375,504,2018-05-07,not_as_described,5,101737.54,104849.0,0.9703243712386384,SaigonFlex UM-09,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-050082,810428,1875,2022-06-17,wrong_size,8,100653.4,111564.72,0.9021973971700014,BambooCraft UM-13,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-041282,661250,826,2019-04-30,defective,8,99763.89,101817.36,0.9798318282854711,HanoiStreet UM-10,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-026948,426080,826,2016-09-11,changed_mind,8,99680.29,100933.04,0.9875883060690533,HanoiStreet UM-10,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-047595,767220,506,2021-07-16,defective,7,98274.83,106643.67,0.9215252063249512,SaigonFlex UM-11,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-022907,360135,475,2016-03-21,not_as_described,8,97498.22,101893.6,0.9568630414471566,SaigonFlex UM-80,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-046206,743484,506,2021-01-30,late_delivery,7,96668.01,110946.5,0.8713029252838079,SaigonFlex UM-11,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-048361,780783,424,2021-10-25,defective,5,96662.01,167396.0,0.5774451599799278,SaigonFlex UM-29,Streetwear,likely_valid_high_value_item_refund,Refund cao vì item/order gốc cũng có giá trị cao
