Date,COGS
2012-08-01,7308514.33
2012-08-02,7537501.15
2012-08-03,7118808.46
2012-08-04,5087528.11
2012-08-05,1863413.11
2012-08-06,2922718.71
2012-08-07,1781265.84
2012-08-08,1997006.42
2012-08-09,3621672.71
2012-08-10,2699279.56
2012-08-11,2168668.05
2012-08-12,2654275.25
2012-08-13,3189564.96
2012-08-14,3258198.58
2012-08-15,2886923.59
2012-08-16,4222455.97
2012-08-17,3238908.92
2012-08-18,2808916.94
2012-08-19,3006801.4
2012-08-20,2827038.81
2012-08-21,3364364.64
2012-08-22,3562468.33
2012-08-23,4195738.04
2012-08-24,3632210.67
2012-08-25,2784342.75
2012-08-26,3476942.48
2012-08-27,2365260.68
2012-08-28,7439851.59
2012-08-29,7336294.54
2012-08-30,7950911.72
2012-08-31,7277460.12
2012-09-01,6738335.17
2012-09-02,1946097.28
2012-09-03,3063431.08
2012-09-04,2876968.79
2012-09-05,1966376.48
2012-09-06,2147909.96
2012-09-07,2580035.06
2012-09-08,2804001.32
2012-09-09,3589475.8
2012-09-10,3517300.88
2012-09-11,3264364.41
2012-09-12,2673690.65
2012-09-13,2103806.97
2012-09-14,2835412.27
2012-09-15,2849539.9
2012-09-16,3561492.95
2012-09-17,3932069.23
2012-09-18,4123200.89
2012-09-19,3014323.76
2012-09-20,3080273.62
2012-09-21,2978697.93
2012-09-22,3011266.74
2012-09-23,3294951.2
2012-09-24,4585762.62
2012-09-25,4502395.62
2012-09-26,3670417.04
2012-09-27,6017108.13
2012-09-28,3884590.92
2012-09-29,4170120.63
2012-09-30,3812737.52
2012-10-01,3764447.04
2012-10-02,2566510.62
2012-10-03,2762823.63
2012-10-04,1902425.74
2012-10-05,2064899.19
2012-10-06,1755004.4
2012-10-07,2725469.75
2012-10-08,3285493.04
2012-10-09,3472700.63
2012-10-10,2839202.59
2012-10-11,2765374.16
2012-10-12,1830898.15
2012-10-13,2256579.15
2012-10-14,2516987.32
2012-10-15,2632811.8
2012-10-16,2763325.25
2012-10-17,3108682.75
2012-10-18,2301277.14
2012-10-19,2352068.71
2012-10-20,2647331.71
2012-10-21,1920246.47
2012-10-22,2873316.18
2012-10-23,3151858.27
2012-10-24,3037851.31
2012-10-25,2528526.7
2012-10-26,1671777.12
2012-10-27,2296869.06
2012-10-28,5044146.85
2012-10-29,4294440.71
2012-10-30,5049887.71
2012-10-31,3871571.88
2012-11-01,4440955.34
2012-11-02,1547786.14
2012-11-03,2151815.97
2012-11-04,2131401.7
2012-11-05,2732792.99
2012-11-06,2809375.18
2012-11-07,1538155.1
2012-11-08,1723412.77
2012-11-09,2308918.6
2012-11-10,2475389.25
2012-11-11,2713727.18
2012-11-12,3077336.49
2012-11-13,3048755.92
2012-11-14,2550177.92
2012-11-15,2282178.26
2012-11-16,2255928.16
2012-11-17,2499839.57
2012-11-18,2632996.71
2012-11-19,3714724.53
2012-11-20,2841184.71
2012-11-21,2465022.82
2012-11-22,2082526.75
2012-11-23,2879673.14
2012-11-24,1759438.38
2012-11-25,2288045.69
2012-11-26,2942841.67
2012-11-27,3751057.26
2012-11-28,3143037.5
2012-11-29,2564940.27
2012-11-30,2466641.44
2012-12-01,2435991.34
2012-12-02,1464812.23
2012-12-03,1807129.65
2012-12-04,1864688.02
2012-12-05,1849992.69
2012-12-06,2184618.1
2012-12-07,1633326.72
2012-12-08,1719369.91
2012-12-09,1883727.02
2012-12-10,2015472.58
2012-12-11,3001083.16
2012-12-12,3545221.89
2012-12-13,1839144.84
2012-12-14,2101555.8
2012-12-15,2693057.28
2012-12-16,2706611.68
2012-12-17,3433745.61
2012-12-18,3473710.24
2012-12-19,3004383.53
2012-12-20,3132486.67
2012-12-21,3174444.37
2012-12-22,2559516.54
2012-12-23,1770780.57
2012-12-24,2599138.83
2012-12-25,3856446.89
2012-12-26,2658633.45
2012-12-27,3924374.73
2012-12-28,6682336.48
2012-12-29,6260959.87
2012-12-30,5180121.12
2012-12-31,4432224.44
2013-01-01,4156070.2
2013-01-02,1237497.84
2013-01-03,1832133.02
2013-01-04,1940747.07
2013-01-05,1977027.71
2013-01-06,2060481.76
2013-01-07,2452517.39
2013-01-08,1973182.14
2013-01-09,1654806.5
2013-01-10,2122153.07
2013-01-11,1805692.13
2013-01-12,2241879.07
2013-01-13,2279740.92
2013-01-14,2477490.97
2013-01-15,2094291.34
2013-01-16,1445623.48
2013-01-17,1763012.0
2013-01-18,1615535.57
2013-01-19,2033637.15
2013-01-20,2018671.04
2013-01-21,3250868.59
2013-01-22,2801650.02
2013-01-23,2322088.98
2013-01-24,2102458.71
2013-01-25,2273250.41
2013-01-26,1869897.73
2013-01-27,3023842.24
2013-01-28,4035190.91
2013-01-29,4015854.7
2013-01-30,3414688.28
2013-01-31,2731823.14
2013-02-01,3289266.58
2013-02-02,1915236.16
2013-02-03,2293960.05
2013-02-04,2986552.92
2013-02-05,3181079.49
2013-02-06,1919077.04
2013-02-07,2338660.54
2013-02-08,2136088.4
2013-02-09,2354253.06
2013-02-10,2832001.18
2013-02-11,3426089.62
2013-02-12,3276616.25
2013-02-13,2628245.52
2013-02-14,2725794.93
2013-02-15,2293142.09
2013-02-16,2755975.45
2013-02-17,2907659.44
2013-02-18,3823113.82
2013-02-19,3421155.04
2013-02-20,2787089.48
2013-02-21,2676550.95
2013-02-22,2908690.59
2013-02-23,3439856.85
2013-02-24,4431878.1
2013-02-25,7430696.94
2013-02-26,5653323.87
2013-02-27,4880975.48
2013-02-28,3573846.75
2013-03-01,2256905.73
2013-03-02,236576.31
2013-03-03,1505793.8
2013-03-04,1130489.5
2013-03-05,1954056.55
