Date,Revenue
2012-08-01,9148357.3
2012-08-02,9692427.0
2012-08-03,9297269.95
2012-08-04,6384195.03
2012-08-05,2359224.19
2012-08-06,3630003.7
2012-08-07,2240253.44
2012-08-08,2617553.36
2012-08-09,4478691.52
2012-08-10,3412496.65
2012-08-11,2732604.35
2012-08-12,3388181.83
2012-08-13,3928170.01
2012-08-14,4033912.16
2012-08-15,3780293.26
2012-08-16,5249978.18
2012-08-17,4089284.05
2012-08-18,3450015.71
2012-08-19,3904300.93
2012-08-20,3541027.32
2012-08-21,4147483.23
2012-08-22,4597682.81
2012-08-23,5478869.55
2012-08-24,4637850.57
2012-08-25,3589566.28
2012-08-26,4280204.53
2012-08-27,3038895.84
2012-08-28,9508676.62
2012-08-29,9260558.32
2012-08-30,10086534.1
2012-08-31,9104678.52
2012-09-01,8560208.92
2012-09-02,2587099.44
2012-09-03,3865505.01
2012-09-04,3645749.44
2012-09-05,2398185.51
2012-09-06,2858227.37
2012-09-07,3282753.8
2012-09-08,3666204.89
2012-09-09,4458501.42
2012-09-10,4548962.79
2012-09-11,4021565.55
2012-09-12,3335978.29
2012-09-13,2609609.29
2012-09-14,3729228.43
2012-09-15,3605125.64
2012-09-16,4452012.44
2012-09-17,4811788.67
2012-09-18,5078878.07
2012-09-19,3680241.62
2012-09-20,3763143.75
2012-09-21,3943768.14
2012-09-22,3872374.03
2012-09-23,4118299.54
2012-09-24,5733263.53
2012-09-25,5639897.53
2012-09-26,4592282.59
2012-09-27,7556892.66
2012-09-28,4892631.14
2012-09-29,5304374.46
2012-09-30,4694379.86
2012-10-01,4752532.1
2012-10-02,3233135.78
2012-10-03,3515132.03
2012-10-04,2398137.74
2012-10-05,2665953.06
2012-10-06,2205266.94
2012-10-07,3389598.07
2012-10-08,4037039.45
2012-10-09,4298675.76
2012-10-10,3548716.67
2012-10-11,3421490.39
2012-10-12,2380119.87
2012-10-13,2798011.44
2012-10-14,3055629.78
2012-10-15,3234517.3
2012-10-16,3549298.21
2012-10-17,3818048.0
2012-10-18,2909728.89
2012-10-19,2877379.81
2012-10-20,3242557.3
2012-10-21,2395609.91
2012-10-22,3596158.34
2012-10-23,3999141.88
2012-10-24,3829179.99
2012-10-25,3104460.52
2012-10-26,2138927.17
2012-10-27,2816872.34
2012-10-28,6259883.83
2012-10-29,5424539.1
2012-10-30,6347274.89
2012-10-31,4942677.89
2012-11-01,5536748.35
2012-11-02,1936831.08
2012-11-03,2911848.61
2012-11-04,2658832.75
2012-11-05,3332448.46
2012-11-06,3439495.01
2012-11-07,1969815.91
2012-11-08,2197716.17
2012-11-09,2920310.06
2012-11-10,3124993.27
2012-11-11,3484874.3
2012-11-12,3806978.06
2012-11-13,3848498.06
2012-11-14,3213518.64
2012-11-15,2996358.37
2012-11-16,2851503.98
2012-11-17,3258479.4
2012-11-18,3292697.97
2012-11-19,4654711.93
2012-11-20,3532139.01
2012-11-21,3144567.59
2012-11-22,2661394.83
2012-11-23,3625609.77
2012-11-24,2283866.51
2012-11-25,2891169.43
2012-11-26,3626699.25
2012-11-27,4703189.22
2012-11-28,3980270.66
2012-11-29,3116036.61
2012-11-30,3184691.98
2012-12-01,3064822.76
2012-12-02,1765509.34
2012-12-03,2315389.05
2012-12-04,2382954.42
2012-12-05,2286277.45
2012-12-06,2733678.5
2012-12-07,2065198.04
2012-12-08,2087384.34
2012-12-09,2430122.78
2012-12-10,2542389.69
2012-12-11,3699430.17
2012-12-12,4386420.92
2012-12-13,2326824.81
2012-12-14,2659317.57
2012-12-15,3385542.75
2012-12-16,3484853.43
2012-12-17,4281691.85
2012-12-18,4394537.67
2012-12-19,3785472.73
2012-12-20,3905985.95
2012-12-21,3966203.09
2012-12-22,3225123.87
2012-12-23,2151580.15
2012-12-24,3297376.6
2012-12-25,4917024.98
2012-12-26,3285221.25
2012-12-27,4994041.71
2012-12-28,8573663.31
2012-12-29,7842913.37
2012-12-30,6511908.92
2012-12-31,5573749.22
2013-01-01,5304546.99
2013-01-02,1606940.44
2013-01-03,2281680.01
2013-01-04,2376895.46
2013-01-05,2509462.77
2013-01-06,2603356.52
2013-01-07,3048100.39
2013-01-08,2449700.42
2013-01-09,2049715.7
2013-01-10,2794331.46
2013-01-11,2343077.25
2013-01-12,2814596.53
2013-01-13,2919719.62
2013-01-14,3077677.28
2013-01-15,2536405.93
2013-01-16,1849789.43
2013-01-17,2173214.95
2013-01-18,2099249.56
2013-01-19,2477132.79
2013-01-20,2522776.58
2013-01-21,4100379.42
2013-01-22,3538734.12
2013-01-23,2836455.88
2013-01-24,2522924.71
2013-01-25,2823082.71
2013-01-26,2312290.79
2013-01-27,3818881.29
2013-01-28,5008712.77
2013-01-29,4833870.43
2013-01-30,4296295.37
2013-01-31,3378679.46
2013-02-01,4073777.92
2013-02-02,2351969.75
2013-02-03,2743224.75
2013-02-04,3599084.22
2013-02-05,3829186.14
2013-02-06,2313071.08
2013-02-07,2839296.13
2013-02-08,2648161.4
2013-02-09,2957587.36
2013-02-10,3380985.73
2013-02-11,4189315.44
2013-02-12,3967295.55
2013-02-13,3156812.35
2013-02-14,3286622.13
2013-02-15,2860640.37
2013-02-16,3339909.75
2013-02-17,3433567.61
2013-02-18,4473211.04
2013-02-19,4318301.23
2013-02-20,3392471.04
2013-02-21,3412803.18
2013-02-22,3535377.38
2013-02-23,4286140.45
2013-02-24,5419232.89
2013-02-25,9128225.25
2013-02-26,6762535.71
2013-02-27,5716765.68
2013-02-28,4367566.41
2013-03-01,2693901.21
2013-03-02,279813.94
2013-03-03,1959484.08
2013-03-04,1412869.43
2013-03-05,2440470.72
2013-03-06,3247761.18
2013-03-07,4017685.67
2013-03-08,3622255.55
2013-03-09,3263371.09
2013-03-10,3510986.19
2013-03-11,3242639.13
2013-03-12,3660190.99
2013-03-13,4335373.37
2013-03-14,6692797.3
2013-03-15,5330057.69
2013-03-16,3591734.21
2013-03-17,4401297.64
2013-03-18,4567013.37
2013-03-19,4645433.62
2013-03-20,4992105.19
2013-03-21,7355693.45
2013-03-22,6603332.26
2013-03-23,6009508.61
2013-03-24,5088153.2
2013-03-25,4694308.82
2013-03-26,5731432.22
2013-03-27,6872130.59
2013-03-28,8099154.93
2013-03-29,8381683.44
2013-03-30,11636994.38
2013-03-31,9455023.8
2013-04-01,10313848.23
2013-04-02,8250013.05
2013-04-03,8740749.51
2013-04-04,4270660.8
2013-04-05,3073716.42
2013-04-06,3663196.56
2013-04-07,2924734.26
2013-04-08,4670874.28
2013-04-09,4293257.18
2013-04-10,6011834.78
2013-04-11,4244755.76
2013-04-12,4282161.81
2013-04-13,5214391.75
2013-04-14,4506492.03
2013-04-15,5167610.5
2013-04-16,5887221.88
2013-04-17,8104639.53
2013-04-18,6536742.64
2013-04-19,5871312.85
2013-04-20,6012115.71
2013-04-21,6323547.99
2013-04-22,7292352.56
2013-04-23,8757473.08
2013-04-24,9358565.61
2013-04-25,9127283.0
2013-04-26,6156392.84
2013-04-27,6420235.09
2013-04-28,9099343.31
2013-04-29,13160942.22
2013-04-30,11190466.86
2013-05-01,13051232.31
2013-05-02,11179665.29
2013-05-03,8173550.12
2013-05-04,3225175.57
2013-05-05,3906711.0
2013-05-06,4311626.38
2013-05-07,3763332.37
2013-05-08,5458168.5
2013-05-09,5815611.07
2013-05-10,4248246.45
2013-05-11,4388803.6
2013-05-12,4298069.68
2013-05-13,4663488.62
2013-05-14,5622176.45
2013-05-15,6416011.44
2013-05-16,7727680.05
2013-05-17,6520355.77
2013-05-18,5126131.05
2013-05-19,5417543.03
2013-05-20,5837064.06
2013-05-21,5156527.79
2013-05-22,6977473.78
2013-05-23,9166919.02
2013-05-24,6670030.19
2013-05-25,5054594.94
2013-05-26,3649585.05
2013-05-27,4403026.04
2013-05-28,6274027.61
2013-05-29,7359639.59
2013-05-30,12828293.48
2013-05-31,13809349.18
2013-06-01,13162597.88
2013-06-02,12079925.72
2013-06-03,9411997.25
2013-06-04,5397308.75
2013-06-05,6860958.96
2013-06-06,5692902.11
2013-06-07,3843507.28
2013-06-08,3646959.35
2013-06-09,3880132.51
2013-06-10,4476887.83
2013-06-11,5003847.86
2013-06-12,7209020.15
2013-06-13,6845836.24
2013-06-14,4871516.57
2013-06-15,5166292.57
2013-06-16,5794009.15
2013-06-17,5795298.96
2013-06-18,6632615.61
2013-06-19,7437341.02
2013-06-20,7078652.68
2013-06-21,5526354.45
2013-06-22,5117274.96
2013-06-23,5844565.63
2013-06-24,5243774.5
2013-06-25,6728887.1
2013-06-26,8817278.13
2013-06-27,7748199.74
2013-06-28,6285354.21
2013-06-29,9546012.78
2013-06-30,7372318.59
2013-07-01,6359864.53
2013-07-02,7209130.33
2013-07-03,8038680.63
2013-07-04,2521315.44
2013-07-05,2494107.65
2013-07-06,2452372.43
2013-07-07,2958215.01
2013-07-08,2571901.18
2013-07-09,4624825.33
2013-07-10,3855254.64
2013-07-11,5785320.61
2013-07-12,6053300.71
2013-07-13,4161301.31
2013-07-14,4482102.22
2013-07-15,4387240.36
2013-07-16,4411030.39
2013-07-17,4475453.64
2013-07-18,6265533.39
2013-07-19,6310739.5
2013-07-20,4157746.85
2013-07-21,4847680.2
2013-07-22,5926190.4
2013-07-23,4436778.28
2013-07-24,7329505.1
2013-07-25,6342757.31
2013-07-26,6941436.71
2013-07-27,4353958.13
2013-07-28,6017516.42
2013-07-29,8158241.16
2013-07-30,7711378.77
2013-07-31,10104475.36
2013-08-01,10998208.4
2013-08-02,7422715.15
2013-08-03,5599602.67
2013-08-04,5021938.29
2013-08-05,2231563.34
2013-08-06,2493225.51
2013-08-07,2638845.23
2013-08-08,3065089.0
2013-08-09,2598855.08
2013-08-10,1776113.02
2013-08-11,2074476.53
2013-08-12,1933036.01
2013-08-13,2531884.21
2013-08-14,2791478.67
2013-08-15,3665019.45
2013-08-16,3619170.1
2013-08-17,3066137.96
2013-08-18,2385617.18
2013-08-19,2870843.18
2013-08-20,2730112.88
2013-08-21,2707776.73
2013-08-22,3821233.2
2013-08-23,3454696.96
2013-08-24,2837188.07
2013-08-25,3018860.44
2013-08-26,3465971.03
2013-08-27,3008572.56
2013-08-28,3749158.5
2013-08-29,6385124.62
2013-08-30,5499141.72
2013-08-31,6810100.27
2013-09-01,6018993.92
2013-09-02,5386759.65
2013-09-03,4126941.12
2013-09-04,5401049.96
2013-09-05,3168900.6
2013-09-06,2705040.33
2013-09-07,2468479.29
2013-09-08,3056823.21
2013-09-09,3771227.87
2013-09-10,5357130.97
2013-09-11,4636476.74
2013-09-12,3865949.23
2013-09-13,3034568.95
2013-09-14,3664631.38
2013-09-15,3078369.62
2013-09-16,3927167.34
