feature,feature_family,signal_group,timing_type,view_type,missing_pct,nunique,Revenue_spearman,COGS_spearman,revenue_relation,cogs_relation,max_abs_spearman,max_relation,selection_reason,redundancy_group,is_redundancy_representative,decision,decision_reason,wrapper_group,wrapper_decision,wrapper_decision_reason
Revenue_lag_1d,target_lag,target_revenue_history,lagged,continuous,0.03,3832,0.8622500769208891,0.832489030569569,strong,strong,0.8622500769208891,strong,selected_compact_representative,G001,True,keep,Compact representative with medium/strong target relation,baseline,keep,Baseline time-safe feature
COGS_lag_1d,target_lag,target_cogs_history,lagged,continuous,0.03,3832,0.8301695988069278,0.8523629725286272,strong,strong,0.8523629725286272,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,baseline,keep,Baseline time-safe feature
order_count_lag_1d,order_lag,demand_volume,lagged,continuous,0.03,499,0.8136914549956952,0.8373574930231874,strong,strong,0.8373574930231874,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,demand_volume,keep,Accepted by rolling-origin Ridge wrapper
order_district_count_lag_1d,geography_lag,geography_mix,lagged,continuous,0.03,30,0.7810478503918634,0.8044541620963904,strong,strong,0.8044541620963904,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,geography,keep,Accepted by rolling-origin Ridge wrapper
shipment_count_lag_1d,shipment_lag,shipment_volume,lagged,continuous,0.05,427,0.7025642891757379,0.72262765920394,strong,strong,0.72262765920394,strong,selected_compact_representative,G002,True,keep,Compact representative with medium/strong target relation,shipment,keep,Accepted by rolling-origin Ridge wrapper
refund_amount_sum_rolling_7d_mean,return_lag,refund_amount,lagged,continuous,0.21,3824,0.6148388531126373,0.615268316735286,strong,strong,0.615268316735286,strong,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,return_refund,keep,Accepted by rolling-origin Ridge wrapper
review_count_rolling_7d_mean,review_lag,review_volume,lagged,continuous,0.18,407,0.6002785102639008,0.6062768257043358,strong,strong,0.6062768257043358,strong,selected_compact_representative,G003,True,keep,Compact representative with medium/strong target relation,review,keep,Accepted by rolling-origin Ridge wrapper
return_count_rolling_7d_mean,return_lag,return_volume,lagged,continuous,0.21,191,0.6014977635363163,0.6029943221850128,strong,strong,0.6029943221850128,strong,selected_compact_representative,G003,False,keep,Compact representative with medium/strong target relation,return_refund,keep,Accepted by rolling-origin Ridge wrapper
shipping_fee_sum_lag_1d,shipment_lag,shipment_cost_speed,lagged,continuous,0.05,3779,0.5473236714196505,0.5946090466990066,medium,medium,0.5946090466990066,medium,selected_compact_representative,G002,False,keep,Compact representative with medium/strong target relation,shipment,keep,Accepted by rolling-origin Ridge wrapper
month,calendar,calendar_month_season,known_now,low_cardinality,0.0,12,-0.23878491478061734,-0.18222581731740653,weak,weak,0.23878491478061734,weak,selected_compact_representative,,True,keep,Core known-now calendar baseline feature,baseline,keep,Baseline time-safe feature
day_of_week,calendar,calendar_weekday,known_now,low_cardinality,0.0,7,-0.07352735597663583,-0.07650253670673587,unclear,unclear,0.07650253670673587,unclear,selected_compact_representative,,True,keep,Core known-now calendar baseline feature,baseline,keep,Baseline time-safe feature
payment_value_sum_lag_1d,payment_lag,payment_volume,lagged,continuous,0.03,3832,0.8571722368676991,0.8133466474880354,strong,strong,0.8571722368676991,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,payment,drop,Dropped by wrapper: no enough incremental WAPE gain
order_status_delivered_count_lag_1d,order_lag,order_status_or_source_mix,lagged,continuous,0.03,430,0.8095899600047719,0.8325345912538831,strong,strong,0.8325345912538831,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,,drop,Dropped by wrapper: no enough incremental WAPE gain
payment_method_credit_card_count_lag_1d,payment_lag,payment_mix,lagged,continuous,0.03,321,0.8052872831821524,0.8286362474929614,strong,strong,0.8286362474929614,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,payment,drop,Dropped by wrapper: no enough incremental WAPE gain
order_status_cancelled_count_lag_1d,order_lag,order_exception_status,lagged,continuous,0.03,71,0.7471656249477678,0.7726675128401785,strong,strong,0.7726675128401785,strong,selected_compact_representative,G001,False,keep,Compact representative with medium/strong target relation,,drop,Dropped by wrapper: no enough incremental WAPE gain
gross_margin_lag_1d,target_lag,target_margin_history,lagged,continuous,0.03,3832,0.6369370972268235,0.4939225544475861,strong,medium,0.6369370972268235,strong,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,margin_history,drop,Dropped by wrapper: no enough incremental WAPE gain
stockout_days_sum_lag_1d,inventory_lag,inventory_stockout,lagged_snapshot,continuous,0.73,103,0.42755429995731165,0.4077699236329891,medium,medium,0.42755429995731165,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,inventory,drop,Dropped by wrapper: no enough incremental WAPE gain
sessions_sum_rolling_7d_mean,traffic_lag,traffic_volume,lagged,continuous,4.75,3623,0.37233737662083444,0.3956640676014924,medium,medium,0.3956640676014924,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,traffic,drop,Dropped by wrapper: no enough incremental WAPE gain
inventory_product_count_lag_1d,inventory_lag,inventory_availability,lagged_snapshot,continuous,0.73,85,0.3815964476797825,0.3917406339198363,medium,medium,0.3917406339198363,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,inventory,drop,Dropped by wrapper: no enough incremental WAPE gain
margin_rate_rolling_90d_mean,target_lag,target_margin_rate_history,lagged,continuous,0.03,3832,0.3831830936419636,0.3252328057078007,medium,medium,0.3831830936419636,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,margin_history,drop,Dropped by wrapper: no enough incremental WAPE gain
discount_amount_sum_rolling_90d_mean,item_discount_lag,discount_amount,lagged,continuous,0.03,2439,0.322206627529129,0.3559362882808626,medium,medium,0.3559362882808626,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,discount,drop,Dropped by wrapper: no enough incremental WAPE gain
fill_rate_mean_rolling_7d_mean,inventory_lag,inventory_fill_rate,lagged_snapshot,continuous,0.73,869,-0.3470354169338184,-0.3180083856760836,medium,medium,0.3470354169338184,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,inventory,drop,Dropped by wrapper: no enough incremental WAPE gain
year,calendar,calendar_year_trend,known_now,low_cardinality,0.0,11,-0.34097274464244814,-0.32807244048450324,medium,medium,0.34097274464244814,medium,selected_compact_representative,,True,keep,Compact representative with medium/strong target relation,,drop,Dropped by wrapper: no enough incremental WAPE gain
is_promo_active,promo_known,promo_planned,known_now,binary,0.0,2,-0.09968767988509493,0.04894435942542883,unclear,unclear,0.09968767988509493,unclear,selected_compact_representative,,True,review,Known-now business feature kept for manual review,known_event_review,drop,Dropped by wrapper: no enough incremental WAPE gain
