table,group,column,dtype,non_null,missing,missing_pct,unique_values,sample_values
customers,master,customer_id,int64,121930,0,0.0,121930,1 | 2 | 3
customers,master,zip,int64,121930,0,0.0,31491,15201 | 15201 | 15201
customers,master,city,str,121930,0,0.0,42,Hai Phong | Hai Phong | Hai Phong
customers,master,signup_date,str,121930,0,0.0,3941,2021-12-30 | 2013-12-27 | 2018-07-24
customers,master,gender,str,121930,0,0.0,3,Female | Female | Female
customers,master,age_group,str,121930,0,0.0,5,35-44 | 45-54 | 18-24
customers,master,acquisition_channel,str,121930,0,0.0,6,social_media | email_campaign | organic_search
geography,master,zip,int64,39948,0,0.0,39948,15201 | 15202 | 15203
geography,master,city,str,39948,0,0.0,42,Hai Phong | Phu Ly | Viet Tri
geography,master,region,str,39948,0,0.0,3,East | East | East
geography,master,district,str,39948,0,0.0,39,District #13 | District #13 | District #13
inventory,operational,snapshot_date,str,60247,0,0.0,126,2022-10-31 | 2022-11-30 | 2022-12-31
inventory,operational,product_id,int64,60247,0,0.0,1624,1 | 1 | 1
inventory,operational,stock_on_hand,int64,60247,0,0.0,1895,3 | 3 | 3
inventory,operational,units_received,int64,60247,0,0.0,360,1 | 1 | 1
inventory,operational,units_sold,int64,60247,0,0.0,303,1 | 1 | 1
inventory,operational,stockout_days,int64,60247,0,0.0,29,2 | 1 | 1
inventory,operational,days_of_supply,float64,60247,0,0.0,9289,90.0 | 90.0 | 90.0
inventory,operational,fill_rate,float64,60247,0,0.0,29,0.9333 | 0.9667 | 0.9667
inventory,operational,stockout_flag,int64,60247,0,0.0,2,1 | 1 | 1
inventory,operational,overstock_flag,int64,60247,0,0.0,2,0 | 0 | 0
inventory,operational,reorder_flag,int64,60247,0,0.0,1,0 | 0 | 0
inventory,operational,sell_through_rate,float64,60247,0,0.0,4017,0.25 | 0.25 | 0.25
inventory,operational,product_name,str,60247,0,0.0,1465,DragonWear MA-01 | DragonWear MA-01 | DragonWear MA-01
inventory,operational,category,str,60247,0,0.0,4,Casual | Casual | Casual
inventory,operational,segment,str,60247,0,0.0,8,All-weather | All-weather | All-weather
inventory,operational,year,int64,60247,0,0.0,11,2022 | 2022 | 2022
inventory,operational,month,int64,60247,0,0.0,12,10 | 11 | 12
order_items,transaction,order_id,int64,714669,0,0.0,646945,1 | 2 | 3
order_items,transaction,product_id,int64,714669,0,0.0,1598,2400 | 609 | 396
order_items,transaction,quantity,int64,714669,0,0.0,8,7 | 7 | 3
order_items,transaction,unit_price,float64,714669,0,0.0,501330,1138.22 | 10166.25 | 11220.33
order_items,transaction,discount_amount,float64,714669,0,0.0,204449,0.0 | 0.0 | 0.0
order_items,transaction,promo_id,str,276316,438353,61.337,50,PROMO-0006 | PROMO-0006 | PROMO-0006
order_items,transaction,promo_id_2,str,206,714463,99.971,2,PROMO-0015 | PROMO-0015 | PROMO-0015
orders,transaction,order_id,int64,646945,0,0.0,646945,1 | 2 | 3
orders,transaction,order_date,str,646945,0,0.0,3833,2012-07-04 | 2012-07-04 | 2012-07-04
orders,transaction,customer_id,int64,646945,0,0.0,90246,58578 | 58621 | 58811
orders,transaction,zip,int64,646945,0,0.0,29932,1109 | 1330 | 1473
orders,transaction,order_status,str,646945,0,0.0,6,delivered | returned | delivered
orders,transaction,payment_method,str,646945,0,0.0,5,credit_card | cod | credit_card
orders,transaction,device_type,str,646945,0,0.0,3,desktop | mobile | desktop
orders,transaction,order_source,str,646945,0,0.0,6,paid_search | paid_search | direct
payments,transaction,order_id,int64,646945,0,0.0,646945,1 | 2 | 3
payments,transaction,payment_method,str,646945,0,0.0,5,credit_card | cod | credit_card
payments,transaction,payment_value,float64,646945,0,0.0,595420,7967.54 | 71163.75 | 33660.99
payments,transaction,installments,int64,646945,0,0.0,5,3 | 1 | 3
products,master,product_id,int64,2412,0,0.0,2412,536 | 537 | 538
products,master,product_name,str,2412,0,0.0,2172,SaigonFlex UC-01 | SaigonFlex UC-02 | SaigonFlex UC-03
products,master,category,str,2412,0,0.0,4,Streetwear | Streetwear | Streetwear
products,master,segment,str,2412,0,0.0,8,Everyday | Everyday | Everyday
products,master,size,str,2412,0,0.0,4,S | M | L
products,master,color,str,2412,0,0.0,10,green | silver | pink
products,master,price,float64,2412,0,0.0,1990,11059.65 | 9523.076012658228 | 15951.633157894736
products,master,cogs,float64,2412,0,0.0,2381,9704.842875 | 5393.87025356962 | 11371.919278263158
promotions,master,promo_id,str,50,0,0.0,50,PROMO-0001 | PROMO-0002 | PROMO-0003
promotions,master,promo_name,str,50,0,0.0,50,Spring Sale 2013 | Mid-Year Sale 2013 | Fall Launch 2013
promotions,master,promo_type,str,50,0,0.0,2,percentage | percentage | percentage
promotions,master,discount_value,float64,50,0,0.0,6,12.0 | 18.0 | 10.0
promotions,master,start_date,str,50,0,0.0,50,2013-03-18 | 2013-06-23 | 2013-08-30
promotions,master,end_date,str,50,0,0.0,50,2013-04-17 | 2013-07-22 | 2013-10-02
promotions,master,applicable_category,str,10,40,80.0,2,Streetwear | Outdoor | Streetwear
promotions,master,promo_channel,str,50,0,0.0,5,email | online | email
promotions,master,stackable_flag,int64,50,0,0.0,2,1 | 0 | 0
promotions,master,min_order_value,int64,50,0,0.0,5,0 | 0 | 0
returns,transaction,return_id,str,39939,0,0.0,39939,RET-000001 | RET-000002 | RET-000003
returns,transaction,order_id,int64,39939,0,0.0,36062,2 | 32 | 35
returns,transaction,product_id,int64,39939,0,0.0,1286,609 | 1862 | 2359
returns,transaction,return_date,str,39939,0,0.0,3806,2012-07-25 | 2012-07-16 | 2012-07-16
returns,transaction,return_reason,str,39939,0,0.0,5,late_delivery | wrong_size | wrong_size
returns,transaction,return_quantity,int64,39939,0,0.0,8,6 | 2 | 1
returns,transaction,refund_amount,float64,39939,0,0.0,39560,52458.01 | 5141.37 | 5315.95
