table,column,missing_count,missing_pct,missing_type,severity,recommended_action,note
order_items,promo_id_2,714463,99.971,business_valid,LOW,keep_as_no_second_promo,Null means the item did not use a stacked/second promotion.
promotions,applicable_category,40,80.0,needs_review,HIGH,investigate_business_meaning,No custom missing rule defined for this field.
order_items,promo_id,438353,61.337,business_valid,LOW,keep_as_no_promo,Null means the item did not use a first promotion.
customers,customer_id,0,0.0,complete,NONE,none,No missing values detected.
customers,zip,0,0.0,complete,NONE,none,No missing values detected.
customers,city,0,0.0,complete,NONE,none,No missing values detected.
customers,signup_date,0,0.0,complete,NONE,none,No missing values detected.
customers,gender,0,0.0,complete,NONE,none,No missing values detected.
customers,age_group,0,0.0,complete,NONE,none,No missing values detected.
customers,acquisition_channel,0,0.0,complete,NONE,none,No missing values detected.
geography,zip,0,0.0,complete,NONE,none,No missing values detected.
geography,city,0,0.0,complete,NONE,none,No missing values detected.
geography,region,0,0.0,complete,NONE,none,No missing values detected.
geography,district,0,0.0,complete,NONE,none,No missing values detected.
inventory,snapshot_date,0,0.0,complete,NONE,none,No missing values detected.
inventory,product_id,0,0.0,complete,NONE,none,No missing values detected.
inventory,stock_on_hand,0,0.0,complete,NONE,none,No missing values detected.
inventory,units_received,0,0.0,complete,NONE,none,No missing values detected.
inventory,units_sold,0,0.0,complete,NONE,none,No missing values detected.
inventory,stockout_days,0,0.0,complete,NONE,none,No missing values detected.
inventory,days_of_supply,0,0.0,complete,NONE,none,No missing values detected.
inventory,fill_rate,0,0.0,complete,NONE,none,No missing values detected.
inventory,stockout_flag,0,0.0,complete,NONE,none,No missing values detected.
inventory,overstock_flag,0,0.0,complete,NONE,none,No missing values detected.
inventory,reorder_flag,0,0.0,complete,NONE,none,No missing values detected.
inventory,sell_through_rate,0,0.0,complete,NONE,none,No missing values detected.
inventory,product_name,0,0.0,complete,NONE,none,No missing values detected.
inventory,category,0,0.0,complete,NONE,none,No missing values detected.
inventory,segment,0,0.0,complete,NONE,none,No missing values detected.
inventory,year,0,0.0,complete,NONE,none,No missing values detected.
inventory,month,0,0.0,complete,NONE,none,No missing values detected.
order_items,order_id,0,0.0,complete,NONE,none,No missing values detected.
order_items,product_id,0,0.0,complete,NONE,none,No missing values detected.
order_items,quantity,0,0.0,complete,NONE,none,No missing values detected.
order_items,unit_price,0,0.0,complete,NONE,none,No missing values detected.
order_items,discount_amount,0,0.0,complete,NONE,none,No missing values detected.
orders,order_id,0,0.0,complete,NONE,none,No missing values detected.
orders,order_date,0,0.0,complete,NONE,none,No missing values detected.
orders,customer_id,0,0.0,complete,NONE,none,No missing values detected.
orders,zip,0,0.0,complete,NONE,none,No missing values detected.
orders,order_status,0,0.0,complete,NONE,none,No missing values detected.
orders,payment_method,0,0.0,complete,NONE,none,No missing values detected.
orders,device_type,0,0.0,complete,NONE,none,No missing values detected.
orders,order_source,0,0.0,complete,NONE,none,No missing values detected.
payments,order_id,0,0.0,complete,NONE,none,No missing values detected.
payments,payment_method,0,0.0,complete,NONE,none,No missing values detected.
payments,payment_value,0,0.0,complete,NONE,none,No missing values detected.
payments,installments,0,0.0,complete,NONE,none,No missing values detected.
products,product_id,0,0.0,complete,NONE,none,No missing values detected.
products,product_name,0,0.0,complete,NONE,none,No missing values detected.
products,category,0,0.0,complete,NONE,none,No missing values detected.
products,segment,0,0.0,complete,NONE,none,No missing values detected.
products,size,0,0.0,complete,NONE,none,No missing values detected.
products,color,0,0.0,complete,NONE,none,No missing values detected.
products,price,0,0.0,complete,NONE,none,No missing values detected.
products,cogs,0,0.0,complete,NONE,none,No missing values detected.
promotions,promo_id,0,0.0,complete,NONE,none,No missing values detected.
promotions,promo_name,0,0.0,complete,NONE,none,No missing values detected.
promotions,promo_type,0,0.0,complete,NONE,none,No missing values detected.
promotions,discount_value,0,0.0,complete,NONE,none,No missing values detected.
promotions,start_date,0,0.0,complete,NONE,none,No missing values detected.
promotions,end_date,0,0.0,complete,NONE,none,No missing values detected.
promotions,promo_channel,0,0.0,complete,NONE,none,No missing values detected.
promotions,stackable_flag,0,0.0,complete,NONE,none,No missing values detected.
promotions,min_order_value,0,0.0,complete,NONE,none,No missing values detected.
returns,return_id,0,0.0,complete,NONE,none,No missing values detected.
returns,order_id,0,0.0,complete,NONE,none,No missing values detected.
returns,product_id,0,0.0,complete,NONE,none,No missing values detected.
returns,return_date,0,0.0,complete,NONE,none,No missing values detected.
returns,return_reason,0,0.0,complete,NONE,none,No missing values detected.
returns,return_quantity,0,0.0,complete,NONE,none,No missing values detected.
returns,refund_amount,0,0.0,complete,NONE,none,No missing values detected.
reviews,review_id,0,0.0,complete,NONE,none,No missing values detected.
reviews,order_id,0,0.0,complete,NONE,none,No missing values detected.
reviews,product_id,0,0.0,complete,NONE,none,No missing values detected.
reviews,customer_id,0,0.0,complete,NONE,none,No missing values detected.
reviews,review_date,0,0.0,complete,NONE,none,No missing values detected.
reviews,rating,0,0.0,complete,NONE,none,No missing values detected.
reviews,review_title,0,0.0,complete,NONE,none,No missing values detected.
sales,Date,0,0.0,complete,NONE,none,No missing values detected.
sales,Revenue,0,0.0,complete,NONE,none,No missing values detected.
sales,COGS,0,0.0,complete,NONE,none,No missing values detected.
sample_submission,Date,0,0.0,complete,NONE,none,No missing values detected.
sample_submission,Revenue,0,0.0,complete,NONE,none,No missing values detected.
sample_submission,COGS,0,0.0,complete,NONE,none,No missing values detected.
shipments,order_id,0,0.0,complete,NONE,none,No missing values detected.
shipments,ship_date,0,0.0,complete,NONE,none,No missing values detected.
shipments,delivery_date,0,0.0,complete,NONE,none,No missing values detected.
shipments,shipping_fee,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,date,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,sessions,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,unique_visitors,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,page_views,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,bounce_rate,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,avg_session_duration_sec,0,0.0,complete,NONE,none,No missing values detected.
web_traffic,traffic_source,0,0.0,complete,NONE,none,No missing values detected.
