table,column,rows,non_null,unique,duplicate_count_if_key
products,product_id,2412,2412,2412,0
customers,customer_id,121930,121930,121930,0
geography,zip,39948,39948,39948,0
promotions,promo_id,50,50,50,0
orders,order_id,646945,646945,646945,0
orders,customer_id,646945,646945,90246,556699
orders,zip,646945,646945,29932,617013
order_items,order_id,714669,714669,646945,67724
order_items,product_id,714669,714669,1598,713071
order_items,promo_id,714669,276316,50,714618
order_items,promo_id_2,714669,206,2,714666
payments,order_id,646945,646945,646945,0
shipments,order_id,566067,566067,566067,0
returns,return_id,39939,39939,39939,0
returns,order_id,39939,39939,36062,3877
returns,product_id,39939,39939,1286,38653
reviews,review_id,113551,113551,113551,0
reviews,order_id,113551,113551,111369,2182
reviews,product_id,113551,113551,1412,112139
reviews,customer_id,113551,113551,48676,64875
inventory,snapshot_date,60247,60247,126,60121
inventory,product_id,60247,60247,1624,58623
sales,Date,3833,3833,3833,0
sample_submission,Date,548,548,548,0
web_traffic,date,3652,3652,3652,0
web_traffic,traffic_source,3652,3652,6,3646
