from,to,note
products.product_id,order_items.product_id,product-level to item-level
products.product_id,returns.product_id,product-level to return records
products.product_id,reviews.product_id,product-level to review records
products.product_id,inventory.product_id,product-level to monthly inventory
customers.customer_id,orders.customer_id,customer-level to orders
customers.customer_id,reviews.customer_id,customer-level to reviews
geography.zip,customers.zip,zip to customer city/region
geography.zip,orders.zip,zip to delivery region
orders.order_id,order_items.order_id,order-level to item-level; can multiply rows
orders.order_id,payments.order_id,expected order-level payment
orders.order_id,shipments.order_id,shipping information
orders.order_id,returns.order_id,returns can be multiple per order
orders.order_id,reviews.order_id,reviews can be multiple per order
promotions.promo_id,order_items.promo_id,first promotion on item line
promotions.promo_id,order_items.promo_id_2,second promotion on item line
