child_table,fk_column,parent_table,pk_column,nullable,checked_rows,orphan_rows,unique_orphan_keys,orphan_pct,percent_valid,status
orders,customer_id,customers,customer_id,False,646945,0,0,0.0,100.0,PASS
orders,zip,geography,zip,False,646945,0,0,0.0,100.0,PASS
order_items,order_id,orders,order_id,False,714669,0,0,0.0,100.0,PASS
order_items,product_id,products,product_id,False,714669,0,0,0.0,100.0,PASS
order_items,promo_id,promotions,promo_id,True,276316,0,0,0.0,100.0,PASS
order_items,promo_id_2,promotions,promo_id,True,206,0,0,0.0,100.0,PASS
payments,order_id,orders,order_id,False,646945,0,0,0.0,100.0,PASS
shipments,order_id,orders,order_id,False,566067,0,0,0.0,100.0,PASS
returns,order_id,orders,order_id,False,39939,0,0,0.0,100.0,PASS
returns,product_id,products,product_id,False,39939,0,0,0.0,100.0,PASS
reviews,order_id,orders,order_id,False,113551,0,0,0.0,100.0,PASS
reviews,product_id,products,product_id,False,113551,0,0,0.0,100.0,PASS
inventory,product_id,products,product_id,False,60247,0,0,0.0,100.0,PASS
