table,column,rank,value,count,pct,unique_values,rows
orders,order_status,1,delivered,516716,79.87,6,646945
orders,order_status,2,cancelled,59462,9.191,6,646945
orders,order_status,3,returned,36142,5.587,6,646945
orders,order_status,4,shipped,13773,2.129,6,646945
orders,order_status,5,paid,13577,2.099,6,646945
orders,order_status,6,created,7275,1.125,6,646945
orders,payment_method,1,credit_card,356352,55.082,5,646945
orders,payment_method,2,paypal,97018,14.996,5,646945
orders,payment_method,3,cod,96681,14.944,5,646945
orders,payment_method,4,apple_pay,64763,10.011,5,646945
orders,payment_method,5,bank_transfer,32131,4.967,5,646945
orders,device_type,1,mobile,291482,45.055,3,646945
orders,device_type,2,desktop,258855,40.012,3,646945
orders,device_type,3,tablet,96608,14.933,3,646945
orders,order_source,1,organic_search,181495,28.054,6,646945
orders,order_source,2,paid_search,141652,21.896,6,646945
orders,order_source,3,social_media,129710,20.05,6,646945
orders,order_source,4,email_campaign,77572,11.991,6,646945
orders,order_source,5,referral,64565,9.98,6,646945
orders,order_source,6,direct,51951,8.03,6,646945
customers,gender,1,Female,59640,48.913,3,121930
customers,gender,2,Male,57457,47.123,3,121930
customers,gender,3,Non-binary,4833,3.964,3,121930
customers,age_group,1,25-34,36342,29.806,5,121930
customers,age_group,2,35-44,31920,26.179,5,121930
customers,age_group,3,45-54,23172,19.004,5,121930
customers,age_group,4,18-24,17039,13.974,5,121930
customers,age_group,5,55+,13457,11.037,5,121930
customers,acquisition_channel,1,organic_search,36450,29.894,6,121930
customers,acquisition_channel,2,social_media,24448,20.051,6,121930
customers,acquisition_channel,3,paid_search,24285,19.917,6,121930
customers,acquisition_channel,4,email_campaign,14674,12.035,6,121930
customers,acquisition_channel,5,referral,12270,10.063,6,121930
customers,acquisition_channel,6,direct,9803,8.04,6,121930
customers,city,1,Cam Pha,4398,3.607,42,121930
customers,city,2,Thai Nguyen,4347,3.565,42,121930
customers,city,3,Phu Ly,4243,3.48,42,121930
customers,city,4,Hanoi,4240,3.477,42,121930
customers,city,5,Ha Long,4236,3.474,42,121930
customers,city,6,Bac Ninh,4172,3.422,42,121930
customers,city,7,Hai Phong,4170,3.42,42,121930
customers,city,8,Nam Dinh,4169,3.419,42,121930
customers,city,9,Bac Giang,4160,3.412,42,121930
customers,city,10,Ninh Binh,4081,3.347,42,121930
products,category,1,Streetwear,1320,54.726,4,2412
products,category,2,Outdoor,743,30.804,4,2412
products,category,3,Casual,201,8.333,4,2412
products,category,4,GenZ,148,6.136,4,2412
products,segment,1,Activewear,598,24.793,8,2412
products,segment,2,Everyday,405,16.791,8,2412
products,segment,3,Performance,347,14.386,8,2412
products,segment,4,Balanced,306,12.687,8,2412
products,segment,5,Standard,262,10.862,8,2412
products,segment,6,Premium,177,7.338,8,2412
products,segment,7,All-weather,169,7.007,8,2412
products,segment,8,Trendy,148,6.136,8,2412
products,size,1,S,603,25.0,4,2412
products,size,2,M,603,25.0,4,2412
products,size,3,L,603,25.0,4,2412
products,size,4,XL,603,25.0,4,2412
products,color,1,black,242,10.033,10,2412
products,color,2,orange,242,10.033,10,2412
products,color,3,green,241,9.992,10,2412
products,color,4,silver,241,9.992,10,2412
products,color,5,pink,241,9.992,10,2412
products,color,6,yellow,241,9.992,10,2412
products,color,7,red,241,9.992,10,2412
products,color,8,blue,241,9.992,10,2412
products,color,9,white,241,9.992,10,2412
products,color,10,purple,241,9.992,10,2412
returns,return_reason,1,wrong_size,13967,34.971,5,39939
returns,return_reason,2,defective,8020,20.081,5,39939
returns,return_reason,3,not_as_described,7035,17.614,5,39939
returns,return_reason,4,changed_mind,6931,17.354,5,39939
returns,return_reason,5,late_delivery,3986,9.98,5,39939
web_traffic,traffic_source,1,organic_search,1090,29.847,6,3652
web_traffic,traffic_source,2,paid_search,784,21.468,6,3652
web_traffic,traffic_source,3,social_media,632,17.306,6,3652
web_traffic,traffic_source,4,email_campaign,505,13.828,6,3652
web_traffic,traffic_source,5,referral,375,10.268,6,3652
web_traffic,traffic_source,6,direct,266,7.284,6,3652
