group_value,revenue,orders,group_field,analysis_level,revenue_pct,avg_revenue_per_order
delivered,12518175957.2,516716,order_status,order_level,79.83088019742334,24226.41442726759
cancelled,1447013637.43,59462,order_status,order_level,9.227891725493064,24335.09867528842
returned,865938715.59,36142,order_status,order_level,5.5222621968990335,23959.34689806873
shipped,337278840.2,13773,order_status,order_level,2.1508937705613294,24488.407768823057
paid,330627096.24,13577,order_status,order_level,2.108474285726618,24351.999428445164
created,181835018.77,7275,order_status,order_level,1.159597823896619,24994.504298281787
credit_card,8630069413.19,356352,payment_method,order_level,55.03565693399298,24217.822302638964
paypal,2363680137.73,97018,payment_method,order_level,15.073655023328092,24363.315443835163
cod,2346947592.93,96681,payment_method,order_level,14.96694828075682,24275.168781146243
apple_pay,1564269610.5,64763,payment_method,order_level,9.975656221741382,24153.754620693915
bank_transfer,775902511.08,32131,payment_method,order_level,4.9480835401807255,24148.09719834428
mobile,7066788763.16,291482,device_type,order_level,45.066307508470985,24244.34017592853
desktop,6265041337.58,258855,device_type,order_level,39.95340584461024,24202.898679106063
tablet,2349039164.69,96608,device_type,order_level,14.980286646918772,24315.16193990146
organic_search,4385324881.54,181495,order_source,order_level,27.966082793687175,24162.235221576353
paid_search,3441964418.44,141652,order_source,order_level,21.950086823490995,24298.73505802954
social_media,3141153470.29,129710,order_source,order_level,20.031756002296238,24216.74096284018
email_campaign,1882479280.82,77572,order_source,order_level,12.004942130154152,24267.509936832877
referral,1565897314.0,64565,order_source,order_level,9.986036408403537,24253.03669170603
direct,1264049900.34,51951,order_source,order_level,8.061095841967898,24331.57976439337
Female,7677346559.46,317013,gender,customer_level,48.95995514984272,24217.76570506572
Male,7395187352.39,305013,gender,customer_level,47.16057016490412,24245.482495467408
Non-binary,608335353.58,24919,gender,customer_level,3.87947468525316,24412.51067779606
25-34,4630010667.44,190622,age_group,customer_level,29.52649237148675,24288.962803034276
35-44,4126281873.63,170368,age_group,customer_level,26.314114375832396,24219.817533985257
45-54,3019379834.82,124138,age_group,customer_level,19.255181480764694,24322.76849006751
18-24,2152381725.54,89057,age_group,customer_level,13.726163321093013,24168.585574856552
55+,1752815164.0,72760,age_group,customer_level,11.17804845082314,24090.367839472237
organic_search,4712188230.96,194227,acquisition_channel,customer_level,30.05055492266922,24261.241902310183
social_media,3158597505.41,129498,acquisition_channel,customer_level,20.143000059144903,24391.091023876816
paid_search,3122379325.11,128953,acquisition_channel,customer_level,19.91202957092174,24213.31279698805
email_campaign,1876906366.8,77775,acquisition_channel,customer_level,11.969402556896654,24132.515162970107
referral,1559981529.93,64473,acquisition_channel,customer_level,9.948310285126418,24195.88866548788
direct,1250816307.22,52019,acquisition_channel,customer_level,7.976702605241064,24045.373944520274
Son Tay,554795175.01,22473,city,customer_level,3.5380383932738977,24687.18795932897
Nam Dinh,546781717.28,21764,city,customer_level,3.4869349908135088,25123.21803344973
Thai Nguyen,539929108.57,21931,city,customer_level,3.4432345518008125,24619.44774839269
Phu Ly,534044422.31,21330,city,customer_level,3.4057067453993306,25037.244365213315
Hanoi,533953434.21,21576,city,customer_level,3.40512649631709,24747.56369160178
Ninh Binh,527246875.11,21059,city,customer_level,3.3623574445095783,25036.65298019849
Hai Phong,522328367.98,21087,city,customer_level,3.330991153223397,24770.160192535688
Ha Long,522078618.77,21043,city,customer_level,3.329398453190175,24810.085005465
Viet Tri,520904352.05,20889,city,customer_level,3.321909922419826,24936.77782804347
Bac Giang,510589604.56,20848,city,customer_level,3.2561307406958893,24491.059313123562
