month,order_status,orders
2012-07-01,cancelled,483
2012-07-01,created,47
2012-07-01,delivered,4233
2012-07-01,paid,110
2012-07-01,returned,290
2012-07-01,shipped,131
2012-08-01,cancelled,609
2012-08-01,created,71
2012-08-01,delivered,5132
2012-08-01,paid,145
2012-08-01,returned,353
2012-08-01,shipped,117
2012-09-01,cancelled,428
2012-09-01,created,49
2012-09-01,delivered,4202
2012-09-01,paid,122
2012-09-01,returned,320
2012-09-01,shipped,98
2012-10-01,cancelled,358
2012-10-01,created,43
2012-10-01,delivered,3420
2012-10-01,paid,93
2012-10-01,returned,262
2012-10-01,shipped,109
2012-11-01,cancelled,422
2012-11-01,created,43
2012-11-01,delivered,3279
2012-11-01,paid,85
2012-11-01,returned,237
2012-11-01,shipped,76
2012-12-01,cancelled,598
2012-12-01,created,63
2012-12-01,delivered,5397
2012-12-01,paid,136
2012-12-01,returned,357
2012-12-01,shipped,133
2013-01-01,cancelled,326
2013-01-01,created,42
2013-01-01,delivered,2936
2013-01-01,paid,88
2013-01-01,returned,202
2013-01-01,shipped,71
2013-02-01,cancelled,444
2013-02-01,created,48
2013-02-01,delivered,3726
2013-02-01,paid,99
2013-02-01,returned,264
2013-02-01,shipped,80
2013-03-01,cancelled,617
2013-03-01,created,71
2013-03-01,delivered,5287
2013-03-01,paid,130
2013-03-01,returned,376
2013-03-01,shipped,109
2013-04-01,cancelled,837
2013-04-01,created,102
2013-04-01,delivered,7090
2013-04-01,paid,188
2013-04-01,returned,494
2013-04-01,shipped,163
2013-05-01,cancelled,757
2013-05-01,created,85
2013-05-01,delivered,6676
2013-05-01,paid,156
2013-05-01,returned,490
2013-05-01,shipped,150
2013-06-01,cancelled,785
2013-06-01,created,88
2013-06-01,delivered,6748
2013-06-01,paid,189
2013-06-01,returned,496
2013-06-01,shipped,163
2013-07-01,cancelled,691
2013-07-01,created,84
2013-07-01,delivered,5927
2013-07-01,paid,145
2013-07-01,returned,390
2013-07-01,shipped,166
2013-08-01,cancelled,742
2013-08-01,created,71
2013-08-01,delivered,6101
2013-08-01,paid,149
2013-08-01,returned,412
2013-08-01,shipped,155
2013-09-01,cancelled,482
2013-09-01,created,59
2013-09-01,delivered,4541
2013-09-01,paid,115
2013-09-01,returned,342
2013-09-01,shipped,109
2013-10-01,cancelled,417
2013-10-01,created,53
2013-10-01,delivered,3783
2013-10-01,paid,97
2013-10-01,returned,245
2013-10-01,shipped,95
2013-11-01,cancelled,408
2013-11-01,created,43
2013-11-01,delivered,3402
2013-11-01,paid,87
2013-11-01,returned,209
2013-11-01,shipped,90
2013-12-01,cancelled,587
2013-12-01,created,62
2013-12-01,delivered,5371
2013-12-01,paid,115
2013-12-01,returned,403
2013-12-01,shipped,128
2014-01-01,cancelled,358
2014-01-01,created,37
2014-01-01,delivered,3340
2014-01-01,paid,99
2014-01-01,returned,216
2014-01-01,shipped,101
2014-02-01,cancelled,409
2014-02-01,created,48
2014-02-01,delivered,3409
2014-02-01,paid,94
2014-02-01,returned,204
2014-02-01,shipped,92
2014-03-01,cancelled,644
2014-03-01,created,74
2014-03-01,delivered,6242
2014-03-01,paid,153
2014-03-01,returned,360
2014-03-01,shipped,180
2014-04-01,cancelled,896
2014-04-01,created,100
2014-04-01,delivered,7652
2014-04-01,paid,195
2014-04-01,returned,588
2014-04-01,shipped,196
2014-05-01,cancelled,919
2014-05-01,created,117
2014-05-01,delivered,7755
2014-05-01,paid,221
2014-05-01,returned,533
2014-05-01,shipped,199
2014-06-01,cancelled,791
2014-06-01,created,73
2014-06-01,delivered,6779
2014-06-01,paid,179
2014-06-01,returned,480
2014-06-01,shipped,172
2014-07-01,cancelled,699
2014-07-01,created,73
2014-07-01,delivered,5955
2014-07-01,paid,143
2014-07-01,returned,436
2014-07-01,shipped,144
2014-08-01,cancelled,657
2014-08-01,created,95
2014-08-01,delivered,6297
2014-08-01,paid,153
2014-08-01,returned,447
2014-08-01,shipped,158
2014-09-01,cancelled,465
2014-09-01,created,53
2014-09-01,delivered,4249
2014-09-01,paid,101
2014-09-01,returned,286
2014-09-01,shipped,110
2014-10-01,cancelled,416
2014-10-01,created,50
2014-10-01,delivered,3834
2014-10-01,paid,102
2014-10-01,returned,266
2014-10-01,shipped,103
2014-11-01,cancelled,388
2014-11-01,created,49
2014-11-01,delivered,3564
2014-11-01,paid,86
2014-11-01,returned,257
2014-11-01,shipped,77
2014-12-01,cancelled,645
2014-12-01,created,73
2014-12-01,delivered,5612
2014-12-01,paid,146
2014-12-01,returned,411
2014-12-01,shipped,140
2015-01-01,cancelled,324
2015-01-01,created,33
2015-01-01,delivered,2887
2015-01-01,paid,75
2015-01-01,returned,199
2015-01-01,shipped,88
2015-02-01,cancelled,429
2015-02-01,created,64
2015-02-01,delivered,3785
2015-02-01,paid,100
2015-02-01,returned,252
2015-02-01,shipped,85
2015-03-01,cancelled,649
2015-03-01,created,59
2015-03-01,delivered,5556
2015-03-01,paid,128
2015-03-01,returned,370
2015-03-01,shipped,143
2015-04-01,cancelled,961
2015-04-01,created,107
2015-04-01,delivered,8403
2015-04-01,paid,208
2015-04-01,returned,610
2015-04-01,shipped,213
2015-05-01,cancelled,840
2015-05-01,created,87
2015-05-01,delivered,7417
2015-05-01,paid,182
2015-05-01,returned,556
2015-05-01,shipped,191
2015-06-01,cancelled,790
2015-06-01,created,81
2015-06-01,delivered,6701
2015-06-01,paid,204
2015-06-01,returned,448
2015-06-01,shipped,163
2015-07-01,cancelled,645
2015-07-01,created,65
2015-07-01,delivered,5796
2015-07-01,paid,150
2015-07-01,returned,409
2015-07-01,shipped,151
2015-08-01,cancelled,756
2015-08-01,created,78
2015-08-01,delivered,6152
2015-08-01,paid,156
2015-08-01,returned,431
2015-08-01,shipped,144
2015-09-01,cancelled,680
2015-09-01,created,77
2015-09-01,delivered,5668
2015-09-01,paid,132
2015-09-01,returned,386
2015-09-01,shipped,148
2015-10-01,cancelled,512
2015-10-01,created,60
2015-10-01,delivered,4328
2015-10-01,paid,104
2015-10-01,returned,319
2015-10-01,shipped,118
2015-11-01,cancelled,442
2015-11-01,created,38
2015-11-01,delivered,3911
2015-11-01,paid,88
2015-11-01,returned,266
2015-11-01,shipped,93
2015-12-01,cancelled,637
2015-12-01,created,73
2015-12-01,delivered,5559
2015-12-01,paid,152
2015-12-01,returned,375
2015-12-01,shipped,135
2016-01-01,cancelled,375
2016-01-01,created,53
2016-01-01,delivered,3507
2016-01-01,paid,89
2016-01-01,returned,255
2016-01-01,shipped,84
