month,orders,return_rows,returned_orders,returned_quantity,refund_amount,cohort_return_rows,cohort_returned_orders,cohort_returned_quantity,return_activity_rate_pct,return_row_activity_rate_pct,cohort_return_rate_pct,cohort_return_row_rate_pct
2012-07-01,5294,107,100,294,1566367.16,329,290,882,1.8889308651303363,2.02115602568946,5.477899508877975,6.214582546278806
2012-08-01,6427,393,353,1044,4585187.41,404,353,1063,5.492453710907111,6.114828069083554,5.492453710907111,6.285981017582076
2012-09-01,5219,356,318,923,4141199.96,356,320,979,6.093121287602989,6.82123012071278,6.131442805135083,6.82123012071278
2012-10-01,4285,334,301,947,4401616.95,305,262,872,7.024504084014002,7.79463243873979,6.114352392065344,7.117852975495915
2012-11-01,4142,300,266,845,3774908.08,282,237,733,6.422018348623854,7.242877836793819,5.721873491067117,6.80830516658619
2012-12-01,6684,300,260,765,2652778.43,439,357,1184,3.8898862956313582,4.488330341113106,5.341113105924596,6.567923399162179
2013-01-01,3665,408,343,1122,3679987.17,236,202,669,9.358799454297408,11.132332878581174,5.511596180081855,6.439290586630286
2013-02-01,4661,226,199,634,2356109.14,308,264,785,4.269470070800257,4.848744904526925,5.664020596438533,6.608024029178288
2013-03-01,6590,340,299,875,3340464.59,440,376,1219,4.537177541729894,5.159332321699544,5.705614567526555,6.676783004552352
2013-04-01,8874,538,487,1521,6080560.22,567,494,1578,5.487942303358125,6.062654947036285,5.566824430921794,6.389452332657202
2013-05-01,8314,591,528,1581,6646219.68,544,490,1430,6.350733702189079,7.10849170074573,5.893673322107289,6.543180178012991
2013-06-01,8469,553,506,1464,6565849.43,549,496,1488,5.9747313732435945,6.529696540323533,5.856653678120203,6.482465462274177
2013-07-01,7403,473,439,1295,5366392.87,430,390,1157,5.930028366878293,6.389301634472511,5.268134540051331,5.808456031338646
2013-08-01,7630,467,435,1323,4784246.03,464,412,1339,5.7011795543905635,6.120576671035387,5.399737876802098,6.081258191349934
2013-09-01,5648,417,372,1196,3913934.23,379,342,1064,6.586402266288951,7.38314447592068,6.055240793201133,6.710339943342776
2013-10-01,4690,335,308,890,3866207.06,282,245,720,6.567164179104477,7.142857142857142,5.223880597014925,6.0127931769722816
2013-11-01,4239,279,248,764,3394187.62,254,209,728,5.850436423684831,6.581740976645436,4.930408115121491,5.9919792403868835
2013-12-01,6666,306,267,861,2341432.45,491,403,1386,4.005400540054006,4.59045904590459,6.045604560456046,7.365736573657365
2014-01-01,4151,449,373,1203,3053213.75,255,216,643,8.985786557456036,10.816670681763432,5.203565405926283,6.1430980486629725
2014-02-01,4256,217,193,611,2935055.81,231,204,672,4.534774436090226,5.098684210526316,4.793233082706767,5.427631578947369
2014-03-01,7653,292,263,837,3791466.22,412,360,1145,3.4365608258199396,3.8154971906441917,4.704037632301058,5.383509734744544
2014-04-01,9627,548,492,1488,6319878.21,656,588,1815,5.110626363353069,5.6923236730030125,6.1078217513244,6.814168484470759
2014-05-01,9744,587,541,1673,7530475.88,590,533,1685,5.552134646962234,6.024220032840723,5.470032840722496,6.055008210180624
2014-06-01,8474,594,550,1659,7471327.57,519,480,1449,6.4904413500118014,7.009676658012745,5.664385178192117,6.124616473920227
2014-07-01,7450,511,470,1428,5832365.86,494,436,1374,6.308724832214765,6.859060402684563,5.85234899328859,6.630872483221477
2014-08-01,7807,481,436,1318,5753251.54,507,447,1347,5.584731651082362,6.161137440758294,5.7256308441142565,6.4941718970155
2014-09-01,5264,424,380,1147,4788107.35,330,286,922,7.218844984802432,8.054711246200608,5.433130699088146,6.268996960486323
2014-10-01,4771,349,319,979,4031751.76,293,266,843,6.686229302033117,7.3150282959547255,5.575351079438273,6.141270173967722
2014-11-01,4421,275,248,761,3679182.46,308,257,835,5.609590590364171,6.220312146573174,5.8131644424338385,6.966749604161953
2014-12-01,7027,346,294,939,2741964.8,510,411,1463,4.183862245624022,4.923865091788814,5.848868649494806,7.257720222000853
2015-01-01,3606,465,383,1342,3561678.96,223,199,613,10.621186910704381,12.895174708818635,5.518580144204104,6.184137548530227
2015-02-01,4715,199,189,546,2532861.19,278,252,719,4.008483563096501,4.2205726405090145,5.344644750795334,5.896076352067869
2015-03-01,6905,315,290,840,4059177.36,413,370,1156,4.1998551774076756,4.5619116582186825,5.358435916002897,5.9811730629978275
2015-04-01,10502,565,516,1563,6742241.14,674,610,1901,4.913349838126072,5.3799276328318415,5.808417444296325,6.417825176156923
2015-05-01,9273,628,577,1752,8884003.15,606,556,1622,6.222366008842877,6.772349832848054,5.995902081311335,6.535101908767389
2015-06-01,8387,591,546,1640,8224575.38,504,448,1377,6.5100751162513415,7.046619768689638,5.341600095385716,6.00930010730893
2015-07-01,7216,463,427,1246,5639940.19,438,409,1218,5.91740576496674,6.4162971175166295,5.667960088691796,6.069844789356985
2015-08-01,7717,433,408,1174,4966184.06,480,431,1298,5.2870286380717895,5.610988726188934,5.585071919139562,6.220033691849164
2015-09-01,7091,469,431,1268,3949095.34,428,386,1117,6.078127203497391,6.614017769002961,5.443519954872373,6.035820053589057
2015-10-01,5441,423,392,1100,5097045.05,355,319,944,7.2045579856644,7.7743061937143905,5.8628928505789375,6.524535930895056
2015-11-01,4838,307,274,828,3771363.67,312,266,878,5.6634973129392305,6.3455973542786275,5.498139727159983,6.448945845390658
2015-12-01,6931,342,304,967,3364166.49,457,375,1244,4.3860914730919065,4.934352907228394,5.4104746789785025,6.593565142115135
2016-01-01,4363,440,377,1214,3631567.55,280,255,840,8.640843456337382,10.084804033921614,5.844602337840935,6.417602567041027
2016-02-01,4703,267,250,785,4233492.27,316,283,886,5.31575590048905,5.677227301722305,6.017435679353604,6.719115458218158
2016-03-01,6924,347,314,979,4823467.16,473,428,1363,4.534950895436165,5.01155401502022,6.1813980358174465,6.831311380704795
2016-04-01,10426,579,530,1589,6828533.25,646,595,1705,5.083445233071168,5.553424131977748,5.706886629579897,6.196048340686745
2016-05-01,9965,643,609,1768,8495852.68,619,576,1714,6.11138986452584,6.452584044154541,5.780230807827396,6.2117410938284
2016-06-01,9595,628,586,1750,8577972.31,537,502,1592,6.107347576862949,6.545075560187598,5.231891610213653,5.59666492965086
2016-07-01,7236,472,451,1365,6318110.09,441,410,1228,6.232725262576009,6.52294085129906,5.666113875069099,6.0945273631840795
2016-08-01,8065,477,442,1332,6763852.9799999995,511,463,1403,5.480471171729697,5.914445133292003,5.7408555486670805,6.336019838809672
2016-09-01,5650,426,393,1200,5992244.81,322,289,871,6.955752212389381,7.539823008849557,5.11504424778761,5.699115044247788
2016-10-01,4548,302,276,799,3661512.03,292,256,787,6.068601583113456,6.640281442392261,5.628847845206685,6.420404573438875
2016-11-01,4500,298,271,837,3999703.02,299,259,840,6.022222222222222,6.622222222222223,5.7555555555555555,6.644444444444445
2016-12-01,6272,297,257,800,2910786.51,417,339,1209,4.097576530612245,4.735331632653061,5.404974489795919,6.64859693877551
2017-01-01,3451,393,337,1180,3648029.7,228,199,680,9.765285424514634,11.388003477252969,5.766444508838018,6.6067806432918
2017-02-01,3976,217,192,616,3135793.13,286,241,800,4.82897384305835,5.457746478873239,6.061368209255534,7.1931589537223335
2017-03-01,7049,314,280,883,4330350.11,422,376,1155,3.9721946375372394,4.454532557809618,5.334089941835721,5.986664775145411
2017-04-01,8619,513,471,1404,6426311.81,475,436,1313,5.464671075530804,5.951966585450749,5.058591483930851,5.511080171713656
2017-05-01,9553,483,447,1327,6582465.7,557,512,1470,4.679158379566628,5.056003349733068,5.359572909033812,5.830629121741861
2017-06-01,10078,590,552,1584,8181123.59,580,534,1578,5.477277237547132,5.8543361778130585,5.298670371105378,5.755110140900972
2017-07-01,7234,528,496,1420,6782500.17,453,423,1267,6.856510920652474,7.298866463920375,5.847387337572574,6.262095659386231
2017-08-01,7091,465,431,1298,5331617.74,469,418,1316,6.078127203497391,6.557608235791849,5.8947962205612745,6.614017769002961
2017-09-01,5410,412,379,1157,4099880.28,357,335,961,7.005545286506469,7.615526802218114,6.1922365988909425,6.598890942698706
2017-10-01,4590,347,331,885,4466899.16,304,283,802,7.211328976034858,7.559912854030501,6.16557734204793,6.623093681917211
2017-11-01,4067,273,254,755,4190842.25,249,225,681,6.245389722153922,6.712564543889846,5.532333415293828,6.122448979591836
2017-12-01,4892,247,227,691,2576716.39,318,265,893,4.6402289452166805,5.049059689288635,5.417007358953393,6.500408830744071
2018-01-01,3208,314,267,880,2612809.14,201,178,557,8.322942643391523,9.788029925187033,5.548628428927681,6.265586034912718
2018-02-01,3859,187,172,489,2624708.5100000002,232,202,614,4.45711324177248,4.845814977973569,5.2345167141746565,6.011920186576834
2018-03-01,6418,278,253,727,3767019.73,405,367,1081,3.9420380180741663,4.331567466500467,5.7182923028980985,6.310377064506077
2018-04-01,8220,461,428,1255,5833441.99,493,459,1347,5.206812652068127,5.608272506082725,5.583941605839416,5.997566909975669
2018-05-01,9841,527,504,1432,7629355.7,561,529,1529,5.121430748907631,5.355146834671273,5.375469972563764,5.700640178843614
2018-06-01,10851,570,538,1630,8685477.66,583,541,1667,4.958068380794397,5.252972076306331,4.985715602248641,5.372776702608054
2018-07-01,7452,552,523,1475,6532485.59,482,453,1240,7.018250134192164,7.4074074074074066,6.078904991948471,6.468062265163714
2018-08-01,6510,455,434,1200,5682013.29,373,351,1017,6.666666666666667,6.989247311827956,5.3917050691244235,5.729646697388633
2018-09-01,4129,310,294,850,5020644.42,245,228,659,7.120368127876,7.507871155243401,5.521918139985468,5.933640106563332
2018-10-01,3263,226,213,587,3167561.02,207,195,524,6.527735212994178,6.926141587496169,5.9760956175298805,6.343855347839411
2018-11-01,2518,182,173,479,3175039.87,153,139,419,6.8705321683876095,7.227958697378872,5.520254169976171,6.076250992851469
2018-12-01,3241,164,146,448,1994812.76,187,161,523,4.504782474544894,5.060166615242209,4.967602591792657,5.769824128355446
2019-01-01,2378,159,143,463,1600993.91,123,111,349,6.013456686291001,6.6862910008410426,4.667788057190917,5.172413793103448
2019-02-01,2853,152,136,440,2172690.08,169,155,469,4.7669120224325265,5.327725201542236,5.432877672625307,5.923589204346302
2019-03-01,4029,169,164,444,2733650.72,226,213,631,4.070488955075701,4.1945892280963015,5.286671630677588,5.609332340531149
2019-04-01,4525,264,245,733,4083562.81,304,275,787,5.414364640883978,5.834254143646409,6.077348066298343,6.718232044198895
2019-05-01,4689,324,302,879,5167318.1,294,274,827,6.440605672851355,6.90978886756238,5.843463425037322,6.269993602047346
2019-06-01,4776,277,261,774,4553044.88,276,259,762,5.464824120603015,5.799832495812395,5.422948073701842,5.778894472361809
2019-07-01,3784,257,247,714,3550593.23,205,198,581,6.527484143763214,6.791754756871036,5.232558139534884,5.41754756871036
2019-08-01,4391,211,208,553,2490471.08,266,250,709,4.7369619676611245,4.805283534502392,5.693463903438852,6.057845593258938
2019-09-01,3026,238,227,637,2413615.91,191,179,521,7.501652346331792,7.865168539325842,5.915399867812293,6.311962987442168
2019-10-01,2345,178,169,515,2862254.93,140,130,415,7.206823027718551,7.590618336886994,5.543710021321962,5.970149253731343
2019-11-01,2031,138,128,394,2323449.41,132,120,356,6.302314130969966,6.794682422451995,5.908419497784342,6.499261447562777
2019-12-01,2774,128,119,341,1364461.27,158,136,445,4.2898341744772885,4.6142754145638065,4.902667627974044,5.695746214852199
2020-01-01,1537,155,134,438,1420016.29,91,84,234,8.718282368249836,10.084580351333768,5.465191932335719,5.920624593363696
2020-02-01,1850,80,79,187,1200576.29,108,100,269,4.27027027027027,4.324324324324325,5.405405405405405,5.837837837837838
2020-03-01,3635,124,114,331,2064187.33,204,193,586,3.1361760660247597,3.4112792297111416,5.30949105914718,5.612104539202201
2020-04-01,4707,262,250,750,4263235.9799999995,275,266,776,5.311238580837052,5.56617803271723,5.651157850010622,5.842362438920756
2020-05-01,4221,267,265,770,5190787.17,277,261,760,6.278133143804785,6.325515280739161,6.183368869936034,6.562425965411039
2020-06-01,3609,251,237,671,3961856.69,193,183,504,6.56691604322527,6.954835134386257,5.070656691604322,5.347741756719312
2020-07-01,3293,205,200,544,2947159.44,197,189,559,6.0734892195566355,6.225326450045551,5.739447312481021,5.982386881263286
2020-08-01,3674,197,192,536,3286164.04,212,205,542,5.225911812738159,5.362003266194883,5.57974959172564,5.770277626565052
2020-09-01,2543,183,178,471,2871799.05,146,137,374,6.999606763664963,7.196224931183641,5.387337790011797,5.7412504915454186
2020-10-01,2042,137,127,341,1857433.05,120,108,306,6.219392752203722,6.709108716944172,5.288932419196866,5.8765915768854065
2020-11-01,1563,115,107,301,1857814.18,114,108,314,6.8458093410108765,7.357645553422905,6.90978886756238,7.293666026871401
2020-12-01,2207,108,101,290,1509476.86,132,116,329,4.576347983688265,4.893520616221115,5.256003624830086,5.980969642048029
2021-01-01,1372,123,110,312,1385953.65,74,70,212,8.017492711370263,8.965014577259476,5.1020408163265305,5.393586005830904
2021-02-01,1976,83,80,230,1395946.48,126,119,317,4.048582995951417,4.200404858299596,6.022267206477733,6.376518218623482
2021-03-01,4006,160,152,436,2496252.34,222,212,642,3.794308537194209,3.99400898652022,5.292061907139291,5.5416874687968045
2021-04-01,4346,247,237,673,3860217.92,238,225,658,5.453290381960423,5.6833870225494705,5.177174413253566,5.476300046019328
2021-05-01,4267,234,223,650,4162205.37,271,254,733,5.226154206702601,5.483946566674478,5.952659948441528,6.35106632294352
2021-06-01,3963,277,264,780,4777673.2,234,223,643,6.661619984859955,6.98965430229624,5.627050214483977,5.904617713853141
2021-07-01,3292,207,199,549,3665926.25,173,167,476,6.044957472660997,6.287970838396112,5.072904009720534,5.255164034021871
2021-08-01,3225,179,175,478,2831735.93,197,193,504,5.426356589147287,5.550387596899225,5.984496124031008,6.108527131782946
2021-09-01,2431,176,173,481,2138816.21,132,126,342,7.116412998765941,7.239819004524888,5.183052241875771,5.429864253393665
2021-10-01,1831,135,128,352,2213615.78,121,113,329,6.990715456034953,7.373020207536865,6.1714909885308575,6.608410704533043
2021-11-01,1630,114,109,319,2036951.58,108,98,343,6.687116564417178,6.993865030674846,6.012269938650307,6.625766871165645
2021-12-01,2186,95,87,271,1281347.27,130,118,365,3.9798719121683437,4.34583714547118,5.397987191216835,5.946935041171089
2022-01-01,1719,138,127,397,1758361.11,112,100,287,7.388016288539849,8.027923211169284,5.817335660267597,6.515415939499709
2022-02-01,2182,94,88,242,1443893.77,120,111,348,4.032997250229148,4.307974335472044,5.087076076993584,5.499541704857928
2022-03-01,4231,162,153,465,3022304.64,230,223,613,3.616166390924131,3.8288820609784917,5.270621602458048,5.436067123611439
2022-04-01,4489,251,243,674,4003395.7199999997,255,246,686,5.413232345734016,5.591445756293161,5.480062374693696,5.680552461572733
2022-05-01,4076,256,246,681,4111292.65,235,218,609,6.035328753680078,6.280667320902846,5.34838076545633,5.765456329735034
2022-06-01,4068,225,212,588,3905587.2199999997,225,212,588,5.2114060963618485,5.530973451327434,5.2114060963618485,5.530973451327434
2022-07-01,3122,235,226,620,3704247.91,223,212,665,7.238949391415759,7.527226137091608,6.790518898142217,7.142857142857142
2022-08-01,3274,202,191,609,4157791.91,192,184,512,5.8338423946243125,6.169822846670739,5.62003665241295,5.864386072083079
2022-09-01,2643,184,177,489,3225300.76,176,165,469,6.696935300794552,6.961785849413545,6.242905788876277,6.6590995081346955
2022-10-01,2097,158,149,403,2524992.99,138,132,376,7.105388650453028,7.534573199809251,6.294706723891273,6.580829756795422
2022-11-01,1703,129,124,363,2346460.09,104,96,266,7.281268349970641,7.574867880211392,5.637110980622431,6.106870229007633
2022-12-01,2400,116,110,284,1508607.06,45,43,111,4.583333333333333,4.833333333333333,1.7916666666666667,1.875
