month,return_rows,returned_quantity,refund_amount
2012-07-01,107,294,1566367.16
2012-08-01,393,1044,4585187.41
2012-09-01,356,923,4141199.96
2012-10-01,334,947,4401616.95
2012-11-01,300,845,3774908.08
2012-12-01,300,765,2652778.43
2013-01-01,408,1122,3679987.17
2013-02-01,226,634,2356109.14
2013-03-01,340,875,3340464.59
2013-04-01,538,1521,6080560.22
2013-05-01,591,1581,6646219.68
2013-06-01,553,1464,6565849.43
2013-07-01,473,1295,5366392.87
2013-08-01,467,1323,4784246.03
2013-09-01,417,1196,3913934.23
2013-10-01,335,890,3866207.06
2013-11-01,279,764,3394187.62
2013-12-01,306,861,2341432.45
2014-01-01,449,1203,3053213.75
2014-02-01,217,611,2935055.81
2014-03-01,292,837,3791466.22
2014-04-01,548,1488,6319878.21
2014-05-01,587,1673,7530475.88
2014-06-01,594,1659,7471327.57
2014-07-01,511,1428,5832365.86
2014-08-01,481,1318,5753251.54
2014-09-01,424,1147,4788107.35
2014-10-01,349,979,4031751.76
2014-11-01,275,761,3679182.46
2014-12-01,346,939,2741964.8
2015-01-01,465,1342,3561678.96
2015-02-01,199,546,2532861.19
2015-03-01,315,840,4059177.36
2015-04-01,565,1563,6742241.14
2015-05-01,628,1752,8884003.15
2015-06-01,591,1640,8224575.38
2015-07-01,463,1246,5639940.19
2015-08-01,433,1174,4966184.06
2015-09-01,469,1268,3949095.34
2015-10-01,423,1100,5097045.05
2015-11-01,307,828,3771363.67
2015-12-01,342,967,3364166.49
2016-01-01,440,1214,3631567.55
2016-02-01,267,785,4233492.27
2016-03-01,347,979,4823467.16
2016-04-01,579,1589,6828533.25
2016-05-01,643,1768,8495852.68
2016-06-01,628,1750,8577972.31
2016-07-01,472,1365,6318110.09
2016-08-01,477,1332,6763852.9799999995
2016-09-01,426,1200,5992244.81
2016-10-01,302,799,3661512.03
2016-11-01,298,837,3999703.02
2016-12-01,297,800,2910786.51
2017-01-01,393,1180,3648029.7
2017-02-01,217,616,3135793.13
2017-03-01,314,883,4330350.11
2017-04-01,513,1404,6426311.81
2017-05-01,483,1327,6582465.7
2017-06-01,590,1584,8181123.59
2017-07-01,528,1420,6782500.17
2017-08-01,465,1298,5331617.74
2017-09-01,412,1157,4099880.28
2017-10-01,347,885,4466899.16
2017-11-01,273,755,4190842.25
2017-12-01,247,691,2576716.39
2018-01-01,314,880,2612809.14
2018-02-01,187,489,2624708.5100000002
2018-03-01,278,727,3767019.73
2018-04-01,461,1255,5833441.99
2018-05-01,527,1432,7629355.7
2018-06-01,570,1630,8685477.66
2018-07-01,552,1475,6532485.59
2018-08-01,455,1200,5682013.29
2018-09-01,310,850,5020644.42
2018-10-01,226,587,3167561.02
2018-11-01,182,479,3175039.87
2018-12-01,164,448,1994812.76
2019-01-01,159,463,1600993.91
2019-02-01,152,440,2172690.08
2019-03-01,169,444,2733650.72
2019-04-01,264,733,4083562.81
2019-05-01,324,879,5167318.1
2019-06-01,277,774,4553044.88
2019-07-01,257,714,3550593.23
2019-08-01,211,553,2490471.08
2019-09-01,238,637,2413615.91
2019-10-01,178,515,2862254.93
2019-11-01,138,394,2323449.41
2019-12-01,128,341,1364461.27
2020-01-01,155,438,1420016.29
2020-02-01,80,187,1200576.29
2020-03-01,124,331,2064187.33
2020-04-01,262,750,4263235.9799999995
2020-05-01,267,770,5190787.17
2020-06-01,251,671,3961856.69
2020-07-01,205,544,2947159.44
2020-08-01,197,536,3286164.04
2020-09-01,183,471,2871799.05
2020-10-01,137,341,1857433.05
2020-11-01,115,301,1857814.18
2020-12-01,108,290,1509476.86
2021-01-01,123,312,1385953.65
2021-02-01,83,230,1395946.48
2021-03-01,160,436,2496252.34
2021-04-01,247,673,3860217.92
2021-05-01,234,650,4162205.37
2021-06-01,277,780,4777673.2
2021-07-01,207,549,3665926.25
2021-08-01,179,478,2831735.93
2021-09-01,176,481,2138816.21
2021-10-01,135,352,2213615.78
2021-11-01,114,319,2036951.58
2021-12-01,95,271,1281347.27
2022-01-01,138,397,1758361.11
2022-02-01,94,242,1443893.77
2022-03-01,162,465,3022304.64
2022-04-01,251,674,4003395.7199999997
2022-05-01,256,681,4111292.65
2022-06-01,225,588,3905587.2199999997
2022-07-01,235,620,3704247.91
2022-08-01,202,609,4157791.91
2022-09-01,184,489,3225300.76
2022-10-01,158,403,2524992.99
2022-11-01,129,363,2346460.09
2022-12-01,116,284,1508607.06
