date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,sessions_rolling_7d,sessions_rolling_30d,sessions_rolling_90d
2013-01-01,9760,7253,39093,0.00514,102.9,9760.0,9760.0,9760.0
2013-01-02,10456,8151,47611,0.00406,120.5,10108.0,10108.0,10108.0
2013-01-03,10076,7458,36963,0.00401,263.6,10097.333333333334,10097.333333333334,10097.333333333334
2013-01-04,9973,8063,53078,0.00562,151.8,10066.25,10066.25,10066.25
2013-01-05,10223,7882,36790,0.00525,168.6,10097.6,10097.6,10097.6
2013-01-06,9545,6992,47160,0.00438,263.6,10005.5,10005.5,10005.5
2013-01-07,10203,7354,32749,0.00443,252.1,10033.714285714286,10033.714285714286,10033.714285714286
2013-01-08,9456,7459,31482,0.0044,192.4,9990.285714285714,9961.5,9961.5
2013-01-09,9162,7108,46717,0.00409,312.8,9805.42857142857,9872.666666666666,9872.666666666666
2013-01-10,9887,7878,38472,0.00544,285.4,9778.42857142857,9874.1,9874.1
2013-01-11,9412,7368,46916,0.00356,238.2,9698.285714285714,9832.09090909091,9832.09090909091
2013-01-12,8730,6136,33336,0.00386,193.3,9485.0,9740.25,9740.25
2013-01-13,8818,6863,35427,0.00372,308.8,9381.142857142857,9669.307692307691,9669.307692307691
2013-01-14,8230,6203,35402,0.004,301.5,9099.285714285714,9566.5,9566.5
2013-01-15,8102,6179,39490,0.00445,314.0,8905.857142857143,9468.866666666667,9468.866666666667
2013-01-16,9373,7503,37034,0.00446,284.4,8936.0,9462.875,9462.875
2013-01-17,9819,7503,48840,0.00495,162.5,8926.285714285714,9483.823529411764,9483.823529411764
2013-01-18,10041,7821,35761,0.00509,182.0,9016.142857142857,9514.777777777777,9514.777777777777
2013-01-19,8746,6138,33440,0.00546,223.1,9018.42857142857,9474.315789473685,9474.315789473685
2013-01-20,10270,8030,35184,0.00501,283.9,9225.857142857143,9514.1,9514.1
2013-01-21,10339,8283,40661,0.00429,152.6,9527.142857142857,9553.380952380952,9553.380952380952
2013-01-22,10100,7469,39597,0.00504,250.0,9812.57142857143,9578.227272727272,9578.227272727272
2013-01-23,9307,7261,39117,0.00451,243.9,9803.142857142857,9566.434782608696,9566.434782608696
2013-01-24,9698,7034,36976,0.00503,144.4,9785.857142857143,9571.916666666666,9571.916666666666
2013-01-25,10600,7868,42453,0.00385,195.6,9865.714285714286,9613.04,9613.04
2013-01-26,10226,8004,42655,0.00566,245.5,10077.142857142857,9636.615384615385,9636.615384615385
2013-01-27,8604,6327,44601,0.00554,222.6,9839.142857142857,9598.37037037037,9598.37037037037
2013-01-28,9701,7636,51697,0.00447,258.0,9748.0,9602.035714285714,9602.035714285714
2013-01-29,8638,6928,42663,0.00329,299.3,9539.142857142857,9568.793103448275,9568.793103448275
2013-01-30,8596,6245,30451,0.00394,173.9,9437.57142857143,9536.366666666667,9536.366666666667
2013-01-31,8915,6530,47230,0.00344,109.4,9325.714285714286,9508.2,9516.322580645161
2013-02-01,15758,11220,63433,0.00409,116.7,10062.57142857143,9684.933333333332,9711.375
2013-02-02,15027,12295,56597,0.0039,208.2,10748.42857142857,9849.966666666667,9872.454545454546
2013-02-03,14372,10507,72606,0.0043,215.7,11572.42857142857,9996.6,10004.79411764706
2013-02-04,15623,12726,62972,0.00524,194.6,12418.42857142857,10176.6,10165.314285714287
2013-02-05,14177,11064,62917,0.00429,138.2,13209.714285714286,10331.0,10276.75
2013-02-06,14103,10525,66736,0.00367,286.6,13996.42857142857,10461.0,10380.162162162162
2013-02-07,14761,10967,66344,0.005,190.5,14831.57142857143,10637.833333333334,10495.447368421053
2013-02-08,14467,10993,59452,0.00549,227.1,14647.142857142857,10814.666666666666,10597.28205128205
2013-02-09,14578,10995,47223,0.00548,237.0,14583.0,10971.033333333333,10696.8
2013-02-10,16602,12760,61322,0.00387,199.5,14901.57142857143,11210.7,10840.829268292682
2013-02-11,15063,11080,60064,0.00526,223.3,14821.57142857143,11421.8,10941.357142857143
2013-02-12,15368,11408,65858,0.00363,162.4,14991.714285714286,11640.133333333333,11044.302325581395
2013-02-13,13346,9812,50414,0.0047,193.8,14883.57142857143,11810.666666666666,11096.613636363636
2013-02-14,17180,13040,85934,0.00387,254.4,15229.142857142857,12113.266666666666,11231.8
2013-02-15,13633,10416,74873,0.00565,238.7,15110.0,12255.266666666666,11284.0
2013-02-16,15360,12159,73050,0.00487,203.7,15221.714285714286,12439.966666666667,11370.72340425532
2013-02-17,14662,10421,77351,0.00468,314.8,14944.57142857143,12594.0,11439.291666666666
2013-02-18,13304,9946,43820,0.00573,140.6,14693.285714285714,12745.933333333332,11477.34693877551
2013-02-19,16231,11522,82447,0.00365,173.8,14816.57142857143,12944.633333333333,11572.42
2013-02-20,14347,11037,75545,0.00396,224.8,14959.57142857143,13078.233333333334,11626.823529411764
2013-02-21,14194,11525,54818,0.00546,118.2,14533.0,13214.7,11676.192307692309
2013-02-22,15750,12758,61771,0.00439,239.1,14835.42857142857,13429.466666666667,11753.056603773584
2013-02-23,14540,11603,61974,0.00358,189.1,14718.285714285714,13590.866666666667,11804.666666666666
2013-02-24,13758,9915,63623,0.00527,147.8,14589.142857142857,13696.133333333333,11840.181818181818
2013-02-25,13676,10852,72244,0.00518,177.9,14642.285714285714,13811.133333333333,11872.964285714286
2013-02-26,15824,11642,60025,0.00333,169.9,14584.142857142857,14051.8,11942.280701754386
2013-02-27,15908,11989,72791,0.00323,290.3,14807.142857142857,14258.7,12010.655172413793
2013-02-28,15284,11512,56308,0.00441,286.2,14962.857142857143,14480.233333333334,12066.135593220339
2013-03-01,20573,15216,82066,0.0047,125.7,15651.857142857143,14879.466666666667,12207.916666666666
2013-03-02,18275,14004,64834,0.00437,161.4,16185.42857142857,15191.466666666667,12307.377049180328
2013-03-03,19075,15498,69465,0.00346,286.8,16945.0,15302.033333333333,12416.532258064517
2013-03-04,21760,16400,112923,0.00459,204.5,18099.85714285714,15526.466666666667,12564.84126984127
2013-03-05,21169,15161,90533,0.00389,283.0,18863.428571428572,15753.033333333333,12699.28125
2013-03-06,19422,13780,66932,0.00558,143.8,19365.428571428572,15879.666666666666,12802.707692307693
2013-03-07,20205,14897,74215,0.00534,308.2,20068.428571428572,16080.6,12914.863636363636
2013-03-08,21327,17243,72483,0.00557,127.9,20176.14285714286,16321.4,13040.41791044776
2013-03-09,20046,15758,91235,0.00377,314.3,20429.14285714286,16497.566666666666,13143.441176470587
2013-03-10,19505,15320,104073,0.00354,185.0,20490.571428571428,16665.5,13235.63768115942
2013-03-11,21480,15406,115544,0.00419,296.4,20450.571428571428,16895.566666666666,13353.414285714285
2013-03-12,16857,13571,82314,0.00395,179.0,19834.571428571428,16904.066666666666,13402.760563380281
