Date,Revenue,COGS,Gross_Profit,Margin,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,sessions_lag_1d,sessions_lag_7d,sessions_rolling_7d,sessions_rolling_30d
2012-07-04,5123547.94,3982991.19,1140556.7500000005,0.22261073056339947,,,,,,,,,
2012-07-05,2751773.45,2150580.23,601193.2200000002,0.21847482393581497,,,,,,,,,
2012-07-06,3054029.42,2517632.84,536396.5800000001,0.17563569508770485,,,,,,,,,
2012-07-07,2667930.94,2108246.62,559684.3199999998,0.2097821617526576,,,,,,,,,
2012-07-08,2360851.9,1808622.79,552229.1099999999,0.23391094968727175,,,,,,,,,
2012-07-09,3548386.46,2787841.68,760544.7799999998,0.21433538555436824,,,,,,,,,
2012-07-10,5234938.62,4044438.84,1190499.7800000003,0.22741427673129055,,,,,,,,,
2012-07-11,5582884.78,4338313.07,1244571.71,0.2229262754012989,,,,,,,,,
2012-07-12,5734632.02,4458811.27,1275820.75,0.2224764807141017,,,,,,,,,
2012-07-13,5309511.71,4143402.78,1166108.9300000002,0.2196263976221648,,,,,,,,,
2012-07-14,3820831.41,3075464.87,745366.54,0.19507967246322444,,,,,,,,,
2012-07-15,3948841.28,3154482.05,794359.23,0.20116261294756319,,,,,,,,,
2012-07-16,3503801.49,2708219.59,795581.9000000004,0.22706249262996928,,,,,,,,,
2012-07-17,4476729.49,3463061.65,1013667.8400000003,0.22643044263994613,,,,,,,,,
2012-07-18,5184141.46,4072012.16,1112129.2999999998,0.2145252610448635,,,,,,,,,
2012-07-19,6421487.11,5007270.91,1414216.2000000002,0.22023188332772345,,,,,,,,,
2012-07-20,5171470.46,4213989.64,957480.8200000003,0.1851467251734046,,,,,,,,,
2012-07-21,3442157.02,2746075.45,696081.5699999998,0.20222249187226207,,,,,,,,,
2012-07-22,3117550.57,2531656.38,585894.19,0.1879341415141824,,,,,,,,,
2012-07-23,4730517.69,3685006.66,1045511.0300000003,0.22101408313304505,,,,,,,,,
2012-07-24,4096496.12,3248450.65,848045.4700000002,0.20701727651093202,,,,,,,,,
2012-07-25,5246688.08,4140019.37,1106668.71,0.21092710165457368,,,,,,,,,
2012-07-26,5851965.06,4579171.74,1272793.3199999994,0.21749844829046186,,,,,,,,,
2012-07-27,5156699.45,3989402.2,1167297.25,0.2263651898502636,,,,,,,,,
2012-07-28,4326956.84,3403662.59,923294.25,0.2133818949763317,,,,,,,,,
2012-07-29,4804199.65,3819645.91,984553.7400000002,0.20493605839216114,,,,,,,,,
2012-07-30,6586130.95,5195109.56,1391021.3900000006,0.21120463600864184,,,,,,,,,
2012-07-31,9151622.14,7142891.18,2008730.960000001,0.21949452559019234,,,,,,,,,
2012-08-01,9148357.3,7308514.33,1839842.9700000007,0.20111184004586272,,,,,,,,,
2012-08-02,9692427.0,7537501.15,2154925.8499999996,0.22233088265715076,,,,,,,,,
2012-08-03,9297269.95,7118808.46,2178461.4899999993,0.23431195412369407,,,,,,,,,
2012-08-04,6384195.03,5087528.11,1296666.92,0.2031057813720957,,,,,,,,,
2012-08-05,2359224.19,1863413.11,495811.07999999984,0.21015852673162014,,,,,,,,,
2012-08-06,3630003.7,2922718.71,707284.9900000002,0.1948441512607825,,,,,,,,,
2012-08-07,2240253.44,1781265.84,458987.59999999986,0.20488199763683876,,,,,,,,,
2012-08-08,2617553.36,1997006.42,620546.94,0.23707136193777534,,,,,,,,,
2012-08-09,4478691.52,3621672.71,857018.8099999996,0.19135473076743623,,,,,,,,,
2012-08-10,3412496.65,2699279.56,713217.0899999999,0.209001550228628,,,,,,,,,
2012-08-11,2732604.35,2168668.05,563936.3000000003,0.20637319852030545,,,,,,,,,
2012-08-12,3388181.83,2654275.25,733906.5800000001,0.21660779049747753,,,,,,,,,
2012-08-13,3928170.01,3189564.96,738605.0499999998,0.18802777072268312,,,,,,,,,
2012-08-14,4033912.16,3258198.58,775713.5800000001,0.19229808415064745,,,,,,,,,
2012-08-15,3780293.26,2886923.59,893369.6699999999,0.23632284813797752,,,,,,,,,
2012-08-16,5249978.18,4222455.97,1027522.21,0.19571932963729005,,,,,,,,,
2012-08-17,4089284.05,3238908.92,850375.1299999999,0.2079520814896681,,,,,,,,,
2012-08-18,3450015.71,2808916.94,641098.77,0.18582488425828067,,,,,,,,,
2012-08-19,3904300.93,3006801.4,897499.5300000003,0.22987457834096825,,,,,,,,,
2012-08-20,3541027.32,2827038.81,713988.5099999998,0.2016331548664809,,,,,,,,,
2012-08-21,4147483.23,3364364.64,783118.5899999999,0.1888177833572578,,,,,,,,,
2012-08-22,4597682.81,3562468.33,1035214.4799999995,0.2251600475240265,,,,,,,,,
2012-08-23,5478869.55,4195738.04,1283131.5099999998,0.23419639732068448,,,,,,,,,
2012-08-24,4637850.57,3632210.67,1005639.9000000004,0.2168331827042889,,,,,,,,,
2012-08-25,3589566.28,2784342.75,805223.5299999998,0.2243233491707527,,,,,,,,,
2012-08-26,4280204.53,3476942.48,803262.0500000003,0.1876690808511434,,,,,,,,,
2012-08-27,3038895.84,2365260.68,673635.1599999997,0.22167102640806527,,,,,,,,,
2012-08-28,9508676.62,7439851.59,2068825.0299999993,0.21757234078699791,,,,,,,,,
2012-08-29,9260558.32,7336294.54,1924263.7800000003,0.20779133541486083,,,,,,,,,
2012-08-30,10086534.1,7950911.72,2135622.38,0.2117300510588667,,,,,,,,,
2012-08-31,9104678.52,7277460.12,1827218.3999999994,0.2006900513825061,,,,,,,,,
2012-09-01,8560208.92,6738335.17,1821873.75,0.2128305240008091,,,,,,,,,
