group_field,group_value,item_rows,quantity,products,revenue,estimated_profit,avg_margin,profit_margin_weighted
category,Streetwear,393533,1768826,877,12558477099.17,1165807511.5462785,0.05885944318885248,0.09283032507367694
category,Outdoor,259986,1170000,496,2353396796.86,267034092.02258372,0.08112658473506018,0.11346751741094901
category,Casual,23991,107469,114,440285193.75,33740765.234541334,0.03416022565887089,0.07663388574838109
category,GenZ,37159,166848,111,328710175.65,50836377.49873251,0.14951445555432788,0.154654103415592
color,green,82112,369657,165,2143332394.19,95379904.00325514,0.04664574203889182,0.04450075231532193
color,purple,94848,427531,167,2122265726.06,271875642.5424105,0.10119800542217325,0.1281063154363565
color,silver,70640,316862,163,1911293096.8,125849916.09300071,0.03423345964842391,0.06584543014554183
color,yellow,73666,331528,164,1701695313.64,142434518.01558027,0.06894499745947666,0.08370153979616166
color,white,79680,358371,149,1548733733.72,150837257.6840931,0.05511176401559673,0.09739392537268991
color,black,67118,301748,154,1469918425.6,32320518.841467008,0.016869205870541613,0.021987967684855864
color,blue,63181,282407,165,1249153538.47,219689796.29964492,0.13420358937057136,0.17587093142187105
color,red,58140,261421,165,1200982507.43,146068443.37484428,0.10013204354560465,0.12162412230917356
color,orange,74392,334917,165,1194676943.24,87489606.72264604,0.02424640122217951,0.07323285781792321
color,pink,50892,228701,141,1138817586.28,245473142.72519416,0.15869749261639113,0.2155508886432317
segment,Everyday,182533,819449,319,5147454916.61,532174759.31949043,0.06770010579217656,0.10338599714632742
segment,Balanced,103333,464217,201,4900317965.89,431236060.6605688,0.0574717237405314,0.08800164880367049
segment,Performance,96730,435685,244,2285029332.18,173693836.65654963,0.040308801763574535,0.07601383238736786
segment,Activewear,230375,1036857,430,1930704974.66,246339549.18691477,0.08800817292399842,0.1275904669123751
segment,Premium,31032,139465,89,454211900.54,26586226.136367206,0.034021137124931475,0.05853264985959103
segment,All-weather,22570,101147,91,408765115.41,27849081.933843087,0.02572828835109978,0.0681297911293381
segment,Trendy,37159,166848,111,328710175.65,50836377.49873251,0.14951445555432788,0.154654103415592
segment,Standard,10937,49475,113,225674884.49,28702854.90966967,0.08849170906139019,0.12718674909055525
size,XL,193025,867187,410,4964112682.0,385421125.44866747,0.05299530801579749,0.07764149408739539
size,L,173174,778599,393,3648953758.41,334663498.5626099,0.04753978121953407,0.09171491904803876
size,S,172042,774468,392,3577589406.45,390584855.9474228,0.09120258157800915,0.10917542836057187
size,M,176428,792889,403,3490213418.57,406749266.34343594,0.09339508014934438,0.11653994113348176
