selected_order,feature,feature_set
1,Gross_Profit_rolling_7d_mean,selected_features_21
2,Gross_Margin_rolling_7d_mean,selected_features_21
3,Revenue_rolling_28d_mean,selected_features_21
4,Revenue_lag_1d,selected_features_21
5,Revenue_pct_change_7d,selected_features_21
6,page_views_lag_14d,selected_features_21
7,cos_month,selected_features_21
8,Gross_Profit_rolling_28d_mean,selected_features_21
9,year,selected_features_21
10,is_month_start,selected_features_21
11,Revenue_rolling_7d_mean,selected_features_21
12,Gross_Margin_rolling_28d_mean,selected_features_21
13,Gross_Margin_lag_7d,selected_features_21
14,Gross_Margin_lag_1d,selected_features_21
15,Gross_Profit_lag_1d,selected_features_21
16,Revenue_diff_1d,selected_features_21
17,is_month_end,selected_features_21
18,day_of_month,selected_features_21
19,Gross_Profit_lag_7d,selected_features_21
20,Revenue_lag_28d,selected_features_21
21,quarter,selected_features_21
