Date,Revenue,COGS,Gross_Profit_rolling_7d_mean,Gross_Margin_rolling_7d_mean,Revenue_rolling_28d_mean,Revenue_lag_1d,Revenue_pct_change_7d,page_views_lag_14d,cos_month,Gross_Profit_rolling_28d_mean,year,is_month_start,Revenue_rolling_7d_mean,Gross_Margin_rolling_28d_mean,Gross_Margin_lag_7d,Gross_Margin_lag_1d,Gross_Profit_lag_1d,Revenue_diff_1d,is_month_end,day_of_month,Gross_Profit_lag_7d,Revenue_lag_28d,quarter
2013-01-15,2536405.93,2094291.34,556267.6371428572,0.2106818607023928,3735878.702142857,3077677.28,0.2563484313726818,39093.0,0.8660254037844387,774415.2192857143,2013,0,2635545.4657142856,0.2063818129360125,0.1945210426995804,0.1950127500047697,600186.3099999996,157957.65999999968,0,15,476518.28,4394537.67,1
2013-01-16,1849789.43,1445623.48,551352.8242857142,0.207794212497585,3669516.854285714,2536405.93,0.2374427975548024,47611.0,0.8660254037844387,757318.3321428571,2013,0,2647931.967142857,0.2051235420066745,0.1926653535414691,0.1743075052659256,442114.5900000001,-541271.3499999996,0,16,394909.2,3785472.73,1
2013-01-17,2173214.95,1763012.0,552675.2171428571,0.2114838691778033,3600385.307857143,1849789.43,-0.3380207550610334,36963.0,0.8660254037844387,743856.7874999999,2013,0,2619371.071428572,0.2055576254125085,0.2405507004526944,0.2184929503029974,404165.95,-686616.5000000002,0,17,672178.3900000001,3905985.95,1
2013-01-18,2099249.56,1615535.57,515250.1542857143,0.2040843362904449,3538500.6292857146,2173214.95,-0.0724953904101965,53078.0,0.8660254037844387,730881.9185714285,2013,0,2530640.141428572,0.205226367141824,0.2293501505338759,0.1887539702411858,410202.9500000002,323425.52000000025,0,18,537385.1200000001,3966203.09,1
2013-01-19,2477132.79,2033637.15,507582.85,0.2042375058154515,3471823.7175000003,2099249.56,-0.2541561329928875,36790.0,0.8660254037844387,719880.3210714285,2013,0,2495807.6142857145,0.2063262231634524,0.2034811930930647,0.2304223372089214,483713.99,-73965.39000000013,0,19,572717.46,3225123.87,1
2013-01-20,2522776.58,2018671.04,489122.59,0.2007453177154718,3445109.750357143,2477132.79,-0.1515853875037494,47160.0,0.8660254037844387,711947.7607142858,2013,0,2447598.5085714287,0.2053495779353167,0.2191918345912955,0.179035876393207,443495.6400000001,377883.23,0,20,639978.7000000002,2151580.15,1
2013-01-21,4100379.42,3250868.59,469712.1385714285,0.1979781576165805,3458366.7657142854,2522776.58,-0.180298533444676,32749.0,0.8660254037844387,716351.5449999999,2013,0,2390892.36,0.2061651388875145,0.1950127500047697,0.1998217138990564,504105.54,45643.79000000004,0,21,600186.3099999996,3297376.6,1
2013-01-22,3538734.12,2801650.02,505329.9271428572,0.1997161348737066,3487045.437857143,4100379.42,0.6166100904834265,31482.0,0.8660254037844387,721754.1542857141,2013,0,2536992.665714286,0.2060016763351959,0.1743075052659256,0.2071785908046529,849510.8300000001,1577602.84,0,22,442114.5900000001,4917024.98,1
2013-01-23,2836455.88,2322088.98,547468.4285714288,0.2045708242168224,3437820.7642857144,3538734.12,0.9130470001658514,46717.0,0.8660254037844387,710200.7975,2013,0,2680182.4071428576,0.2057372210485542,0.2184929503029974,0.208290330667736,737084.1000000001,-561645.2999999998,0,23,404165.95,3285221.25,1
2013-01-24,2522924.71,2102458.71,563211.4214285715,0.1992634608791287,3421793.429642857,2836455.88,0.3051888309529619,38472.0,0.8660254037844387,706192.9082142856,2013,0,2821134.757142857,0.2054019407772197,0.1887539702411858,0.1813414069391412,514366.8999999999,-702278.2400000002,0,24,410202.9500000002,4994041.71,1
