month,model_name,row_count,mae,rmse,wape,mean_error
2020-11,lightgbm,6,335612.8161578614,448508.5839033679,0.21745525026101628,-276792.7009988231
2020-12,lightgbm,31,353085.076083433,404806.42620955536,0.25063534285679706,-148618.78295776265
2021-01,lightgbm,31,290520.7923758784,362236.7734793966,0.19379265951733946,-90324.9036530447
2021-02,lightgbm,28,506577.09402072744,777822.4248265759,0.21465898206326242,107269.81942354722
2021-03,lightgbm,31,615834.3203168471,978255.376322379,0.16853702361019998,163923.36296081965
2021-04,lightgbm,30,698092.1742050465,979879.2188085082,0.15531925728774937,50379.335723542004
2021-05,lightgbm,31,559259.9726738851,712782.2173319942,0.12117826902737566,25131.784216187752
2021-06,lightgbm,30,706087.433613434,915791.7161544613,0.16491002637117627,-193973.08005771146
2021-07,lightgbm,31,466954.67567720386,586250.1994599579,0.14332059045020085,43488.032260652675
2021-08,lightgbm,31,445001.6196149093,650936.1935044171,0.2020363911752516,-159628.65161099346
2021-09,lightgbm,30,550697.5344570422,772529.3587276278,0.22074448956456452,-81805.89586125904
2021-10,lightgbm,31,348750.56194980553,454188.41855977435,0.1645747581432275,42321.56888078577
2021-11,lightgbm,30,452641.22460437304,546888.9849794535,0.2681603408327351,28157.75574538826
2021-12,lightgbm,12,326026.6062544284,413851.2361754369,0.2888405997406329,-143308.2644373793
2020-11,yesterday_baseline,6,342978.2783333334,490537.15325752244,0.22222759012273938,23588.515000000032
2020-12,yesterday_baseline,31,329960.7158064517,520973.54509002226,0.23422065314333038,25082.766129032258
2021-01,yesterday_baseline,31,341021.38548387104,453719.96282959037,0.22747921312187072,-17635.05967741936
2021-02,yesterday_baseline,28,684565.2632142857,956178.9465040126,0.2900803930772189,26493.490357142855
2021-03,yesterday_baseline,31,886632.7774193549,1466918.9306276005,0.24264716078931906,221655.63483870967
2021-04,yesterday_baseline,30,1017929.1446666667,1599148.1413677714,0.2264801190490666,-75272.36999999998
2021-05,yesterday_baseline,31,965035.6229032261,1294532.1703756659,0.20910015385878306,33361.95387096775
2021-06,yesterday_baseline,30,716677.9783333333,1026710.9629500012,0.16738349768067967,-96715.137
2021-07,yesterday_baseline,31,656339.0793548387,884904.5845508765,0.20144761213121085,5208.602580645152
2021-08,yesterday_baseline,31,499714.8370967743,806108.9990517644,0.22687688730465563,-42433.06548387093
2021-09,yesterday_baseline,30,687085.3039999998,938340.2029464571,0.2754148788196995,-14561.017333333342
2021-10,yesterday_baseline,31,449216.6396774194,591448.861569264,0.211984518148146,-15401.284193548396
2021-11,yesterday_baseline,30,475843.6276666666,637678.3383160074,0.2819062481321893,-1291.2263333333347
2021-12,yesterday_baseline,12,384136.48750000005,548477.5491152639,0.3403225727693292,-141907.18083333332
