Date,Revenue,lightgbm,yesterday_baseline,model_error,model_abs_error,baseline_error,baseline_abs_error,model_better_than_baseline,month,weekday
2020-11-25,1016787.85,1848601.0129198804,1234768.03,-831813.1629198805,831813.1629198805,-217980.18000000005,217980.18000000005,False,2020-11,Wednesday
2020-11-26,1003033.14,1666183.4478736487,1016787.85,-663150.3078736487,663150.3078736487,-13754.709999999963,13754.709999999963,False,2020-11,Thursday
2020-11-27,2064673.72,1888213.374522885,1003033.14,176460.3454771149,176460.3454771149,1061640.58,1061640.58,True,2020-11,Friday
2020-11-28,2102733.52,2160379.8120854874,2064673.72,-57646.292085487396,57646.292085487396,38059.80000000005,38059.80000000005,False,2020-11,Saturday
2020-11-29,1696662.48,1851543.0281304712,2102733.52,-154880.54813047126,154880.54813047126,-406071.04000000004,406071.04000000004,True,2020-11,Sunday
2020-11-30,1376299.12,1506025.3604605657,1696662.48,-129726.24046056555,129726.24046056555,-320363.35999999987,320363.35999999987,True,2020-11,Monday
2020-12-01,1160032.88,1046006.2218816732,1376299.12,114026.65811832668,114026.65811832668,-216266.24000000022,216266.24000000022,True,2020-12,Tuesday
2020-12-02,370653.23,938571.7187056916,1160032.88,-567918.4887056916,567918.4887056916,-789379.6499999999,789379.6499999999,True,2020-12,Wednesday
2020-12-03,528608.48,1037253.3381603578,370653.23,-508644.8581603578,508644.8581603578,157955.25,157955.25,False,2020-12,Thursday
2020-12-04,645703.05,841610.8353629117,528608.48,-195907.78536291164,195907.78536291164,117094.57000000007,117094.57000000007,False,2020-12,Friday
2020-12-05,653591.96,951284.9470450676,645703.05,-297692.9870450676,297692.9870450676,7888.909999999916,7888.909999999916,False,2020-12,Saturday
2020-12-06,755648.75,1143479.0794231058,653591.96,-387830.3294231058,387830.3294231058,102056.79000000004,102056.79000000004,False,2020-12,Sunday
2020-12-07,832522.38,1083584.4452956896,755648.75,-251062.06529568962,251062.06529568962,76873.63,76873.63,False,2020-12,Monday
2020-12-08,1297656.34,968274.9590912644,832522.38,329381.3809087357,329381.3809087357,465133.9600000001,465133.9600000001,True,2020-12,Tuesday
2020-12-09,1154833.63,1047707.795648168,1297656.34,107125.83435183193,107125.83435183193,-142822.7100000002,142822.7100000002,True,2020-12,Wednesday
2020-12-10,696601.42,1227255.287933511,1154833.63,-530653.8679335109,530653.8679335109,-458232.20999999985,458232.20999999985,False,2020-12,Thursday
2020-12-11,708701.4,1304670.5349111469,696601.42,-595969.1349111468,595969.1349111468,12099.979999999981,12099.979999999981,False,2020-12,Friday
2020-12-12,1122552.93,1449180.9550551835,708701.4,-326628.02505518356,326628.02505518356,413851.5299999999,413851.5299999999,True,2020-12,Saturday
2020-12-13,937152.62,1314937.944800289,1122552.93,-377785.3248002891,377785.3248002891,-185400.30999999994,185400.30999999994,False,2020-12,Sunday
2020-12-14,1601200.69,1363705.8330070334,937152.62,237494.8569929665,237494.8569929665,664048.07,664048.07,True,2020-12,Monday
2020-12-15,1355809.66,1529571.0673404303,1601200.69,-173761.40734043042,173761.40734043042,-245391.03000000003,245391.03000000003,True,2020-12,Tuesday
2020-12-16,1368150.26,1512239.0293084397,1355809.66,-144088.7693084397,144088.7693084397,12340.600000000093,12340.600000000093,False,2020-12,Wednesday
2020-12-17,1104685.57,1192064.6897555038,1368150.26,-87379.11975550372,87379.11975550372,-263464.68999999994,263464.68999999994,True,2020-12,Thursday
2020-12-18,1251306.12,1320782.5095825037,1104685.57,-69476.38958250359,69476.38958250359,146620.55000000005,146620.55000000005,True,2020-12,Friday
2020-12-19,1648432.09,1421067.6410288203,1251306.12,227364.44897117978,227364.44897117978,397125.97,397125.97,True,2020-12,Saturday
2020-12-20,1777867.4,1373176.0272252078,1648432.09,404691.37277479214,404691.37277479214,129435.30999999982,129435.30999999982,False,2020-12,Sunday
2020-12-21,2040125.86,1880597.1901931595,1777867.4,159528.6698068406,159528.6698068406,262258.4600000002,262258.4600000002,True,2020-12,Monday
2020-12-22,2050706.5,1659411.1676096886,2040125.86,391295.3323903114,391295.3323903114,10580.639999999898,10580.639999999898,False,2020-12,Tuesday
2020-12-23,1964805.24,1589119.3514033498,2050706.5,375685.8885966502,375685.8885966502,-85901.26000000001,85901.26000000001,False,2020-12,Wednesday
2020-12-24,1223063.47,1334277.3754378946,1964805.24,-111213.90543789463,111213.90543789463,-741741.77,741741.77,True,2020-12,Thursday
2020-12-25,1200258.49,1614491.5817475468,1223063.47,-414233.0917475468,414233.0917475468,-22804.97999999998,22804.97999999998,False,2020-12,Friday
2020-12-26,1099988.0,1703175.5483971722,1200258.49,-603187.5483971722,603187.5483971722,-100270.48999999999,100270.48999999999,False,2020-12,Saturday
2020-12-27,1517374.4,2035394.664980617,1099988.0,-518020.264980617,518020.264980617,417386.3999999999,417386.3999999999,False,2020-12,Sunday
2020-12-28,3627797.75,2805164.6494637453,1517374.4,822633.1005362547,822633.1005362547,2110423.35,2110423.35,True,2020-12,Monday
