Date,Revenue,lightgbm,yesterday_baseline,model_error,model_abs_error,baseline_error,baseline_abs_error,model_better_than_baseline,month,weekday
2021-03-30,10795905.35,6388218.26169072,4090090.6,4407687.08830928,4407687.08830928,6705814.75,6705814.75,True,2021-03,Tuesday
2021-06-30,5094915.79,7958328.418739315,5907160.01,-2863412.628739315,2863412.628739315,-812244.2199999997,812244.2199999997,False,2021-06,Wednesday
2021-02-25,5675843.97,3152149.368082158,2880648.13,2523694.601917842,2523694.601917842,2795195.84,2795195.84,True,2021-02,Thursday
2021-04-29,9535515.05,7019607.881412418,5606431.49,2515907.168587583,2515907.168587583,3929083.5600000005,3929083.5600000005,True,2021-04,Thursday
2021-04-04,1720555.46,3894855.5490335966,7594752.42,-2174300.0890335967,2174300.0890335967,-5874196.96,5874196.96,True,2021-04,Sunday
2021-04-03,7594752.42,5450703.912094769,7866035.23,2144048.507905231,2144048.507905231,-271282.8100000005,271282.8100000005,False,2021-04,Saturday
2021-02-23,4952064.84,2871087.7796612955,3295922.4,2080977.0603387044,2080977.0603387044,1656142.44,1656142.44,False,2021-02,Tuesday
2021-04-23,2503702.41,4536637.791420962,4635126.49,-2032935.3814209616,2032935.3814209616,-2131424.08,2131424.08,True,2021-04,Friday
2021-08-02,4399616.65,2503060.8058439414,3652376.75,1896555.844156059,1896555.844156059,747239.9000000004,747239.9000000004,False,2021-08,Monday
2021-09-09,2187074.96,4008499.228794783,3716975.63,-1821424.268794783,1821424.268794783,-1529900.67,1529900.67,False,2021-09,Thursday
2021-05-27,7320510.07,5533726.296816926,4915453.17,1786783.7731830738,1786783.7731830738,2405056.9000000004,2405056.9000000004,True,2021-05,Thursday
2021-06-25,3255836.16,4963162.1373505015,5015283.26,-1707325.9773505013,1707325.9773505013,-1759447.0999999996,1759447.0999999996,True,2021-06,Friday
2021-09-08,3716975.63,2086968.3537965228,2244132.38,1630007.276203477,1630007.276203477,1472843.25,1472843.25,False,2021-09,Wednesday
2021-07-04,730601.15,2292928.455213804,3132513.38,-1562327.305213804,1562327.305213804,-2401912.23,2401912.23,True,2021-07,Sunday
2021-09-02,3917618.96,2376444.4625513856,3579634.39,1541174.4974486143,1541174.4974486143,337984.56999999983,337984.56999999983,False,2021-09,Thursday
2021-09-29,3184253.74,4623041.326225231,4749132.81,-1438787.5862252312,1438787.5862252312,-1564879.0699999994,1564879.0699999994,True,2021-09,Wednesday
2021-02-24,2880648.13,4296751.441066059,4952064.84,-1416103.3110660594,1416103.3110660594,-2071416.71,2071416.71,True,2021-02,Wednesday
2021-09-03,1070973.42,2474702.2892835606,3917618.96,-1403728.8692835607,1403728.8692835607,-2846645.54,2846645.54,True,2021-09,Friday
2021-05-29,4630943.52,6014940.397201025,6925957.27,-1383996.8772010254,1383996.8772010254,-2295013.75,2295013.75,True,2021-05,Saturday
2021-08-29,4443078.33,3067530.103942046,1664938.51,1375548.2260579541,1375548.2260579541,2778139.8200000003,2778139.8200000003,True,2021-08,Sunday
