feature,importance,importance_share,rank,cumulative_importance_share
day_of_month,914,0.10155555555555555,1,0.10155555555555555
Revenue_pct_change_7d,800,0.08888888888888889,2,0.19044444444444444
Revenue_lag_1d,712,0.0791111111111111,3,0.26955555555555555
Revenue_lag_28d,687,0.07633333333333334,4,0.3458888888888889
Revenue_diff_1d,620,0.06888888888888889,5,0.4147777777777778
Gross_Profit_lag_1d,502,0.05577777777777778,6,0.47055555555555556
page_views_lag_14d,486,0.054,7,0.5245555555555556
Revenue_rolling_28d_mean,478,0.05311111111111111,8,0.5776666666666667
Gross_Margin_rolling_28d_mean,461,0.051222222222222225,9,0.6288888888888888
Gross_Margin_lag_7d,453,0.050333333333333334,10,0.6792222222222222
Revenue_rolling_7d_mean,446,0.049555555555555554,11,0.7287777777777777
Gross_Profit_rolling_28d_mean,428,0.04755555555555555,12,0.7763333333333333
Gross_Profit_lag_7d,416,0.04622222222222222,13,0.8225555555555555
Gross_Margin_lag_1d,398,0.044222222222222225,14,0.8667777777777778
Gross_Profit_rolling_7d_mean,362,0.04022222222222222,15,0.907
Gross_Margin_rolling_7d_mean,322,0.035777777777777776,16,0.9427777777777778
year,153,0.017,17,0.9597777777777778
cos_month,149,0.016555555555555556,18,0.9763333333333334
quarter,92,0.010222222222222223,19,0.9865555555555556
is_month_start,75,0.008333333333333333,20,0.9948888888888889
is_month_end,46,0.005111111111111111,21,1.0
