Date,Revenue,model_error,model_abs_error,day_of_month,Revenue_pct_change_7d,Revenue_lag_1d,Revenue_lag_28d,Revenue_diff_1d,Gross_Profit_lag_1d,page_views_lag_14d,Revenue_rolling_28d_mean
2021-03-30,10795905.35,4407687.08830928,4407687.08830928,30,-0.0313857435298078,4090090.6,679248.37,561160.71,354866.66000000015,159810.0,3261268.577857143
2021-06-30,5094915.79,-2863412.628739315,2863412.628739315,30,0.1515303874614084,5907160.01,6960798.21,1651616.0499999998,-4591.100000000559,229232.0,4138397.836785714
2021-02-25,5675843.97,2523694.601917842,2523694.601917842,25,0.6658842801016343,2880648.13,2405871.45,-2071416.71,503152.6299999999,120219.0,2122296.324642857
2021-04-29,9535515.05,2515907.168587583,2515907.168587583,29,0.209553073059717,5606431.49,9027075.84,302888.6200000001,1270948.5,162617.0,4226400.826785714
2021-04-04,1720555.46,-2174300.0890335967,2174300.0890335967,4,1.1521403532332573,7594752.42,2475099.15,-271282.8100000005,530602.71,124002.0,4596259.938214286
2021-04-03,7594752.42,2144048.507905231,2144048.507905231,3,1.1772835924670724,7866035.23,1702498.76,-1161040.6099999994,637404.3400000008,126393.0,4385822.3075
2021-02-23,4952064.84,2080977.0603387044,2080977.0603387044,23,0.7579485801694816,3295922.4,2993616.58,621985.0299999998,615393.4699999997,108739.0,2030126.88
2021-04-23,2503702.41,-2032935.3814209616,2032935.3814209616,23,0.2409176117658503,4635126.49,4034615.27,-609778.9500000002,943496.4400000004,193914.0,4534923.370357143
2021-08-02,4399616.65,1896555.844156059,1896555.844156059,2,-0.0066836900764196,3652376.75,1878817.85,-1604005.7199999995,-457596.3300000001,167299.0,3264890.988928572
2021-09-09,2187074.96,-1821424.268794783,1821424.268794783,9,-0.0512156317519966,3716975.63,2480973.68,1472843.25,279381.9099999997,172425.0,2356484.1435714285
2021-05-27,7320510.07,1786783.7731830738,1786783.7731830738,27,-0.0281435887783373,4915453.17,9535515.05,1092993.69,858520.1999999997,145415.0,4421665.8175
2021-06-25,3255836.16,-1707325.977350501,1707325.977350501,25,0.1617893412249068,5015283.26,6925957.27,-114550.98000000045,523358.8399999999,164717.0,4687028.223571428
2021-09-08,3716975.63,1630007.276203477,1630007.276203477,8,-0.3730833555881667,2244132.38,1740229.21,146697.7999999998,257393.66999999995,212858.0,2285886.057142857
2021-07-04,730601.15,-1562327.305213804,1562327.305213804,4,-0.2045854451499562,3132513.38,3795966.84,-1265436.2999999998,31370.009999999776,218671.0,4097818.2507142858
2021-09-02,3917618.96,1541174.4974486143,1541174.4974486143,2,0.8974308589855612,3579634.39,1482037.52,-361323.0499999998,-1003473.9199999996,156110.0,2150983.8292857143
2021-09-29,3184253.74,-1438787.5862252312,1438787.5862252312,29,0.885386075736949,4749132.81,3579634.39,1690448.6699999997,462045.3799999999,90013.0,2434052.4857142856
2021-02-24,2880648.13,-1416103.3110660594,1416103.3110660594,24,1.0057818497046431,4952064.84,2258351.94,1656142.44,1065896.21,98582.0,2100071.4607142857
2021-09-03,1070973.42,-1403728.869283561,1403728.869283561,3,1.356132645416016,3917618.96,1591502.8,337984.56999999983,-804722.9400000004,123466.0,2237968.8807142857
2021-05-29,4630943.52,-1383996.8772010254,1383996.8772010254,29,0.6067495641345932,6925957.27,6555221.49,-394552.8000000008,1364369.6499999994,163408.0,4341265.923214286
2021-08-29,4443078.33,1375548.226057954,1375548.226057954,29,0.0150404927409212,1664938.51,3652376.75,2205.7399999999907,-788319.1399999999,146883.0,1996422.383928572
