feature,importance,importance_share,rank,source_table,family,type,leakage_risk,stable_flag,handoff_note,max_abs_spearman,missing_pct,review_note
day_of_month,914,0.10155555555555555,1,Date,day_of_month,calendar,low known-now,PASS,Được chọn vào dataset modeling cuối.,0.3036977129470155,0.0,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Revenue_pct_change_7d,800,0.08888888888888889,2,sales,Revenue,change,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.2574655916286914,0.18,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Revenue_lag_1d,712,0.0791111111111111,3,sales,Revenue,lag,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.8622500769208891,0.03,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Revenue_lag_28d,687,0.07633333333333334,4,sales,Revenue,lag,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.6404256800762349,0.73,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Revenue_diff_1d,620,0.06888888888888889,5,sales,Revenue,diff,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.1998476313621875,0.05,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Gross_Profit_lag_1d,502,0.05577777777777778,6,sales,Gross_Profit,lag,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.6369370972268235,0.03,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
page_views_lag_14d,486,0.054,7,web_traffic,page_views,lag,low if lagged,PASS,Được chọn vào dataset modeling cuối.,0.3393343776724024,5.09,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Revenue_rolling_28d_mean,478,0.05311111111111111,8,sales,Revenue,rolling,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.7048151450061755,0.03,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Gross_Margin_rolling_28d_mean,461,0.051222222222222225,9,sales,Gross_Margin,rolling,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.221440430510981,0.03,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
Gross_Margin_lag_7d,453,0.050333333333333334,10,sales,Gross_Margin,lag,low if shifted,PASS,Được chọn vào dataset modeling cuối.,0.2150645223575943,0.18,"Rủi ro leakage thấp theo metadata, vẫn cần đảm bảo lag/rolling dùng quá khứ."
