Date,Revenue,phase5_best_prediction,phase9_best_prediction,phase5_error,phase9_error,phase5_abs_error,phase9_abs_error,phase9_better_than_phase5,month,weekday,revenue_group
2020-11-25,1016787.85,1848601.0129198804,1848601.0129198804,-831813.1629198805,-831813.1629198805,831813.1629198805,831813.1629198805,False,2020-11,Wednesday,low_revenue
2020-11-26,1003033.14,1666183.4478736487,1666183.4478736487,-663150.3078736487,-663150.3078736487,663150.3078736487,663150.3078736487,False,2020-11,Thursday,low_revenue
2020-11-27,2064673.72,1888213.374522885,1888213.374522885,176460.3454771149,176460.3454771149,176460.3454771149,176460.3454771149,False,2020-11,Friday,mid_revenue
2020-11-28,2102733.52,2160379.8120854874,2160379.8120854874,-57646.292085487396,-57646.292085487396,57646.292085487396,57646.292085487396,False,2020-11,Saturday,mid_revenue
2020-11-29,1696662.48,1851543.0281304712,1851543.0281304712,-154880.54813047126,-154880.54813047126,154880.54813047126,154880.54813047126,False,2020-11,Sunday,low_revenue
2020-11-30,1376299.12,1506025.3604605657,1506025.3604605657,-129726.24046056555,-129726.24046056555,129726.24046056555,129726.24046056555,False,2020-11,Monday,low_revenue
2020-12-01,1160032.88,1046006.2218816732,1046006.2218816732,114026.65811832668,114026.65811832668,114026.65811832668,114026.65811832668,False,2020-12,Tuesday,low_revenue
2020-12-02,370653.23,938571.7187056916,938571.7187056915,-567918.4887056916,-567918.4887056915,567918.4887056916,567918.4887056915,True,2020-12,Wednesday,low_revenue
2020-12-03,528608.48,1037253.3381603578,1037253.3381603578,-508644.8581603578,-508644.8581603578,508644.8581603578,508644.8581603578,False,2020-12,Thursday,low_revenue
2020-12-04,645703.05,841610.8353629117,841610.8353629117,-195907.78536291164,-195907.78536291164,195907.78536291164,195907.78536291164,False,2020-12,Friday,low_revenue
2020-12-05,653591.96,951284.9470450676,951284.9470450676,-297692.9870450676,-297692.9870450676,297692.9870450676,297692.9870450676,False,2020-12,Saturday,low_revenue
2020-12-06,755648.75,1143479.0794231058,1143479.0794231058,-387830.3294231058,-387830.3294231058,387830.3294231058,387830.3294231058,False,2020-12,Sunday,low_revenue
2020-12-07,832522.38,1083584.4452956896,1083584.4452956896,-251062.06529568962,-251062.06529568962,251062.06529568962,251062.06529568962,False,2020-12,Monday,low_revenue
2020-12-08,1297656.34,968274.9590912644,968274.9590912644,329381.3809087357,329381.3809087357,329381.3809087357,329381.3809087357,False,2020-12,Tuesday,low_revenue
2020-12-09,1154833.63,1047707.795648168,1047707.7956481681,107125.83435183193,107125.83435183181,107125.83435183193,107125.83435183181,True,2020-12,Wednesday,low_revenue
2020-12-10,696601.42,1227255.287933511,1227255.287933511,-530653.8679335109,-530653.8679335109,530653.8679335109,530653.8679335109,False,2020-12,Thursday,low_revenue
2020-12-11,708701.4,1304670.5349111469,1304670.5349111469,-595969.1349111468,-595969.1349111468,595969.1349111468,595969.1349111468,False,2020-12,Friday,low_revenue
2020-12-12,1122552.93,1449180.9550551835,1449180.9550551835,-326628.02505518356,-326628.02505518356,326628.02505518356,326628.02505518356,False,2020-12,Saturday,low_revenue
2020-12-13,937152.62,1314937.944800289,1314937.9448002893,-377785.3248002891,-377785.32480028935,377785.3248002891,377785.32480028935,False,2020-12,Sunday,low_revenue
2020-12-14,1601200.69,1363705.8330070334,1363705.8330070334,237494.8569929665,237494.8569929665,237494.8569929665,237494.8569929665,False,2020-12,Monday,low_revenue
2020-12-15,1355809.66,1529571.0673404303,1529571.0673404303,-173761.40734043042,-173761.40734043042,173761.40734043042,173761.40734043042,False,2020-12,Tuesday,low_revenue
2020-12-16,1368150.26,1512239.0293084397,1512239.0293084397,-144088.7693084397,-144088.7693084397,144088.7693084397,144088.7693084397,False,2020-12,Wednesday,low_revenue
2020-12-17,1104685.57,1192064.6897555038,1192064.6897555038,-87379.11975550372,-87379.11975550372,87379.11975550372,87379.11975550372,False,2020-12,Thursday,low_revenue
2020-12-18,1251306.12,1320782.5095825037,1320782.5095825037,-69476.38958250359,-69476.38958250359,69476.38958250359,69476.38958250359,False,2020-12,Friday,low_revenue
2020-12-19,1648432.09,1421067.6410288203,1421067.6410288203,227364.44897117978,227364.44897117978,227364.44897117978,227364.44897117978,False,2020-12,Saturday,low_revenue
2020-12-20,1777867.4,1373176.0272252078,1373176.0272252078,404691.37277479214,404691.37277479214,404691.37277479214,404691.37277479214,False,2020-12,Sunday,low_revenue
2020-12-21,2040125.86,1880597.1901931595,1880597.1901931595,159528.6698068406,159528.6698068406,159528.6698068406,159528.6698068406,False,2020-12,Monday,mid_revenue
2020-12-22,2050706.5,1659411.1676096886,1659411.1676096886,391295.3323903114,391295.3323903114,391295.3323903114,391295.3323903114,False,2020-12,Tuesday,mid_revenue
2020-12-23,1964805.24,1589119.3514033498,1589119.3514033498,375685.8885966502,375685.8885966502,375685.8885966502,375685.8885966502,False,2020-12,Wednesday,mid_revenue
2020-12-24,1223063.47,1334277.3754378946,1334277.3754378946,-111213.90543789463,-111213.90543789463,111213.90543789463,111213.90543789463,False,2020-12,Thursday,low_revenue
2020-12-25,1200258.49,1614491.5817475468,1614491.5817475468,-414233.0917475468,-414233.0917475468,414233.0917475468,414233.0917475468,False,2020-12,Friday,low_revenue
2020-12-26,1099988.0,1703175.5483971722,1703175.5483971722,-603187.5483971722,-603187.5483971722,603187.5483971722,603187.5483971722,False,2020-12,Saturday,low_revenue
2020-12-27,1517374.4,2035394.664980617,2035394.6649806171,-518020.264980617,-518020.2649806172,518020.264980617,518020.2649806172,False,2020-12,Sunday,low_revenue
2020-12-28,3627797.75,2805164.6494637453,2805164.6494637453,822633.1005362547,822633.1005362547,822633.1005362547,822633.1005362547,False,2020-12,Monday,high_revenue
2020-12-29,2940732.69,3686751.706071661,3686751.7060716613,-746019.0160716609,-746019.0160716614,746019.0160716609,746019.0160716614,False,2020-12,Tuesday,mid_revenue
2020-12-30,2881135.64,3146572.5299450727,3146572.5299450727,-265436.8899450726,-265436.8899450726,265436.8899450726,265436.8899450726,False,2020-12,Wednesday,mid_revenue
2020-12-31,2153864.87,2757365.4158787355,2757365.4158787355,-603500.5458787354,-603500.5458787354,603500.5458787354,603500.5458787354,False,2020-12,Thursday,mid_revenue
2021-01-01,1553431.51,1305922.3000410988,1305922.3000410988,247509.20995890116,247509.20995890116,247509.20995890116,247509.20995890116,False,2021-01,Friday,low_revenue
2021-01-02,378420.41,632878.9319855858,632878.9319855858,-254458.52198558586,-254458.52198558586,254458.52198558586,254458.52198558586,False,2021-01,Saturday,low_revenue
2021-01-03,677894.56,985185.6133669084,985185.6133669083,-307291.05336690834,-307291.0533669082,307291.05336690834,307291.0533669082,True,2021-01,Sunday,low_revenue
2021-01-04,819877.04,995713.5456495564,995713.5456495563,-175836.5056495564,-175836.5056495563,175836.5056495564,175836.5056495563,True,2021-01,Monday,low_revenue
2021-01-05,1174326.91,1227997.203242769,1227997.203242769,-53670.29324276908,-53670.29324276908,53670.29324276908,53670.29324276908,False,2021-01,Tuesday,low_revenue
2021-01-06,1114251.05,1193114.5999007225,1193114.5999007223,-78863.54990072246,-78863.54990072222,78863.54990072246,78863.54990072222,True,2021-01,Wednesday,low_revenue
2021-01-07,837846.02,1051816.5465895208,1051816.5465895208,-213970.52658952074,-213970.52658952074,213970.52658952074,213970.52658952074,False,2021-01,Thursday,low_revenue
2021-01-08,1023293.14,1044500.6968964188,1044500.6968964188,-21207.5568964188,-21207.5568964188,21207.5568964188,21207.5568964188,False,2021-01,Friday,low_revenue
2021-01-09,853729.27,932097.6218968416,932097.6218968416,-78368.35189684154,-78368.35189684154,78368.35189684154,78368.35189684154,False,2021-01,Saturday,low_revenue
2021-01-10,1180728.66,1150722.7684390226,1150722.7684390226,30005.891560977325,30005.891560977325,30005.891560977325,30005.891560977325,False,2021-01,Sunday,low_revenue
2021-01-11,1515387.6,1552328.018018097,1552328.018018097,-36940.418018096825,-36940.418018096825,36940.418018096825,36940.418018096825,False,2021-01,Monday,low_revenue
2021-01-12,1062807.64,1409091.8612286595,1409091.8612286597,-346284.2212286596,-346284.22122865985,346284.2212286596,346284.22122865985,False,2021-01,Tuesday,low_revenue
2021-01-13,1070756.5,1527709.6338069935,1527709.6338069935,-456953.1338069935,-456953.1338069935,456953.1338069935,456953.1338069935,False,2021-01,Wednesday,low_revenue
2021-01-14,764427.24,1279882.115895901,1279882.1158959013,-515454.8758959011,-515454.87589590135,515454.8758959011,515454.87589590135,False,2021-01,Thursday,low_revenue
2021-01-15,977003.78,1543242.3760653983,1543242.3760653983,-566238.5960653983,-566238.5960653983,566238.5960653983,566238.5960653983,False,2021-01,Friday,low_revenue
2021-01-16,1185774.61,1536749.8287705702,1536749.8287705702,-350975.2187705701,-350975.2187705701,350975.2187705701,350975.2187705701,False,2021-01,Saturday,low_revenue
2021-01-17,1224098.2,1552869.5593345363,1552869.5593345365,-328771.35933453636,-328771.3593345366,328771.35933453636,328771.3593345366,False,2021-01,Sunday,low_revenue
2021-01-18,2502006.18,1782059.89127805,1782059.8912780501,719946.2887219503,719946.28872195,719946.2887219503,719946.28872195,True,2021-01,Monday,mid_revenue
2021-01-19,2011018.39,1853795.459322221,1853795.4593222213,157222.9306777788,157222.93067777855,157222.9306777788,157222.93067777855,True,2021-01,Tuesday,mid_revenue
2021-01-20,1595354.2,1800579.8361311257,1800579.8361311257,-205225.63613112574,-205225.63613112574,205225.63613112574,205225.63613112574,False,2021-01,Wednesday,low_revenue
2021-01-21,1698207.91,1300067.3226772218,1300067.3226772218,398140.58732277807,398140.58732277807,398140.58732277807,398140.58732277807,False,2021-01,Thursday,low_revenue
2021-01-22,1620041.5,1510221.4634817918,1510221.4634817918,109820.03651820822,109820.03651820822,109820.03651820822,109820.03651820822,False,2021-01,Friday,low_revenue
2021-01-23,1744298.27,1411362.6513005786,1411362.6513005786,332935.6186994214,332935.6186994214,332935.6186994214,332935.6186994214,False,2021-01,Saturday,low_revenue
2021-01-24,1862707.42,1601098.3462085868,1601098.3462085868,261609.0737914131,261609.0737914131,261609.0737914131,261609.0737914131,False,2021-01,Sunday,mid_revenue
2021-01-25,2346216.5,2379600.683797518,2379600.683797518,-33384.18379751779,-33384.18379751779,33384.18379751779,33384.18379751779,False,2021-01,Monday,mid_revenue
2021-01-26,2993616.58,2147769.942047507,2147769.942047507,845846.637952493,845846.637952493,845846.637952493,845846.637952493,False,2021-01,Tuesday,mid_revenue
