column,role,dtype
order_id,id,int64
order_date,metadata,datetime64[us]
data_split,metadata,str
returned_label,target,int64
payment_method,feature,str
device_type,feature,str
order_source,feature,str
customer_tenure_days,feature,int64
tenure_group,feature,category
age_group,feature,str
gender,feature,str
total_quantity,feature,int64
unique_product_count,feature,int64
discount_ratio,feature,float64
is_discounted,feature,int64
category_Casual,feature,int8
category_GenZ,feature,int8
category_Outdoor,feature,int8
category_Streetwear,feature,int8
segment_Activewear,feature,int8
segment_Balanced,feature,int8
segment_Everyday,feature,int8
segment_Performance,feature,int8
segment_Premium,feature,int8
segment_Standard,feature,int8
size_L,feature,int8
size_M,feature,int8
size_S,feature,int8
size_XL,feature,int8
payment_value,feature,float64
is_cod,feature,int64
log_payment_value,feature,float64
