feature,missing_count,missing_pct,nunique,dtype
page_views_lag_14d,195,5.087398904252543,3606,float64
Revenue_lag_28d,28,0.7304983042003652,3805,float64
Gross_Profit_lag_7d,7,0.1826245760500913,3826,float64
Gross_Margin_lag_7d,7,0.1826245760500913,3826,float64
Revenue_pct_change_7d,7,0.1826245760500913,3826,float64
Revenue_diff_1d,2,0.05217845030002609,3831,float64
Revenue_rolling_28d_mean,1,0.026089225150013044,3832,float64
Gross_Margin_rolling_7d_mean,1,0.026089225150013044,3832,float64
Gross_Profit_rolling_7d_mean,1,0.026089225150013044,3832,float64
Revenue_lag_1d,1,0.026089225150013044,3832,float64
Gross_Margin_rolling_28d_mean,1,0.026089225150013044,3832,float64
Revenue_rolling_7d_mean,1,0.026089225150013044,3832,float64
Gross_Profit_rolling_28d_mean,1,0.026089225150013044,3832,float64
Gross_Profit_lag_1d,1,0.026089225150013044,3832,float64
Gross_Margin_lag_1d,1,0.026089225150013044,3832,float64
cos_month,0,0.0,11,float64
year,0,0.0,11,int64
is_month_start,0,0.0,2,int64
is_month_end,0,0.0,2,int64
day_of_month,0,0.0,31,int64
quarter,0,0.0,4,int64
